Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R
0831e45e-c623-11e3-bf01-24c6515278c0	145	141	27	78	0	161	41	0	7	26	30	0	29	15	20	2	8	0
089be98d-c3c9-4fb4-aef2-7a8578a91d51	198	91	95	34	8	135	111	0	0	0	0	17	47	0	0	0	5	0
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	210	130	85	116	0	100	140	6	0	9	0	0	22	18	0	0	0	0
08b5d0e4-4661-460e-a9f7-f2e687414711	315	32	0	0	45	63	0	0	0	139	76	0	17	0	14	0	0	0
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	441	0	0	0	3	0	5	1	0	3	0	0	24	0	0	0	0	0
08e1d976-6c39-428e-a4c2-f655b675683e	393	41	0	0	0	10	8	0	6	17	0	0	30	1	0	0	0	2
08f7812b-0d74-42ba-985b-d0a027e8a80c	425	14	0	0	0	7	9	0	0	0	0	0	25	0	0	0	0	0
09497b9b-6fca-48cb-af97-161a3e434a51	0	64	252	359	1734	0	0	1143	166	404	0	313	0	181	67	211	158	71
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	0	765	372	2811	0	0	296	0	1276	122	0	0	111	75	225	18	134
09537dce-c797-4b60-962a-d4c3cd6ab00a	424	0	0	0	0	9	21	2	2	5	0	0	1	6	0	2	3	0
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	163	75	93	212	223	135	39	92	0	63	84	60	16	56	17	10	25	58
097a7d36-905b-72be-e050-11ac0d482c9a	270	9	59	11	1	139	81	0	0	0	0	1	24	0	0	0	0	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	343	42	0	4	0	63	19	0	0	0	3	14	24	8	2	1	0	0
09bc8542-4ea1-4599-91b3-d606425b37e2	98	50	220	276	295	134	84	93	102	85	88	44	56	93	86	0	0	36
09cb8bc5-13ac-44ac-9b7d-6de143373570	189	116	0	40	127	127	15	39	33	31	64	55	5	52	25	5	10	0
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	111	296	45	164	0	36	233	0	0	0	0	0	18	22	0	0	0	8
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	259	56	19	9	0	117	49	0	0	36	0	0	31	0	4	0	0	3
0a9c9db0-c623-11e3-bf01-24c6515278c0	176	51	5	8	66	226	8	0	11	13	51	4	7	0	8	1	0	7
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	280	95	30	34	2	80	59	0	0	5	11	0	16	0	6	0	0	1
0ae2193f-0d68-485a-b8c2-7568cbcce33e	358	21	15	18	0	41	17	0	0	16	5	2	26	0	0	5	5	17
0b19bee7-5281-4915-9d98-c20eb3e84ecf	39	86	181	60	18	275	166	0	0	12	0	50	62	0	0	2	36	0
