Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P
08b5d0e4-4661-460e-a9f7-f2e687414711	320	18	0	0	48	49	0	0	147	0	82	0	20	17	0	0
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	436	0	0	0	3	0	4	2	4	0	0	0	28	0	0	0
08e1d976-6c39-428e-a4c2-f655b675683e	392	41	0	0	0	8	8	0	19	7	0	0	33	0	0	0
08f7812b-0d74-42ba-985b-d0a027e8a80c	420	14	0	0	0	7	9	1	0	0	0	0	29	0	0	0
09497b9b-6fca-48cb-af97-161a3e434a51	0	87	179	491	1799	0	0	1217	413	172	0	343	0	75	182	165
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	0	502	611	3089	0	0	305	1305	0	0	0	0	93	300	0
09537dce-c797-4b60-962a-d4c3cd6ab00a	428	0	0	0	0	8	20	2	6	2	0	0	5	0	2	2
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	178	76	96	221	251	134	41	90	60	0	69	82	24	21	49	29
097a7d36-905b-72be-e050-11ac0d482c9a	289	17	51	0	1	118	96	0	0	0	0	0	23	0	0	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	348	48	0	5	0	57	21	0	0	0	2	13	26	3	0	0
09bc8542-4ea1-4599-91b3-d606425b37e2	123	50	241	302	301	116	105	105	92	110	101	25	43	104	0	22
09cb8bc5-13ac-44ac-9b7d-6de143373570	203	126	0	51	136	116	18	36	24	42	76	48	8	31	0	18
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	116	327	16	143	0	17	278	0	0	0	0	0	14	0	22	0
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	272	64	11	3	0	98	58	0	41	0	0	0	31	5	0	0
0a9c9db0-c623-11e3-bf01-24c6515278c0	200	61	0	8	69	198	10	0	13	10	53	3	6	9	1	1
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	288	106	23	28	4	65	68	0	4	0	7	0	18	8	0	0
0ae2193f-0d68-485a-b8c2-7568cbcce33e	364	21	16	15	0	33	19	0	18	0	0	0	29	0	20	11
0b19bee7-5281-4915-9d98-c20eb3e84ecf	80	103	181	29	17	229	200	0	14	0	0	51	52	0	0	31
0b29c893-03bf-4131-b192-c14a2788d411	317	69	0	1	34	64	0	0	0	0	77	16	0	1	0	0
0b6cd7df-6970-4d60-b7b5-85002a7d8781	423	12	0	0	0	9	8	3	6	1	1	0	22	0	0	1
