Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
1db83e80-bdf7-4d8d-8008-bd8406d641fc	742	0.997	123.98	16.709%	25.094	8.251%	0.09835	0.997
1dbdbb2c-c623-11e3-bf01-24c6515278c0	840	0.997	139.462	16.603%	22.953	7.54%	0.05227	0.997
1dc9e7fd-fc62-4b32-9619-4e02a266a385	2129	0.982	466.73	21.922%	93.633	19.169%	0.07861	0.976
1dd96495-5f83-4d36-96cf-b77cd0cbbfda	468	1.0	27.299	5.833%	6.699	2.039%	0.03101	1.0
1de83d45-8492-4b83-9055-a9f43b823f91	499	1.0	30.331	6.078%	5.594	1.735%	0.04004	1.0
1df8939c-c622-11e3-bf01-24c6515278c0	880	0.998	134.16	15.245%	21.727	7.231%	0.05217	0.997
1e046ab9-fa4c-4c15-8d78-ed0048c80ebf	526	0.999	67.318	12.798%	14.302	4.447%	0.05741	0.999
1e181878-c640-4e91-a620-3fc4b08a4de1	809	0.999	96.646	11.946%	16.134	5.419%	0.05086	0.999
1e27cc8a-5394-4958-9af6-5ece1fe24516	1039	0.994	176.134	16.952%	37.718	11.119%	0.12631	0.993
1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494	2375	0.97	795.703	33.503%	186.603	28.284%	0.10704	0.968
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	513	0.999	70.459	13.735%	13.475	4.309%	0.06348	0.999
1ea7e01c-c623-11e3-bf01-24c6515278c0	690	0.999	86.318	12.51%	14.928	4.897%	0.06726	0.999
1eb1bc62-18f6-4bcb-a16d-aa6a91914031	532	1.0	51.714	9.721%	10.133	3.152%	0.0599	1.0
1eb37b28-fac2-477a-88b3-e04291a07926	617	0.998	113.498	18.395%	23.032	7.536%	0.06198	0.998
1eb62abc-7928-405b-84cc-f091ca5347b2	1288	0.987	264.6	20.543%	53.288	16.345%	0.07943	0.983
1f04210a-0c2e-4bb8-ac8e-86198e5f1d34	660	0.998	96.675	14.648%	19.221	6.13%	0.06782	0.998
1f2a8889-4374-4037-bb56-0f20733380e3	2832	0.995	398.168	14.06%	67.573	10.402%	0.02904	0.993
1f5e70c1-c5de-49e7-941a-46e11a4f4416	601	0.998	78.132	13.0%	17.02	5.692%	0.04447	0.998
1f81a1b0-8089-44ef-87b5-b3359a407ad2	1241	0.992	218.895	17.639%	40.549	12.324%	0.08416	0.991
1f8d8720-30ca-4057-90f7-a34b8383eafe	467	1.0	30.281	6.484%	7.663	2.402%	0.03264	1.0
1f967003-82d6-4932-a445-24fc25723594	1487	0.985	340.157	22.875%	60.196	17.388%	0.08419	0.98
1fd69adc-c623-11e3-bf01-24c6515278c0	535	1.0	49.624	9.276%	8.319	2.679%	0.05659	1.0
1fdab6a6-7346-4229-aa8d-5dbd258f0c60	1305	0.993	236.949	18.157%	39.495	12.129%	0.06858	0.991
1ff155dd-deb4-44e0-b3a2-e4875b618435	582	1.0	58.093	9.982%	9.288	3.08%	0.06754	1.0
1fff8b62-534b-4d71-a65f-e5f93b8b50ed	1077	0.996	162.886	15.124%	27.706	8.711%	0.05855	0.996
2009e5e7-1796-445b-8677-46b3804fe0bf	504	1.0	37.131	7.367%	7.438	2.333%	0.03986	1.0
2045c788-9ea8-4ea5-a5e3-65fc16a62adb	1885	0.993	285.208	15.13%	49.573	11.778%	0.03938	0.991
207f8a42-5b05-4876-b0ae-ebfaeea27844	2640	0.994	373.755	14.157%	60.494	10.853%	0.03441	0.992
209a9b10-7129-48fe-a899-d14ba17efe6f	528	0.999	64.899	12.291%	12.603	3.954%	0.07362	0.999
20d1b88b-3ff6-4201-a748-6a993500c652	563	0.999	57.465	10.207%	10.359	3.303%	0.04822	0.999
20e02396-e676-412d-9724-44a428919cdb	2116	0.991	364.776	17.239%	60.667	13.536%	0.05436	0.987
2102558b-87b0-447b-bb9a-e4ae9df8b75e	858	0.997	140.877	16.419%	24.487	7.619%	0.0807	0.997
2109e1d4-c623-11e3-bf01-24c6515278c0	796	0.994	158.285	19.885%	35.97	11.283%	0.13934	0.994
21205681-a0c7-48d0-81d4-0b7ef31158cf	1294	0.994	209.142	16.162%	34.072	10.478%	0.04781	0.993
2182ce2c-5941-4b65-9419-fc7966d5e6d5	599	0.999	69.12	11.539%	16.185	5.065%	0.09389	0.999
21b1a37f-e91e-4ce1-83cf-bb89b8d0fb35	883	0.995	153.742	17.411%	29.792	9.667%	0.08471	0.995
21e7e43e-f9b1-4351-a6d9-b9cd06d15f68	477	1.0	29.577	6.201%	5.75	1.815%	0.03598	1.0
221d0290-c623-11e3-bf01-24c6515278c0	643	0.999	82.867	12.888%	14.454	4.771%	0.05045	0.999
22578b9f-78dc-464c-9bb9-382f033283d0	506	1.0	32.004	6.325%	5.158	1.606%	0.03982	1.0
228fb827-c05e-494c-8a21-e1d925e100cb	684	0.999	102.22	14.944%	18.365	5.809%	0.08122	0.999
2290b078-6a5b-4c83-9dfb-b525bbf14e4e	1757	0.992	273.574	15.571%	51.002	12.419%	0.06766	0.99
22cd3875-a123-4f0d-8cd1-371958208ad6	487	1.0	40.011	8.216%	7.693	2.427%	0.0619	1.0
22d67778-61fc-4f15-95b8-7e7c6cc7112b	572	1.0	62.037	10.846%	10.117	3.25%	0.05632	0.999
22edd867-dcd6-42b5-92bb-025ceb84b106	1520	0.99	275.037	18.095%	54.139	14.242%	0.08815	0.988
230f53ef-be3f-495e-9b95-b0f670bd6908	504	1.0	54.05	10.724%	10.516	3.302%	0.06922	1.0
2316ee90-c623-11e3-bf01-24c6515278c0	492	1.0	49.555	10.072%	11.025	3.517%	0.05217	1.0
2321c412-7730-4694-bc8f-199d7e51a7f8	474	1.0	28.578	6.029%	5.809	1.821%	0.04668	1.0
232b7754-b3c3-4530-9d24-3af40d9b2816	529	1.0	45.849	8.667%	7.497	2.422%	0.05444	1.0
2399ab13-abfa-480e-9fda-7947edc420be	713	0.998	101.045	14.172%	18.022	5.972%	0.08678	0.998
23cc70c4-b744-4fa0-a0de-b25c0fdf212f	492	1.0	35.597	7.235%	8.164	2.567%	0.03723	1.0
23d77176-dfed-4bee-ac96-9934377d8d81	2135	0.985	442.42	20.722%	81.358	17.034%	0.05829	0.98
23d86395-9e20-4cf9-bf7e-f76544a1f772	683	0.999	105.12	15.391%	17.799	5.618%	0.08856	0.999
23eb72d8-c622-11e3-bf01-24c6515278c0	519	1.0	46.24	8.909%	10.754	3.379%	0.04339	1.0
23fa90d5-b273-4e2c-9c88-68aa57b60e97	456	1.0	30.639	6.719%	8.08	2.508%	0.03046	1.0
241abdfd-e6de-4830-a233-4bbc5f622725	777	0.998	120.351	15.489%	19.657	6.411%	0.07255	0.998
2425a532-f562-423a-88f5-228642f53875	508	1.0	38.468	7.572%	5.834	1.818%	0.04579	1.0
2439ec74-1713-4d47-a5d9-886f69dddcb6	726	0.999	99.038	13.642%	16.986	5.599%	0.05702	0.998
