MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N
NC50[<=2]	5.47E-06	2.77E-11	1.91E-07	2.87E-07	1.57E-10	4.88E-08	6.44E-10	1.59E-06	4.79E-06	5.25E-10	1.45E-10	7.49E-07	1.57E-06	4.24E-07
NC50[3]	5.33E-06	0.00E+00	5.92E-07	0.00E+00	1.64E-05	1.60E-06	5.89E-06	2.59E-06	5.30E-06	6.89E-07	0.00E+00	1.47E-06	3.22E-06	7.03E-06
NC50[4]	5.63E-06	0.00E+00	3.07E-07	2.45E-05	3.16E-05	3.49E-07	1.42E-05	6.11E-06	2.74E-06	3.91E-07	1.60E-06	5.89E-06	1.17E-05	2.46E-05
NC50[5]	1.80E-06	9.60E-07	2.38E-06	2.26E-05	1.75E-05	8.07E-07	8.06E-11	2.18E-06	1.18E-07	6.01E-06	2.80E-07	2.76E-06	5.50E-07	1.65E-06
NC50[6]	8.29E-07	1.15E-05	3.69E-06	2.59E-05	2.64E-05	5.05E-06	2.35E-11	0.00E+00	0.00E+00	1.55E-05	1.62E-05	3.97E-05	1.38E-06	4.54E-06
NC50[7]	9.68E-07	1.33E-05	1.75E-06	9.15E-06	9.36E-06	6.78E-06	1.57E-09	1.32E-10	0.00E+00	1.60E-05	1.73E-05	3.03E-05	2.80E-47	3.70E-06
NC50[>7]	1.62E-06	3.86E-06	1.15E-11	1.56E-06	4.09E-06	2.69E-06	1.04E-06	7.20E-11	7.61E-12	6.64E-06	5.93E-06	9.67E-06	8.87E-06	4.29E-10
BoChr[1]	1.49E-06	1.43E-03	1.53E-03	8.47E-04	6.28E-04	1.60E-03	3.43E-04	5.08E-03	7.00E-04	4.11E-04	2.03E-03	1.97E-02	1.04E-02	4.32E-03
BoChr[2]	6.84E-06	1.08E-03	1.14E-03	5.40E-04	5.31E-05	7.38E-04	4.72E-04	2.47E-03	2.11E-06	3.69E-04	5.05E-04	3.25E-03	2.03E-03	4.63E-04
BoChr[3]	9.83E-06	8.04E-04	1.49E-03	2.52E-03	1.85E-04	1.36E-03	7.92E-04	4.94E-03	3.82E-05	1.01E-03	4.31E-04	3.76E-03	3.42E-03	1.83E-03
BoChr[4]	2.38E-09	8.86E-04	7.96E-04	1.68E-04	2.84E-04	3.07E-04	6.22E-04	3.12E-03	2.74E-04	7.81E-04	6.61E-04	3.47E-03	1.25E-03	4.36E-03
BoChr[5]	4.22E-07	7.63E-04	3.76E-04	1.62E-04	3.73E-04	9.72E-04	4.38E-04	5.27E-03	7.28E-04	9.51E-04	4.18E-04	4.45E-03	8.27E-05	3.11E-03
BoChr[6]	2.71E-06	8.86E-04	1.36E-03	2.54E-03	1.02E-03	2.56E-03	7.13E-04	4.37E-03	3.32E-04	1.27E-03	6.87E-04	9.81E-03	5.65E-03	5.43E-03
BoChr[7]	1.29E-05	7.88E-04	9.54E-04	3.78E-04	4.52E-04	8.12E-04	3.53E-04	6.43E-03	1.77E-04	4.90E-04	6.57E-04	6.59E-03	5.66E-03	3.76E-03
BoChr[8]	5.40E-08	1.27E-03	1.03E-03	1.80E-04	3.22E-04	6.51E-04	3.83E-04	1.19E-03	5.91E-04	4.85E-04	1.37E-03	1.18E-04	4.72E-08	1.51E-02
BoChr[9]	8.83E-07	1.43E-04	5.18E-04	2.17E-03	6.84E-04	2.46E-03	5.69E-04	1.01E-03	7.25E-05	1.64E-03	5.28E-04	4.06E-03	2.41E-03	8.24E-05
BoChr[10]	4.45E-06	6.15E-04	5.60E-04	2.67E-04	1.26E-04	3.25E-04	4.02E-04	9.10E-05	0.00E+00	4.08E-04	4.51E-04	2.93E-03	1.40E-47	3.09E-03
BoChr[11]	6.16E-07	7.18E-04	7.88E-04	4.08E-04	2.34E-04	1.32E-03	2.87E-04	9.57E-03	1.37E-03	1.38E-03	1.09E-03	8.87E-03	1.61E-02	9.13E-03
BoChr[12]	8.37E-09	5.99E-04	1.19E-04	2.12E-04	3.67E-04	8.76E-04	3.17E-04	5.01E-03	1.90E-03	1.03E-03	6.76E-05	5.12E-03	5.88E-03	5.05E-03
BoChr[13]	3.33E-06	2.99E-04	3.15E-04	2.48E-04	3.41E-04	7.34E-04	3.81E-04	1.32E-04	8.87E-06	1.85E-04	3.80E-04	1.81E-03	4.93E-05	3.39E-04
BoChr[14]	1.43E-05	3.22E-04	3.06E-04	2.19E-04	2.39E-04	3.92E-04	1.67E-04	9.02E-04	1.23E-04	8.67E-04	4.30E-04	6.30E-04	1.54E-03	4.23E-05
BoChr[15]	5.23E-09	2.24E-04	2.52E-04	7.10E-04	1.69E-04	3.16E-04	1.64E-04	7.03E-04	7.26E-05	7.57E-04	3.89E-04	7.00E-04	1.31E-03	4.80E-05
BoChr[16]	1.24E-06	2.10E-04	1.73E-04	2.13E-04	2.36E-04	3.85E-04	4.57E-05	1.41E-04	9.40E-05	2.81E-04	3.30E-04	7.69E-04	8.12E-04	1.06E-04
BoChr[17]	4.98E-06	9.50E-05	6.94E-05	3.17E-05	3.53E-04	4.99E-04	2.02E-05	1.94E-04	6.73E-04	1.68E-03	8.82E-04	3.93E-03	1.20E-02	7.57E-03
BoChr[18]	4.43E-07	2.75E-04	6.34E-04	1.90E-03	4.25E-04	1.94E-03	3.85E-04	1.81E-03	1.20E-04	1.40E-03	3.06E-04	2.81E-03	8.81E-04	9.57E-04
BoChr[19]	6.07E-09	1.06E-04	7.59E-04	1.44E-04	6.97E-04	1.58E-03	3.51E-05	1.96E-03	2.05E-04	2.97E-04	2.65E-04	3.93E-03	6.02E-03	1.96E-03
BoChr[20]	2.54E-09	2.51E-04	3.94E-04	1.75E-04	4.42E-04	1.39E-03	3.00E-05	1.95E-04	3.32E-04	4.58E-05	3.22E-04	2.21E-03	3.72E-03	9.64E-04
BoChr[21]	7.09E-06	1.92E-04	2.78E-04	9.05E-05	2.40E-04	3.30E-04	2.88E-04	7.69E-04	1.04E-04	2.55E-04	2.28E-04	1.25E-03	1.41E-04	3.81E-04
BoChr[22]	8.71E-06	6.75E-05	2.65E-04	6.26E-04	2.51E-04	8.91E-04	1.87E-04	3.76E-04	3.15E-05	5.33E-04	1.64E-04	1.21E-03	1.79E-03	1.14E-04
BoChr[23]	2.14E-05	4.93E-04	3.20E-04	5.80E-05	2.71E-05	2.13E-04	4.08E-04	1.37E-03	2.11E-04	8.27E-05	6.72E-04	3.33E-03	0.00E+00	5.65E-04
