MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N
CN[2]	0.030801129406156206	0.015396030440633389	7.747598919142007e-05	0.07257062059827343	0.00048377329017966985	0.14295866325497628	0.1879973515123129	0.01941066904653484	0.003221897955518216	0.13720761108886553	0.010276294673306404	0.034455227486581703	0.027952442406079355	0.043828269211922295
CN[3]	1.0276668309359138e-05	0.07364489614963532	0.0002451228733152571	0.0035810780862811954	0.04166689022560604	0.11233563859363926	0.0	0.044591523076524024	0.0016573297890136018	0.0012168881273828447	0.03598885760817211	0.07811269854195416	0.04597587071125563	0.04910685652377651
CN[4]	7.0086597636631605e-12	0.008145247112253192	0.11629457710310817	0.0008183093504984346	0.0074059404932222605	0.013301269686652333	0.0	0.016270580410807155	0.00212635014124647	0.016172604777149525	0.01585091868240852	0.12745935060104482	0.03631945655943127	0.03571354409414247
CN[>4 & <=8]	7.87784638633937e-09	3.902325121890551e-07	0.19447775021195413	7.679180384911888e-09	2.802596928649634e-47	0.0005464998987481306	0.0	0.001239728537293029	0.06378591876477004	3.6508955645331296e-08	0.055161489219935904	0.026400258901786024	0.0016589106176476795	0.0007980248823236025
CN[>8]	1.4069657063853214e-07	1.0072652553372308e-07	0.0009611416333962097	4.13399136545145e-08	8.646212377172447e-09	2.263843214223016e-08	1.683059354107286e-09	1.704802333346578e-07	0.1700705087184906	1.775693618810692e-09	0.00015889633704062157	1.2274560166142255e-07	0.0001270877627085909	1.9294086010076328e-07
CNCP[0]	0.044531593024730684	3.1041610691318055e-06	2.9505153875675204e-11	1.4712783740833402e-05	2.687962227874152e-05	3.3355238926446873e-09	5.733391716944425e-10	1.441433816751214e-10	0.0	0.00035240267054376773	0.0002724984948640953	1.8468401130700198e-35	1.203253816584038e-09	9.208417613990605e-06
CNCP[1]	0.0	0.1650423135003075	0.007906794375197444	0.061418695971369744	0.03472484572790563	0.2510870975581929	0.25561754375696183	0.2181456388690276	2.802596928649634e-47	0.0002885594218969345	0.011319786873064003	0.05489790828827213	0.08406878083013053	0.06684510551841844
CNCP[2]	1.4469069009592772e-09	0.0029839959688558793	0.13351830598020964	0.00422559380531311	0.0001566702827175373	0.0016296399972105051	6.273147650063038e-05	0.010701248935382424	0.006006045093513422	0.2609057852625847	0.017448928071026704	0.04884552751235219	0.02735543602849006	0.03215602647747327
CNCP[3]	1.1015576368844649e-08	0.005139575566790882	0.035173974689096214	0.00041404543717206367	3.36998783012632e-08	0.0007143019222985458	8.95471064943365e-08	0.0007014000172603119	0.02942437632009387	0.0037817145902396022	0.08048643125386662	0.00033853248135869764	0.0004124974794606118	0.0009714583489499939
CNCP[4]	9.835638102195788e-08	0.0001014100719547173	0.01399203481618315	0.00015891630202531813	3.5068416153195504e-08	0.0002337365213134035	0.0	6.184149942328076e-05	0.03243037909269333	0.001276559014894474	0.03873448373073188	5.5071649640012766e-05	0.00017664988331852726	0.00010893233363503895
CNCP[>4 & <=8]	1.060915778872129e-07	1.3550488812521522e-05	0.0008972946541206106	0.00014822519836783953	2.3064713801090876e-08	4.5558709949489185e-05	0.0	1.8780606296786572e-08	0.08582236930727959	0.0007293420326333821	0.042451537320157516	9.715554085687472e-09	3.7412824447358164e-08	2.1484248606595814e-07
CNCP[>8]	1.9135002574444115e-07	0.0	0.0	2.8662828257530746e-07	5.639929699541302e-08	1.4901833696005785e-08	8.976429360083027e-08	2.263953988901335e-07	0.07710106037557125	1.3483221152910118e-08	2.1757644727671277e-07	8.283167069578212e-08	3.6607298170565626e-09	1.6424505737688833e-08
OsCN[0]	0.04525505986995995	0.05365685597062111	0.09524632001295685	0.0008341971039772033	0.0017957378330356732	0.019868361247936263	0.0038343428968801176	0.008177071102545645	0.17987109050154687	0.01208991423127835	0.004443141312120604	0.02716021740110591	0.08168733187252655	0.053007329887139625
OsCN[1]	0.0003329461210819318	0.028038091878406703	0.03302305407822132	0.050573271210305394	0.005747767087018474	0.017681523992214353	0.0004125312343239784	0.019023121194913985	0.025773841366171838	0.04735637318110093	0.09610782872885465	0.021249605226912535	0.016084041721769977	0.00696832329612908
OsCN[2]	5.721460705210291e-10	0.011692918478511274	0.007438909208867699	0.00041612543609517163	0.004268769468180836	0.005854045958258212	0.002903477180307732	0.0074122178927063945	0.004094548549037427	0.0022953907515175587	0.0001786856175021967	0.004554680038248534	0.007796690719042516	0.006781984656117857
OsCN[3]	1.5687088961158225e-10	0.003711952185840346	0.0026186107847024688	0.008006922081644987	0.00011772645637392998	0.007617143709212542	0.0033468214713502707	0.008410904030288293	3.711218463649857e-05	0.012370171870355336	0.004928023897809908	0.002026443230821568	0.0020305548086890514	0.0014066725620673292
