Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	245	24	47	99	53	17	25	0	18	41	0	26	10	9	28	14	0	10	3	6	2	0	0	4	4	0
072f4146-c623-11e3-bf01-24c6515278c0	381	0	2	26	0	1	19	5	2	7	0	26	16	0	1	0	0	0	0	1	1	0	0	1	0	0
074fd614-5d9c-4bcc-96ad-351aa14387e3	294	10	3	90	20	0	32	2	5	23	1	29	9	3	0	0	0	0	4	1	3	0	0	0	0	2
07531318-87e8-4db8-aa61-9b93597d063b	291	21	30	79	0	0	33	0	4	27	4	29	10	5	23	0	0	1	0	6	3	3	2	0	0	3
075fc96d-6742-4ef3-9369-482592ad3a2f	203	303	0	0	0	197	0	187	151	278	876	38	403	394	37	15	69	0	35	43	81	5	345	0	98	0
07835447-5d7e-4828-80fd-89b063989c9a	232	45	25	134	19	13	18	16	12	47	6	23	30	5	18	0	0	3	1	0	1	0	1	1	16	5
079bcb09-a075-4313-9a3e-dd67734a8c5d	168	85	64	118	43	79	86	24	0	16	23	16	20	7	0	34	36	5	2	0	5	1	0	2	14	0
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	380	33	14	14	3	0	5	0	0	35	2	31	11	24	0	0	0	0	0	2	0	1	0	0	0	2
07b5141f-ac79-439b-883b-b0183bbe7ff5	13	42	152	122	68	11	204	0	0	99	0	28	2	58	20	29	8	10	12	3	2	2	5	15	6	0
07d20658-3db4-47e7-877b-66536266edfc	98	49	63	243	56	0	9	0	2	82	0	18	6	9	32	10	5	2	4	5	1	17	11	0	0	4
07e0e938-f61f-477a-92a2-5b7e74b78943	105	55	146	174	13	5	28	0	25	28	0	31	3	45	27	48	2	11	7	23	0	0	3	3	0	0
07f16397-71bb-4594-ad4d-caa7d2baeabd	216	45	67	111	76	0	7	0	0	96	0	42	0	55	0	0	6	0	2	7	5	0	17	0	0	0
080ecc31-756a-4a1b-a51e-d632ac8219f7	148	172	96	107	89	313	20	95	0	25	44	0	53	48	43	0	0	32	9	153	6	4	0	0	0	27
08227616-02a5-46e8-9db1-f2d1d691ab23	36	16	100	109	59	123	198	76	80	8	64	16	77	48	32	50	65	9	7	16	9	15	0	4	0	0
0831e45e-c623-11e3-bf01-24c6515278c0	167	60	120	80	21	0	93	1	16	33	1	28	9	0	20	38	10	2	14	8	5	0	0	4	0	0
089be98d-c3c9-4fb4-aef2-7a8578a91d51	213	44	78	59	78	6	96	0	1	82	0	39	7	10	0	0	15	0	0	1	1	0	9	2	0	0
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	162	115	82	145	92	0	27	0	0	98	14	35	0	0	9	0	24	1	0	4	4	2	0	0	17	5
08b5d0e4-4661-460e-a9f7-f2e687414711	266	0	27	105	3	21	8	0	156	0	11	35	8	2	20	0	0	3	11	6	0	1	3	1	14	0
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	417	0	0	7	0	0	0	0	3	6	0	24	20	0	0	0	0	0	0	0	0	0	0	0	0	0
08e1d976-6c39-428e-a4c2-f655b675683e	360	0	28	36	0	0	1	2	0	6	0	28	16	3	20	0	0	0	0	3	3	1	1	0	0	0
08f7812b-0d74-42ba-985b-d0a027e8a80c	406	0	14	2	0	0	9	0	0	8	0	24	17	0	0	0	0	0	0	0	0	0	0	0	0	0
09497b9b-6fca-48cb-af97-161a3e434a51	9	643	0	0	76	1007	0	405	321	0	946	0	364	102	472	0	203	124	50	57	46	60	94	81	63	0
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	382	0	0	692	1467	0	123	1406	0	647	10	120	0	585	0	103	131	53	155	121	84	58	28	17	23
09537dce-c797-4b60-962a-d4c3cd6ab00a	394	0	0	20	0	0	0	0	0	19	0	11	19	0	4	0	0	1	0	0	5	0	0	2	0	0
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	106	217	43	178	97	137	34	0	103	32	75	24	64	17	27	36	43	4	12	122	6	23	16	5	0	0
097a7d36-905b-72be-e050-11ac0d482c9a	244	15	0	106	52	0	69	0	0	59	0	26	11	3	0	0	0	2	0	1	1	0	0	0	6	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	306	0	26	79	0	0	23	0	0	16	0	24	16	16	0	10	1	1	1	0	4	0	0	0	0	0
09bc8542-4ea1-4599-91b3-d606425b37e2	15	289	40	191	179	159	61	142	142	75	30	41	129	10	33	59	29	0	62	0	25	22	70	2	35	0
