MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA
BPArm[3]	3.663613906856877e-08	0.0019297925514638336	1.8344325053476497e-06	0.0030407377049904054	0.0009587216471447845	0.015559891931482071	1.1980861745541915e-06	0.00014679502938203044	2.2804825852684806e-05	4.858492275161552e-10	1.1228335303345576e-05	5.606097509333496e-05	0.0002825293576461263	0.00048138857574016926	0.0009477182566254072	0.0007343352532085134	3.414925595279783e-06	2.051750371037997e-05	0.00013069712935003368	6.047946167655027e-05	0.00042505282419028843	3.430407980977712e-05	3.160946578191215e-06	0.00022708799311658368	0.0002728470278849571	6.921852894693049e-05	0.00035281132492087864
BPArm[4]	1.5376683741852304e-08	0.017500646612606943	0.0	0.004629624564525159	0.000275263980292948	0.003285026111893501	1.8971458944179174e-05	0.0009006677425350065	7.261475048835564e-05	0.00012379408069392448	0.0005244500645439132	0.0004800534974693704	4.4581620022654535e-05	5.519102584628399e-05	0.00010964298286125995	0.001658809226470339	5.6984068651217966e-05	0.0	5.814673564581069e-05	1.401298464324817e-47	2.9207923798821866e-05	9.150038053526544e-05	1.7357615288347006e-05	3.943228628486395e-05	0.00043803365711202245	0.0001429694411200444	6.0152020887471734e-05
BPArm[5]	3.6170594734930006e-08	0.0028085664653917774	0.0	0.0003384622510046498	0.0023713409817719367	0.0066889494319721625	2.500364702484603e-06	0.0004738936130777915	0.0001528850953508254	4.8190604059712424e-05	5.637146076679755e-05	6.359753832725801e-05	0.00014295370317995548	0.00038798228593400096	0.0012069360778656235	0.0008507204822853964	4.5338480662593385e-05	2.4854682487784884e-05	0.00029295390280992706	3.359747484928732e-05	0.0004731570812873542	4.181603949291457e-06	0.000373660671775724	0.0002554301591590047	0.0006393447639869754	7.187211913958435e-05	0.0008333015745316174
BPArm[6]	5.149532321668815e-09	0.010590546128805728	2.0923490639717103e-05	0.00014586156612779179	0.0008373245813335348	0.0013022601279550372	5.34065933607053e-05	0.0022834717327896215	4.958011286362307e-05	0.0002276822938344304	0.0001569978110660486	0.00028737581037365347	0.00015752846124087228	0.00010364630442595057	0.0003135081473374157	0.0029329083002630797	0.00025731413421454597	2.1966750581441373e-05	0.00021351311094122138	0.000837893000265808	0.00017040452581568388	0.00031457893626908985	0.0002724544398733997	0.0004094307103515254	0.001628317039685978	0.000900350177983546	0.00040329541997195404
BPArm[7]	3.688134921020492e-08	0.0020308073121123016	0.0	1.952158358108136e-05	0.0031566483403548773	0.002677961341687478	0.0001617519969582304	0.0009564846532202864	4.0396503934090336e-05	5.400155205279589e-06	4.924264553964247e-05	2.016742585794873e-05	6.29448622930795e-05	0.00046967915832468065	0.0006880859796729055	0.0005358655393626322	0.00024742760143100286	9.75722910152399e-05	5.892148686484689e-05	0.00011078170255132135	0.0007030124910829727	5.154607514214149e-05	0.0016396120016952409	0.00027019255139748566	0.0014728969760272913	0.0014639934832257496	0.00034524545121712437
BPArm[8]	1.7897303283831435e-08	0.005783088428433985	4.0512552172913276e-05	1.2139295790802863e-10	0.002023669394123573	0.00036459633349608114	6.409694131662036e-05	0.0021483227852149866	0.00014378696103221954	0.0001780169879506488	5.69134985198616e-06	0.00024202292637873768	2.0692966654465296e-05	5.554831559194895e-05	8.476834540488198e-05	0.0021739568140037593	0.00032492186219315047	4.582164328894578e-05	0.0007370062702830182	0.00014308597137585366	0.0003704201862638001	0.00038175746318302116	9.495679114479572e-05	0.00015950089256506317	0.0013345642421926129	0.00045972010678269726	0.0001425031708474478
BPArm[9]	2.2638704639810215e-08	0.0012611523555824532	2.1320073064998722e-05	1.8011561663655585e-06	0.002482309680490289	0.0008030238215303597	5.020966531901649e-05	0.001379210242703266	0.00048273517410081014	6.035993747559587e-06	1.1159001587657257e-06	4.4379237978020567e-05	1.8423014050137355e-05	0.000249441976745679	0.0004701431610645557	0.000516418831084593	0.0003699072908323231	0.00033024668243342604	7.119480379888188e-05	0.00020423724928320924	0.0004545884153139923	0.000204571704286991	0.00019770189483082846	0.00015360353708274488	0.0023010489567803914	0.0009095090764481028	8.30156222673395e-05
BPArm[10]	3.3551541775977965e-08	0.0027872922050300986	0.0002266870084388728	0.0	0.002091472320662433	0.0001972092703169892	2.6883730897679924e-05	0.0022109037978225387	3.1920369365252556e-05	3.6304182604354194e-05	4.271173675078899e-06	6.775560476469877e-05	0.00011168158206803725	0.00010451453782891917	0.0002201852314772168	0.001997495040503452	0.0005199563576070432	4.454948762031563e-06	6.889814334499533e-05	0.00030778302330320084	0.0004927181970919036	8.117414498656216e-05	0.0004589759003636118	0.00014802808975872495	0.00017923093286022207	0.0003869783438210561	0.00039423666646257513
BPArm[>10 & <=20]	2.2817036136046908e-08	0.0018735262478912773	0.003013614358205814	0.0	0.015864710041787477	0.0002051318592566531	0.0005820453508712831	0.009589858525432647	0.0026518756342190386	2.8536599188555556e-05	4.912167507427512e-05	0.00038840168800633736	0.0013701304593769308	0.0008122649250266534	0.0005391598939221609	0.004044860762188023	0.0029865198532974106	8.857575410729623e-05	0.000333294331122147	4.0212829531185435e-05	0.00031360135264549174	6.274098064750433e-05	0.001628952458416393	0.001004320100144014	0.0009656790613358357	0.0002303167973514064	0.00024403583436935605
BPArm[>20 & <=30]	3.094521559748875e-08	0.0	0.002921200773043431	0.0	0.002144310151343234	1.401298464324817e-47	0.001639883940316622	0.0012420529031805926	0.0006461807832693012	0.0	0.0005310104870659416	7.185751482666092e-05	0.0003077933613184314	0.0009264042114230619	0.00013781807482587282	0.00013038509901889484	0.0007764158143629629	9.418289321843076e-06	2.7440022830518273e-05	0.00035899521294425086	0.00010082864960395455	3.840554273551789e-05	0.0007714207846714726	0.00014991425627158605	4.521551332672402e-06	1.403785699949367e-07	2.802596928649634e-47
BPArm[>30]	6.64725577692593e-08	0.0	0.0037543640192598104	0.0	8.12110141851008e-05	0.0	0.001204729650327554	0.0	8.438253366595205e-05	1.4497074118935415e-09	0.0029975830664625393	3.8155249785631896e-06	0.0011860838089868154	0.000696263191160753	0.0	0.0	7.498732884414494e-07	2.3586917668581007e-05	5.191054196984623e-07	1.624106192423369e-05	6.306972497235109e-05	0.0	0.0	1.9536054196578335e-09	8.637957336077306e-09	0.0	0.0
