MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T
CNCP[2]	2.93E-09	5.51E-08	4.89E-04	4.84E-05	7.88E-05	6.11E-03	1.04E-09	6.22E-04	3.49E-03	7.43E-03	8.66E-03	4.57E-03	2.53E-03	3.31E-03	1.45E-03	2.51E-03	3.17E-03	1.27E-03	3.80E-03	1.28E-03
CNCP[3]	2.70E-09	9.30E-09	3.59E-04	5.17E-08	1.04E-08	1.64E-03	1.68E-05	6.45E-04	1.97E-03	2.84E-04	1.58E-04	7.56E-04	1.06E-03	1.28E-03	2.50E-04	1.18E-03	2.53E-04	9.39E-05	1.03E-03	9.19E-04
CNCP[4]	4.73E-09	1.64E-09	1.51E-05	0.00E+00	1.95E-08	6.60E-04	2.70E-10	3.99E-04	1.07E-03	5.22E-05	1.97E-47	3.10E-04	2.36E-04	3.07E-04	4.97E-05	3.95E-04	1.79E-05	3.40E-07	2.32E-04	2.70E-04
CNCP[>4 & <=8]	3.36E-09	2.65E-09	8.65E-09	0.00E+00	7.35E-09	3.11E-04	0.00E+00	9.30E-04	1.16E-03	2.28E-09	1.04E-09	4.19E-04	2.41E-05	2.36E-06	1.57E-08	8.73E-05	2.86E-08	1.48E-08	5.43E-08	3.67E-05
CNCP[>8]	2.68E-09	9.18E-09	1.09E-10	4.75E-10	7.44E-09	0.00E+00	1.14E-06	9.73E-04	2.76E-08	2.33E-09	1.89E-09	1.81E-08	1.11E-08	1.76E-08	3.27E-08	3.94E-08	7.30E-08	0.00E+00	1.38E-08	6.54E-09
OsCN[0]	1.52E-03	3.29E-04	3.16E-03	1.35E-03	5.43E-04	4.61E-03	4.99E-04	2.64E-03	1.91E-03	8.27E-04	7.85E-04	9.85E-04	1.48E-02	1.69E-02	4.09E-03	3.65E-03	2.32E-03	3.18E-03	1.39E-02	1.41E-02
OsCN[1]	1.37E-05	1.11E-03	1.07E-03	9.29E-04	6.14E-04	5.43E-04	8.28E-05	4.52E-04	1.55E-03	1.06E-03	1.46E-03	2.75E-03	1.98E-03	2.20E-03	1.55E-03	1.95E-03	2.02E-03	5.59E-04	1.60E-03	1.41E-03
OsCN[2]	9.62E-10	1.52E-04	4.80E-04	1.85E-04	3.51E-04	2.15E-04	1.48E-04	1.27E-04	2.85E-05	3.42E-04	1.94E-04	4.88E-04	5.11E-04	6.36E-04	6.76E-04	3.85E-04	3.45E-04	3.97E-04	4.94E-04	3.75E-04
OsCN[3]	8.99E-10	3.71E-04	3.37E-04	1.31E-04	0.00E+00	1.87E-04	2.35E-04	1.15E-05	2.63E-04	2.88E-04	2.39E-04	4.35E-04	4.48E-04	3.32E-04	2.02E-04	2.55E-04	3.48E-04	7.44E-05	1.22E-04	1.41E-04
OsCN[4]	1.63E-09	2.09E-05	1.14E-04	7.31E-05	4.31E-05	6.86E-05	1.21E-04	2.58E-06	0.00E+00	8.85E-05	7.41E-05	1.82E-04	8.98E-05	1.17E-04	1.35E-04	3.21E-05	6.69E-05	9.86E-05	1.06E-04	6.63E-05
OsCN[>4 & <=10]	1.10E-09	1.06E-04	3.40E-04	2.55E-04	0.00E+00	6.46E-05	3.41E-04	0.00E+00	1.01E-05	1.79E-04	1.42E-04	4.40E-04	2.18E-04	1.01E-04	6.55E-05	7.60E-05	2.35E-04	0.00E+00	5.37E-05	4.32E-05
OsCN[>10]	1.55E-09	0.00E+00	2.80E-05	1.07E-04	1.61E-10	6.85E-10	1.07E-04	1.15E-09	0.00E+00	8.55E-06	2.91E-06	1.18E-04	2.71E-05	9.30E-06	2.07E-06	3.87E-07	7.48E-05	1.76E-09	1.66E-08	5.30E-10
SS[<=2]	4.88E-09	9.47E-07	0.00E+00	1.93E-05	3.23E-06	4.57E-05	3.84E-07	3.25E-05	1.66E-04	2.30E-05	2.79E-05	2.41E-04	1.38E-04	3.38E-05	6.95E-05	8.32E-05	8.86E-05	2.06E-05	9.22E-05	3.01E-05
SS[>2 & <=3]	5.59E-09	6.60E-10	0.00E+00	4.89E-05	1.11E-09	3.37E-05	5.61E-09	1.03E-04	1.78E-03	1.44E-04	4.36E-07	2.14E-03	1.23E-03	9.47E-06	1.53E-05	7.54E-04	6.35E-04	1.40E-47	1.04E-04	4.99E-05
SS[>3 & <=4]	5.77E-09	3.18E-10	4.17E-05	2.86E-04	1.40E-47	5.74E-09	9.39E-05	2.15E-04	6.61E-03	9.79E-04	2.89E-05	8.23E-03	5.11E-03	3.88E-08	4.66E-08	3.10E-03	2.75E-03	2.70E-04	2.17E-07	2.91E-04
SS[>4 & <=5]	7.38E-10	5.88E-04	1.40E-47	4.98E-03	0.00E+00	1.00E-03	1.25E-03	1.57E-03	1.56E-03	2.76E-03	1.51E-03	7.75E-03	3.13E-03	2.72E-03	1.81E-03	3.84E-03	7.64E-03	1.61E-03	3.18E-03	4.13E-03
