MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T
BPArm[3]	2.1752357960286295e-08	0.0021777688098353564	0.0020134713323816554	3.321859292100271e-06	0.010349121728236241	0.0	2.3680632142699663e-05	1.0064335595285079e-05	0.0003129377312870929	0.0004512882598374901	0.00018809060547440027	0.00028209510775923264	0.0008415303398420093	0.000833910625660792	0.0011649743946274783	0.00018034947450720662	2.552868536820796e-05	0.00014109284459891568	0.000752612846771541	0.0003992358149271524
BPArm[4]	8.769605024384004e-09	0.016619813460856676	0.0007885026996655143	0.0	0.003199956496246159	0.0	6.811699235450774e-05	0.00033226819807012474	0.0018315936572085966	0.0018042917103321089	0.00015882022484980495	6.650321651250124e-05	0.0009103035906939283	0.000278233790717195	0.0003905060668328381	6.464797756052577e-05	0.00016216772248071721	0.0001818902709055692	0.00019945232512327493	0.00014709021404996748
BPArm[5]	3.336474386217425e-08	0.002271437472500111	0.003908434016578024	0.0	0.0026151084048615303	4.554826591629535e-07	7.202125459883746e-05	3.872992711691836e-05	0.0004565746684904172	0.0007379240528030095	0.00032051205422149563	0.0002162381447851658	0.000724914891558015	0.0005725112849177094	0.0010790499031993405	0.00014083185513300123	1.8957343709189445e-05	0.0002251876778957751	0.0011448021007527131	0.0005397871528163023
BPArm[6]	3.2719131918277148e-09	0.007740026391111314	0.001877893176060752	2.8838924372394103e-05	0.0001570587602148521	4.729721447802149e-05	0.00026706205279273696	7.276730247212981e-05	0.0034357977847685106	0.002411539397144225	0.0003496622543434586	0.00017667978796907845	0.0006735815463979987	0.0003516309304552596	0.0013089885218651176	0.00015677213832532367	0.00027246432426181855	0.00015355308115317713	0.00044692912710843303	0.00034255593811394647
BPArm[7]	2.8713595052742847e-08	0.0011905762687092647	0.0040364452832727694	1.4733132629771717e-05	0.0006588346623357211	0.00010400441601632338	3.090598329436034e-05	2.320219701025472e-05	0.0008144949225243181	0.0003637550605800044	0.0001773527998375357	0.00014530465082655654	0.00046978897915195717	0.001085400745560321	0.0018205912668709345	0.00024038275725295932	0.00011766329669626429	6.629561656154692e-05	0.0005504790716551611	0.0015240940003241122
BPArm[8]	1.2195296975499315e-08	0.00349076516344212	0.002759692128165625	0.00011442925022265626	6.413283990696073e-06	8.277523002107046e-05	0.0003023274554402589	1.6182788866103693e-06	0.0024570396688068288	0.0019218550876761668	0.000152495061597329	0.000126871352777016	0.0003990550458296127	0.0004024812956362217	0.0005315906302030271	7.71148137482669e-05	0.00038798639143779206	0.0005391513508532962	0.000213237734235463	0.0002030884582541148
BPArm[9]	1.5846410512665444e-08	0.0003288713837639534	0.0029338096489664165	0.0001087087219129046	5.99945115391165e-05	8.3122145915695e-05	5.571120547543273e-05	1.253710361197591e-06	0.0012456684135759147	0.0008293377584413974	0.0003969314234109334	0.0001000095333647022	0.00030018865610447447	0.000835606961647386	0.001571441820531163	0.0004494006785590443	0.00029228087285562503	9.335094384141485e-05	0.000319405462796567	0.0004841811604618673
BPArm[10]	1.9388998157565673e-08	0.0012571618496440352	0.0023652811045758427	0.0004302591724017191	1.8028560589300468e-07	7.3485873190293206e-06	0.00020388574360595608	0.0	0.0025640995177673175	0.0013768720271855272	0.0002440881302216269	0.0001304703343549729	0.0003027702192816484	0.0004736200678780733	0.0001204477894862066	8.251706109149381e-05	0.0001204475999413468	6.176910384510848e-05	0.0002829466339358078	0.0004561950552749749
BPArm[>10 & <=20]	1.4591212458281433e-08	1.8332410836592316e-05	0.012627420378848911	0.004362110949878115	0.0	0.0010340873582754284	0.00037727086553218214	4.5901433577455467e-05	0.00798366242321208	0.004876265588682145	0.000354300739674045	0.0016977539692061326	0.0009896329360884692	0.0028299777837775624	0.0003921138568466631	0.000511691390265696	0.00030369142486969084	0.00035040591358860616	0.0005035908258719265	0.0023627155877605334
BPArm[>20 & <=30]	4.26317769708362e-08	0.0	0.0012311518605565652	0.0030152886410360225	0.0	0.0018253852354246192	2.806623213716497e-05	0.0006298996434998117	0.0008138045244777459	0.00041624812967846483	6.74092954147909e-05	0.0003081102121166168	0.00018433888219476557	0.0007301928403509805	0.00011187040447794061	6.978573743253947e-05	7.813767775388669e-05	2.3168546518661516e-05	0.00019823761304678554	0.0005590040210404367
