Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E
0bfd1043-7344-fdd0-e050-11ac0c484cab	0	1816	0	2236	0
0bfd1043-7346-fdd0-e050-11ac0c484cab	299	391	218	0	0
0bfd1043-7ebf-aaec-e050-11ac0c482f39	171	277	351	1074	221
0bfd1043-7ec1-aaec-e050-11ac0c482f39	127	346	446	808	0
0bfd1043-7ed6-9ccc-e050-11ac0c481957	304	364	219	0	0
0bfd1043-816e-e3e4-e050-11ac0c4860c5	0	1645	0	1979	0
0bfd1043-8170-e3e4-e050-11ac0c4860c5	152	829	292	257	0
0bfd1043-8172-e3e4-e050-11ac0c4860c5	183	754	298	85	19
0bfd1043-8173-e3e4-e050-11ac0c4860c5	161	821	322	34	51
0bfd1043-8175-e3e4-e050-11ac0c4860c5	149	842	340	7	2
0bfd1043-8177-e3e4-e050-11ac0c4860c5	334	46	173	151	0
0bfd1043-817c-e3e4-e050-11ac0c4860c5	152	191	434	726	0
0bfd1043-817e-e3e4-e050-11ac0c4860c5	120	0	557	922	29
0bfd1043-8180-e3e4-e050-11ac0c4860c5	0	1010	210	2211	0
0bfd1043-8181-e3e4-e050-11ac0c4860c5	0	912	303	1660	0
0bfd1043-8183-e3e4-e050-11ac0c4860c5	138	27	521	829	0
0bfd1043-8187-e3e4-e050-11ac0c4860c5	31	1054	53	1953	0
0bfd1043-8189-e3e4-e050-11ac0c4860c5	276	492	155	231	0
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	168	841	267	106	0
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	233	0	424	405	0
0bfd1068-3fca-a95b-e050-11ac0c4860c3	340	26	196	107	0
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	319	399	114	303	108
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	141	516	375	715	171
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	185	803	193	34	521
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	176	386	313	777	95
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	162	146	394	1265	312
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	200	367	264	1072	235
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0	1095	169	2243	0
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	0	1000	215	2155	0
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	253	477	227	271	0
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	34	1099	20	1929	0
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	301	459	248	0	12
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	326	356	196	0	5
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	161	28	469	823	12
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	132	169	454	1385	329
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	173	190	370	1163	225
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	287	474	167	219	0
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	243	434	232	394	0
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	266	551	152	233	0
0bfebf9f-c779-e57d-e050-11ac0d487827	168	283	364	1086	256
0bfebf9f-c77d-e57d-e050-11ac0d487827	0	1097	198	2169	0
0bfebf9f-c77f-e57d-e050-11ac0d487827	83	890	492	415	667
0bfebf9f-c781-e57d-e050-11ac0d487827	237	466	282	205	16
0bfebf9f-c783-e57d-e050-11ac0d487827	228	503	273	271	10
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	155	187	416	1216	258
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	173	242	353	1183	177
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	208	600	219	286	0
0c18a8b7-bad1-4aa4-a6df-472f89d9761c	444	0	0	1	10
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	58	1141	393	0	320
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	180	899	198	172	409
0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d	456	0	0	17	8
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	423	0	62	22	6
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	149	0	660	201	92
0cd60b96-eb2d-4687-9709-d1455ec45de7	307	313	154	49	42
0cdbabf2-c623-11e3-bf01-24c6515278c0	358	269	124	0	4
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	442	0	0	10	16
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	366	416	0	14	33
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	0	1362	398	273	174
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	392	29	87	74	0
0d31a44f-1fc5-43a2-9633-36c4e650d3d2	418	38	50	41	12
0d569bd5-418d-4d72-87ca-8e14668c2119	406	0	54	77	0
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	385	0	87	143	0
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	372	264	85	22	0
0dd39eca-c623-11e3-bf01-24c6515278c0	359	0	128	73	0
0e1e628b-823a-4861-aa95-bed2fada7349	457	0	0	8	10
0e54cea2-d568-4a33-b9db-b698844e6ad9	304	189	236	60	51
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	273	412	195	21	317
0e6ca8dc-0f31-4675-95b1-5920576daeff	418	90	26	72	6
0e7ac212-0469-4f17-9432-205ab1831257	403	131	29	0	0
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	390	0	80	63	0
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	299	534	105	20	111
0ead45d8-d785-4404-8319-2ef951e02e03	0	1853	438	25	413
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	0	0	1080	267	257
0ed63d84-d3fe-4289-9255-35f4a03b703b	457	0	0	15	10
0eeafcd6-c623-11e3-bf01-24c6515278c0	357	31	150	75	0
0ef92ff8-829f-425a-91d8-c594b6e22a2b	251	370	285	85	155
0efb6e20-236d-4640-9373-6fc03e67d090	445	0	0	1	10
0efee3f3-313b-44eb-b3b0-af975a1ded82	382	58	120	114	55
0f53e757-1823-409f-a0ea-249270728e15	383	247	0	200	142
0f6b355e-3898-4be6-be97-da0c3840a4ed	322	235	186	0	26
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	276	288	212	45	273
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	412	0	79	66	0
0fbd94b1-bb34-4620-841b-861a0b5e0c12	346	296	73	121	149
0fc63b79-7fff-441d-88fc-922d53c787ab	323	269	94	0	470
10136472-c623-11e3-bf01-24c6515278c0	454	0	0	8	12
1021b60d-f7b2-43b0-b2cc-f282d619d533	0	639	422	1793	70
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	161	140	416	580	0
108749d2-5c62-4ef1-92df-aec6941ba53b	427	0	54	45	0
108b67d4-5d66-46da-8675-6acae643b76f	353	0	185	113	0
10ad692b-4c3d-42de-9b5e-4968441388b3	382	0	118	85	0
10bb1a92-901e-4a14-80f4-5e88f997754b	379	194	52	116	0
10cb8ac6-c622-11e3-bf01-24c6515278c0	322	226	173	11	0
10d15b7a-16d1-4953-aaef-f193ffa97f42	384	324	20	18	0
10db2142-c623-11e3-bf01-24c6515278c0	416	206	0	0	0
110b5f05-ded7-45ec-b0f6-a941c92d77dd	0	2004	168	1115	1131
1127b561-ea40-4d5e-95df-daa0a5ebc1e4	436	0	33	41	1
11473a98-d953-45f9-abf5-709b68a4bae8	386	15	94	36	0
1157a548-6770-4c89-a84c-bcf6f0e96ea8	419	4	48	33	5
1168944c-5451-4a18-8758-88bf5723bdd9	287	0	271	143	0
1193a9c4-5aab-4cd7-a690-60c96bd1172d	444	3	12	16	9
11ae45fb-05f6-425a-9295-d50d13407006	444	0	0	1	10
120f01d1-8884-4aca-a1cb-36b207b2aa3a	105	0	614	1184	126
122bf0a9-8052-49da-a9d7-0e5de9ab7032	433	0	36	38	0
123c9d1c-72ba-4d82-8e57-d5caa52a40ba	280	282	236	38	0
124d5b04-4588-44c3-9c00-61e064cf1bdb	290	152	230	138	92
126ee433-d345-4cac-882a-c91831a24690	178	0	524	257	10
127b0f7d-d24e-48b7-ac25-d3f14a43952d	130	31	522	541	0
12874085-a596-41ae-b4cd-817cb1ebb278	221	1062	0	384	131
1292e13b-d7c6-447b-a227-9a8113215580	134	769	279	296	0
129459c1-38be-45da-bb87-18848c97c544	273	35	258	360	0
1295947c-c623-11e3-bf01-24c6515278c0	437	0	36	24	9
129d2c6c-6688-4b29-bfa7-8df3fe77b25a	445	0	0	9	7
129de5b2-d9b0-4762-9ef8-72d98231fb50	234	60	344	406	4
12ae2ba1-9484-47fe-8a3f-bba94a6abe0c	449	20	0	0	4
12d7121a-0345-4808-a819-09d6e3227bd5	440	46	0	0	15
12f038e1-00af-4c64-a2e0-9e63323492ef	226	571	253	192	251
12f1ae2f-2666-45be-9742-f502d212373d	345	3	187	87	0
131332b2-ff51-4bd7-a626-aff2ecea6135	375	0	105	133	0
1327bbd4-a466-4e26-905f-cf91315f1cc8	368	426	0	72	0
132f7f2a-b902-4343-aa08-cf6a7af10b9a	458	0	0	25	12
13446fc4-9fa6-4bb3-a00a-b9265b41eb12	447	0	0	1	12
134c9a92-e91e-4347-a9c4-727279edebb1	236	64	364	320	8
1358ff92-4db9-4e42-b63a-984a7bea425a	446	0	0	16	7
13642cf8-9840-4a7d-a26a-95f65b2c70c3	457	0	0	27	9
13bd2b30-c623-11e3-bf01-24c6515278c0	343	90	139	171	100
13c312ec-0add-4758-ab8d-c193e2e08c6d	421	98	0	0	0
13c62975-9f5e-4d40-a461-dceab08a31ec	341	69	132	144	0
13c7065e-6780-4571-978e-a7c13078ff50	451	3	15	21	3
13d05f7a-e16a-40ef-9a15-21257da2cf89	403	34	104	22	48
140d5fa9-afbe-444e-a7e7-6a4cb4ab2923	379	49	125	48	0
140d6ef7-0217-4d16-9add-215d0d14ba06	431	18	11	36	1
141918cd-3e23-45bc-96e1-b208c80f69e7	451	0	0	82	15
142b6dbf-c943-4a7d-8ab6-13a975f48d7a	333	63	215	115	0
14334aea-2dae-428c-9d4a-1a37878dfc3f	345	159	120	166	0
1447c8cb-25d4-4092-8919-4df08f898d2d	446	3	18	67	0
145f2b89-8878-4390-b0f6-f09b02fb138a	313	118	194	170	0
145f6dbb-9744-44f7-8485-e440689de3fd	392	0	93	133	0
14630c19-9ee0-4ab3-9d8b-8c3309d1e7d0	280	651	109	193	145
147e3496-514e-4da7-be42-7cd9be78ed04	457	0	0	10	73
148536ce-ee2a-4952-a19d-10d6f44146b9	440	74	0	0	0
1494bb16-f1f0-42a4-b10e-c383574cbc8b	442	0	0	35	14
14b8bbf2-310b-459b-b52d-a7ef510ce1cf	257	281	195	195	0
14bf9bfb-14d6-4cac-a556-828f680e8a15	250	576	109	297	0
14c5b81d-da49-4db1-9834-77711c2b1d38	204	0	418	466	0
14cbcbb1-028b-471a-bb4f-8b29cfa5e4eb	455	0	2	24	5
14dd86c1-dfb3-4124-a453-4d64223bc048	459	0	0	15	8
14ed7388-41ed-43d4-afb2-04cd6410d5d2	245	695	16	579	189
14f41457-25c3-4979-8515-4f33322039a5	453	5	0	5	14
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	181	549	354	83	217
154f80bd-984c-4792-bb89-20c4da0c08e0	443	0	0	18	6
15563a10-47a8-401d-a507-2c7101f7ae60	415	0	41	44	0
1558629a-770a-4dcb-b0bf-9a8bcea9d80b	344	0	171	176	0
155873b2-e5de-405f-87f6-6de0d238b160	445	0	22	52	0
15678c3d-ce61-454d-849e-1d4ca358909b	388	60	90	51	0
15895218-c623-11e3-bf01-24c6515278c0	358	202	85	40	0
15a93657-0521-430a-a816-bf0842374b75	447	0	0	15	6
15abb2a3-10a2-4e04-8eb9-6eadbd976af0	444	0	0	9	8
15d597de-d26c-4ce1-b0cb-077e39b55f30	155	768	339	0	91
15daadb0-6b24-4248-9225-470dc08f1552	416	21	59	56	0
15dd024e-c0da-461a-84db-d01e60a22210	447	0	0	8	7
15e097e3-e468-466c-8e57-b59fba90bbf2	443	0	0	49	6
15e7d981-8c27-4b2b-b4f8-626e22021895	129	1137	40	1707	177
15f90ef0-831b-40a3-98bd-ec226a9e8b26	259	105	275	304	0
15fd8dc8-c622-11e3-bf01-24c6515278c0	428	8	41	93	14
1659bae5-3140-4d05-891c-81b48277b2fc	191	1260	0	504	262
16c6f975-48fd-4cda-946a-777cb922949d	369	0	106	229	0
16d33e09-2e21-4da2-8e57-e78ce28c4408	150	945	246	400	79
16d5519e-ecb9-4fc8-81f1-e0e4adf722a8	267	506	169	92	6
16df7888-2480-4394-8856-d57a6ef371d2	311	586	0	265	249
170ad241-9e24-469b-b7ca-3fd783a89b21	183	690	273	240	31
1727e88b-df0a-4af2-9191-8c6061d98ad0	346	287	92	0	0
172c9864-c26d-4e9b-947a-e8ce761e996d	370	253	88	27	113
1776f326-b12f-4355-8107-80fa6fcd2159	388	1	112	120	0
178d0486-cb0d-4979-8bdf-bb3fe99149bd	444	0	0	7	13
17a66d24-de77-4f2a-a8ad-d2c6a69e7671	445	0	0	8	8
17de5b12-c623-11e3-bf01-24c6515278c0	286	206	244	295	34
17ed8831-a261-42d9-8ff3-cf75a6cb2a24	211	716	123	432	187
183b04f5-107f-496c-8e9a-8263dd00cffa	270	238	221	223	0
186cacaf-4f20-4ad2-a07a-a7dc942a70b0	377	0	104	119	0
18ec066e-8510-4921-9e35-45d85fb01e38	394	0	0	254	803
18f5e75e-c623-11e3-bf01-24c6515278c0	423	97	29	55	30
18f9240e-7acd-41eb-a154-c2a67a1cbe9b	439	6	25	16	6
19085f7d-e6a6-406f-bd09-520a27e0283d	411	0	81	47	0
190eb791-383d-4e27-870d-e470630843e7	282	374	179	177	427
19233fd1-5229-466e-acf3-5882165758e0	444	0	0	1	10
1924d200-6929-4eef-8a7f-317f8fbab915	456	0	0	4	11
199bbb0f-996c-40c1-b06d-2066f04be778	439	26	20	16	0
19aa8223-ee84-4b5c-b11a-6ca2a2680b3c	430	0	39	32	0
19b6b9d6-6912-4b85-a4bf-52014bcb170b	417	62	47	71	0
19c1c97f-a3ec-44a8-8a20-6f97caed1a4f	258	137	257	453	0
19cd4360-8392-4bc2-ae88-fdc1335d886b	444	0	0	21	5
19d6cf34-1cd7-4242-a4d1-5d3e11f428aa	461	1	0	0	14
19def402-fb8d-4b27-90dd-ce9135a3c0a2	445	0	0	0	11
19fe27d8-c623-11e3-bf01-24c6515278c0	366	23	124	110	0
1a0ef226-41a5-4b56-9078-4b7834f0c976	354	322	82	0	73
1a134c18-ced3-4bae-9f15-5f0f09526639	445	0	0	12	8
1a319682-f55e-4e0b-8476-48a0bea6c265	356	0	151	161	0
1a391468-fbf3-451a-b88e-a257a26d047f	0	2361	84	63	1699
1a4633c4-72a0-4e30-8c4c-345e04337627	370	57	130	92	0
1a5bf97e-3d49-4d3f-b385-ffa7a295be9c	451	0	10	30	3
1a841850-fca0-48ab-8c78-db0bd5a64435	320	263	145	192	0
1ac15380-04a2-42dd-8ade-28556a570e80	225	0	128	1464	1971
1ac54c6e-a1e4-4f3b-b4a5-cdb327e0dca6	341	255	104	189	57
1aff91a6-1b0f-4575-8f4b-4e064a50b886	265	600	88	248	0
1b06afe2-c623-11e3-bf01-24c6515278c0	386	180	48	86	9
1b0fe1d5-b286-4f49-ae92-94d9c6db9657	364	0	111	92	0
1b1780d5-06da-40ee-9e15-02631a68027b	300	0	204	163	0
1b7838c9-c685-41c3-b184-a2e40c7c4dc7	456	19	0	12	4
1b8fe07d-859c-4d91-ade1-6b2bcb5774ce	411	84	43	65	32
1bb2bdb7-8a89-4e7d-903d-03a6f8018efb	282	416	234	39	96
1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa	41	558	566	596	120
1bbb522d-e224-4b3f-9e10-3a47d06b2b05	444	0	0	1	10
1bbfe6f2-ad19-4d29-895b-973f5a91c707	207	0	404	518	0
1bd47e40-d708-4ca2-b4b3-eb8d996c916b	455	0	0	18	7
1bd74f92-47f6-427e-af6f-299c3a7fe023	456	0	0	1	14
1bdfaa8a-1b7e-4251-b135-ce5e4568371b	450	0	10	25	10
1be81ade-7ad6-4e7e-90d0-f986b3fb0a25	420	0	44	74	0
1be8fa2c-8fea-4e8c-90db-c04d9fcdbf49	239	513	150	258	79
1bea3a72-3b73-4072-a6bb-96a90119d3ac	352	56	45	0	0
1c00925b-7328-4db0-b930-04aab2d80719	335	521	20	103	0
1c0e384f-7254-4afe-93c0-b3fc6c6a7894	236	1098	0	240	32
1c10ab52-01a3-11e4-8395-af1f6b7ba88c	403	0	68	40	0
1c188bf5-2c99-4eb4-a774-59c75d53e643	0	2079	0	2515	2061
1c1c6494-c623-11e3-bf01-24c6515278c0	433	7	29	47	1
1c28e44a-6e6c-44ed-b58a-e3262c0e6759	287	0	248	480	0
1c300960-e51c-4477-8fdd-026c7e545dc4	445	0	0	1	10
1c3df485-8e75-4378-87f6-c6463a520624	255	14	328	233	0
1c9fbe26-1447-4335-aaab-06d6bb3e2741	321	345	150	39	48
1cb25b72-3726-4f12-9e22-f5c7e4b05681	418	66	56	17	0
1cd0acf2-3116-4dfa-a063-0a435b9f6da3	160	1209	0	503	988
1d0617e8-2725-4411-b50f-e46ea1d43242	405	0	73	96	0
1d1eeba2-4d7b-4380-b0b6-26d246bc4158	428	0	23	34	0
1d2d355a-8409-4c8a-9f07-ac62885e228d	42	1535	272	0	941
1d325d84-a3a0-4802-9842-76cb21cecb1c	443	61	0	66	0
1d4a091d-fe65-49c0-8810-5a95243b108a	331	304	75	116	0
1d6c9181-a02f-4c35-85b3-65dc5808f50e	366	0	108	69	0
1d91f9c7-67ba-4606-9f0a-01ec6fc08262	271	0	384	120	26
1d97ba51-d981-4986-9f71-c2b6cb9961c3	444	0	0	1	10
1daefc49-5248-4948-87ce-0ec19a248ef9	307	370	186	0	95
1db83e80-bdf7-4d8d-8008-bd8406d641fc	339	42	184	115	62
1dbdbb2c-c623-11e3-bf01-24c6515278c0	342	314	137	0	47
1dc9e7fd-fc62-4b32-9619-4e02a266a385	124	1387	42	381	195
1dd96495-5f83-4d36-96cf-b77cd0cbbfda	455	0	0	1	12
1de83d45-8492-4b83-9055-a9f43b823f91	449	0	10	34	6
1df8939c-c622-11e3-bf01-24c6515278c0	325	264	142	59	90
1e046ab9-fa4c-4c15-8d78-ed0048c80ebf	445	81	0	0	0
1e181878-c640-4e91-a620-3fc4b08a4de1	248	0	314	247	0
1e27cc8a-5394-4958-9af6-5ece1fe24516	298	0	273	449	19
1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494	219	1033	0	542	581
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	426	87	0	0	0
1ea7e01c-c623-11e3-bf01-24c6515278c0	336	73	201	80	0
1eb1bc62-18f6-4bcb-a16d-aa6a91914031	462	0	12	57	1
1eb37b28-fac2-477a-88b3-e04291a07926	397	220	0	0	0
