MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R
BPArm[7]	3.135363582984496e-08	0.0012055533246166305	0.0035056912936852315	2.4723346671180478e-05	9.208613441278435e-05	0.0007793891688925214	1.3635540667640191e-05	2.9541794576235514e-05	0.0007821324584074319	0.0002828499010646901	0.0003265748447344785	0.00018212972302268925	0.0008972802738230312	0.001651917024807723	3.8573112744444414e-05	0.00031785477491723667	0.0007405224782040421	0.0013204600319295422
BPArm[8]	1.25372333353857e-08	0.003477068941574544	0.0024682646882138214	0.00016193699021641806	8.931855800938138e-05	2.6736219006124884e-05	0.0003206926852617897	1.631458917472628e-06	0.002326451839544461	0.0015105433429198456	0.00021300446245817284	0.00021428361054859124	0.0007111915809683467	0.0006489426053286707	0.000515296535068046	0.00019443050814970774	0.000170918292189981	0.00010544607466883349
BPArm[9]	2.1536120569098925e-08	0.0003904994538243045	0.002612621420412324	0.00018879154647834186	8.53643044411001e-05	8.398381960432744e-05	5.807151578210323e-05	8.049644275160972e-06	0.0012059743019926827	0.0007089075919429888	0.000375538835514817	0.00018640809541884185	0.0005850753808479681	0.0014061293621853111	8.710720700925378e-05	0.0003939988463844202	0.0003873758916756742	0.0003581279767911383
BPArm[10]	2.3034763303453333e-08	0.0013372091221390292	0.0022493057791143655	0.00044848040190686333	2.9835056989213627e-06	7.163738482631743e-06	0.00019022118914871822	0.0	0.0024572847317904235	0.0010409644727678825	0.00021703520573822742	0.00014084480848744363	0.0005324089875108884	0.00033281912380630276	6.774010882890498e-05	7.23561953054741e-05	0.00028543685935446055	0.0004927304738430394
BPArm[>10 & <=20]	1.207598082197947e-08	6.4755906350910665e-06	0.013604269023053348	0.00449777413205652	0.0010356708245899426	0.0	0.00048488888098699776	9.237275316991145e-05	0.0071439311595167965	0.0041322332405252385	0.00043113521478247205	0.0015627052866057057	0.001321163717374958	0.0011317745709533277	0.0005920457943074098	0.0006626128543979348	0.0006074704735502223	0.001973364138962097
BPArm[>20 & <=30]	4.4560629230971924e-08	0.0	0.0017701893794583156	0.0028209762896244683	0.001825432698969962	0.0	4.864503622641348e-05	0.0006270835374357375	0.0005912602927764965	0.0004463794343505345	7.947367875658528e-05	0.00039782747870187763	0.00011531903939811628	0.000178497162705753	8.430164172855494e-05	3.758550853945053e-05	0.00015786913685587932	0.0006061562830947764
BPArm[>30]	6.827489070104775e-08	0.0	1.7698586452752353e-05	0.0027432699367636814	0.0012830613566063675	0.0	1.511953187005588e-05	0.0026847412216011433	0.0	0.00017513039339687398	0.0	0.0012452531555848623	1.6252994433898494e-05	1.0072506709946084e-06	4.905585083179176e-05	2.2360016955644824e-05	0.0001298087851944274	1.2671449194527895e-05
CN[0]	8.057732179977961e-07	0.00032477288359451963	1.192168976871244e-08	9.04562739378889e-09	6.182004597121704e-10	4.402348141585577e-08	0.0042728711938156035	9.727256439699406e-06	0.010857372169693348	0.0771232416584733	0.001975407898426056	1.8045251692910824e-09	0.010755585953593255	0.0011797419847334822	1.2500827040184959e-09	0.002332911958258137	3.548416088960948e-08	0.00286181014690321
CN[1]	0.001472654100776616	2.865923335775733e-05	0.0006613678851863369	0.00036256872681192045	2.8614813345484436e-06	0.0002686638187151402	0.3240039537847042	1.401298464324817e-47	0.024226661750155927	0.02064978836996886	0.0002572500346286688	0.0029612942650561534	0.008642978329117952	0.0013530381315784723	0.002343011330357854	0.00213138779743518	0.0006977457181545787	0.0036409869728709055
CN[2]	0.024863849242506238	0.04326843733510628	0.010320187368155466	0.07142548871891888	0.0006195990911151992	0.0003412270545959473	0.21868940778076648	0.0016652632733136139	0.011307135971361766	0.08978198835532027	0.00037734243059556167	0.015473474338658698	0.41529279678710734	0.002194902314645049	0.0003910263628004887	0.0018684772246606795	0.0010158558306464502	0.001898404418639857
