MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z
BPArm[>20 & <=30]	3.479168837916546e-08	0.0025606550928205254	0.0	0.0	0.002506599444895983	0.0016205022678695967	1.2207982363179327e-05	0.0010336120588544872	0.00044194697768602966	1.2122671123506734e-05	0.0005858303579015001	0.00012109604920169658	0.0010646327981478976	0.00032464843065997505	0.00023701260176352433	0.00014932050934191921	0.0003750791187886193	4.133219481445849e-05	4.426334995059733e-05	1.1431206949055196e-05	0.0003385908513935476	0.000753779168736326	0.00019073377023232752	2.3598918960487936e-05	2.802596928649634e-47	5.654909603435954e-05
BPArm[>30]	7.094483235547955e-08	0.003331525046960451	0.0	0.0	9.6201038104482e-05	0.001235733316395624	0.0	2.6704887859523295e-05	4.8341779479414984e-05	5.501960608786938e-06	0.0029549874685471877	6.897588491483475e-09	0.000766211914633459	0.001288682607806262	2.5196574279107155e-06	0.00013579494926830194	0.0	9.48345914366655e-07	6.867768825031817e-06	0.0	5.282931961119175e-05	0.0	1.4485394058283418e-06	7.157228196774667e-09	2.939444812000147e-09	0.0
CN[0]	1.4335965430500863e-06	1.0766306246523528e-09	0.0007246813673614483	1.431380531125015e-07	2.991466802750519e-08	0.0	7.296412523061235e-08	0.0057374312655160105	0.002214878299117231	0.0029187632117785613	9.909497856175342e-09	2.643942789148923e-08	1.1600080437323968e-08	1.244357084541292e-05	0.16299395628273486	1.1571016713673999e-08	1.8430749122444466e-08	7.992659156741412e-09	6.997059922575521e-09	2.063761233017658e-08	5.413123815856124e-09	3.098725604999686e-09	2.854786415262822e-08	8.334778925700448e-08	4.734414143556798e-06	2.627082370446393e-06
CN[1]	0.0006631597017231972	0.0021795341756660493	7.893844210694556e-05	4.082889468212636e-09	0.0011916713874753526	4.203895392974451e-47	8.349111344680221e-36	0.015944103962022872	1.176723927187595e-08	0.4294279743731022	5.605193857299268e-47	0.0008522399976712336	0.001188362086794088	0.0006067137476132701	0.04311201819236181	0.000532710743017546	0.00018665138308278983	8.794443721384936e-06	0.0004050811339578786	0.00019059518511994612	9.677240786949426e-05	0.0008854423851815442	5.191302878643e-05	0.00021493694278346874	0.00046143714331439733	0.00232529394885006
CN[2]	0.0042300583031495975	0.0426080962179989	0.02383183420270421	1.0312458664802023e-11	0.011471402841119223	5.9374178655389186e-05	1.159156085733023e-12	0.0038901133056304248	0.004061119834487528	0.23431572500616316	0.00010044836089946664	0.8166256354004144	0.016448330143144965	0.00841065690794791	0.042759286821721615	0.007911608633545751	0.006780126207060386	0.0010806790560673268	0.00010708906283153662	0.0008047839211770111	0.0035543483650879136	0.0011953803537109791	0.00581005572228275	0.0016221161559160802	0.0003611326401796861	0.005395361237975949
CN[3]	1.3336895808624406e-07	0.09538662629295061	1.2611686178923353e-46	0.0013866201009281555	0.02198217043565819	0.0026115773379569917	0.0403393719154019	0.0347760274493524	0.03312480139013284	0.0	0.0020023131567882047	0.001212650865333842	0.02445862695299455	0.004327268168746059	0.0005189003515988588	0.3673654618673027	0.012826437111731365	0.059037202730625044	0.06333717977719987	0.05955706741855364	0.013908553928826688	0.03416444701540911	0.022268235584404415	0.023323235557333816	0.04189178670695662	0.011655217281288514
CN[4]	1.074966469838401e-08	0.004798990382364821	4.977498203516007e-05	0.0	0.0014644396627046775	0.1515954725816846	0.002333626836630136	0.007060041124696	0.21300025602389724	0.0	0.0054373275750057345	0.0005643016503836406	0.010262656984415126	0.0008353443030554067	0.0022773882608106534	0.12711379836766354	0.016768137428322692	0.005271152335402008	0.010265200640813724	0.013500649364907451	0.007529135162405396	0.01295438204376353	0.011553110953026993	0.02414057991457753	0.017940230261240798	0.01195058020581488
CN[>4 & <=8]	5.645272675991464e-08	1.413382423720577e-07	4.5573554707800664e-09	7.536111183981121e-09	2.0875044342005822e-08	0.3555163161456585	8.61267308494007e-08	0.07785507523004029	0.003959175775140764	0.0	0.03454441703652117	6.076243751422245e-08	0.02686912812205236	0.0001684365045302627	3.1508901340515647e-07	9.061239646683817e-05	0.0010786211933769786	3.4259150523041624e-06	7.291396740261355e-05	0.00010944949564713369	1.2634295130237172e-07	0.0005829001350362573	0.00020033504385878588	8.4127941887953e-07	4.864736041554352e-07	7.620630100291237e-08
CN[>8]	1.191131965150305e-07	4.787292198216164e-09	4.342594917342013e-09	3.88657542149673e-09	1.3060378856177835e-09	0.0022133765014277175	6.67272752608028e-10	8.23362505745707e-05	1.6500995752011248e-08	1.332086236871533e-09	0.2278547465801239	4.7223718269151505e-09	0.0011094054687802667	4.769756768219224e-08	7.062260813928134e-09	2.802596928649634e-47	1.7837866096215293e-07	2.6948887921207643e-09	1.179921850891219e-08	3.463025199046399e-08	4.403949205311619e-10	5.360652586716696e-08	5.109720908897941e-06	2.4640240265938472e-08	4.922036964671861e-09	1.0405410364455748e-08
CNCP[0]	0.050113684923203436	2.9294333625529136e-12	9.66031751400198e-06	0.00021891144949815811	6.435610799826463e-10	0.0	5.605193857299268e-47	0.00015286397351538028	0.0	3.5126012676300888e-09	0.0	8.235957338342814e-09	0.0015086921604455128	2.7935226398767553e-09	0.0017238807192825334	0.0	3.3857937609127474e-09	0.0	0.0	2.802596928649634e-47	0.0	1.401298464324817e-47	1.2821288919440122e-09	0.004682081863284111	0.0018340519070625305	1.3609766256195144e-08
