MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P
NC50[>7]	1.56E-06	3.48E-06	3.95E-06	9.34E-07	0.00E+00	2.57E-06	1.52E-06	9.34E-12	7.32E-06	6.49E-06	1.36E-05	6.66E-07	7.89E-06	9.39E-10	2.93E-06	8.78E-06
BoChr[1]	3.34E-06	5.62E-04	1.46E-03	1.95E-03	1.76E-03	6.19E-04	5.70E-04	7.33E-04	1.66E-03	1.95E-03	1.22E-02	8.03E-03	1.07E-02	7.38E-03	2.37E-02	4.85E-03
BoChr[2]	6.84E-06	2.08E-03	1.83E-03	1.00E-03	1.52E-03	8.69E-08	6.09E-04	0.00E+00	4.78E-04	4.92E-04	3.74E-03	1.25E-03	3.35E-03	2.40E-47	2.78E-03	0.00E+00
BoChr[3]	1.14E-05	3.05E-03	1.30E-03	7.42E-04	1.79E-03	3.23E-04	8.55E-04	7.50E-05	1.17E-03	5.27E-04	3.29E-03	1.88E-03	5.59E-03	2.41E-03	4.41E-03	4.23E-03
BoChr[4]	2.89E-09	2.38E-04	8.70E-04	7.83E-04	5.23E-04	4.02E-04	6.11E-04	3.15E-04	6.94E-04	2.95E-03	2.82E-03	4.23E-03	2.55E-03	6.89E-03	5.05E-03	4.97E-04
BoChr[5]	2.82E-07	2.54E-03	7.35E-04	1.06E-03	4.75E-04	3.93E-04	5.24E-04	6.60E-04	1.18E-03	3.79E-04	5.10E-03	7.14E-03	6.18E-03	4.05E-03	5.86E-03	3.36E-03
BoChr[6]	4.96E-06	5.27E-04	8.13E-04	1.56E-03	1.27E-03	3.32E-04	6.79E-04	3.22E-04	9.88E-04	1.31E-03	7.88E-03	9.55E-03	3.96E-04	5.43E-03	1.41E-02	5.98E-03
BoChr[7]	1.12E-05	4.17E-04	7.82E-04	6.74E-04	1.44E-03	5.08E-04	3.32E-04	1.54E-04	1.44E-03	5.57E-04	5.21E-03	9.77E-03	1.02E-02	5.09E-03	1.13E-02	6.56E-03
BoChr[8]	2.64E-07	7.02E-05	1.30E-03	4.02E-04	2.18E-04	4.42E-04	7.76E-05	2.93E-04	3.03E-04	8.06E-04	1.57E-04	4.08E-04	9.48E-05	1.36E-02	5.42E-08	3.06E-05
BoChr[9]	6.52E-07	2.83E-04	2.25E-04	9.71E-04	6.01E-04	1.55E-03	6.45E-04	1.02E-04	4.57E-04	5.58E-04	2.64E-03	4.54E-04	4.81E-03	4.02E-05	3.96E-03	3.85E-03
BoChr[10]	4.29E-06	2.89E-04	1.03E-03	4.16E-04	4.88E-04	1.71E-04	4.67E-04	0.00E+00	4.14E-04	6.48E-04	2.07E-03	6.60E-05	1.85E-03	3.06E-03	2.68E-03	4.86E-04
BoChr[11]	6.04E-07	1.04E-04	6.77E-04	8.60E-04	8.33E-04	2.57E-04	3.95E-04	1.37E-03	2.22E-03	1.05E-03	2.65E-03	1.98E-03	1.41E-03	4.47E-03	2.04E-02	1.30E-02
BoChr[12]	1.03E-08	1.25E-04	6.98E-04	8.06E-04	3.97E-05	2.72E-04	4.52E-04	2.83E-03	2.48E-03	1.12E-04	1.07E-02	7.30E-03	1.53E-02	3.62E-03	8.37E-03	6.86E-03
BoChr[13]	2.25E-06	2.82E-04	3.39E-04	6.80E-04	3.87E-04	3.34E-04	5.07E-04	8.21E-06	2.19E-04	4.68E-04	2.73E-03	1.55E-04	1.98E-03	1.36E-04	2.17E-03	2.96E-04
BoChr[14]	1.57E-05	2.22E-04	5.70E-04	7.01E-04	4.87E-04	2.93E-04	2.39E-04	1.22E-04	2.81E-04	1.75E-03	1.33E-03	1.14E-04	2.57E-03	1.91E-03	2.28E-03	1.49E-03
BoChr[15]	2.22E-07	1.35E-04	3.29E-04	5.05E-04	3.29E-04	1.98E-04	1.42E-04	7.71E-05	1.95E-04	1.21E-03	8.05E-04	1.84E-04	1.55E-03	1.12E-03	1.57E-03	2.02E-03
BoChr[16]	3.86E-08	2.09E-04	2.47E-04	5.56E-04	2.13E-04	2.66E-04	8.94E-05	9.83E-05	3.21E-04	3.55E-04	9.75E-04	3.82E-05	5.84E-04	3.71E-04	6.36E-04	1.02E-03
BoChr[17]	3.22E-06	1.46E-04	5.71E-05	4.69E-04	7.64E-04	2.94E-04	5.71E-05	5.05E-04	6.35E-05	4.38E-04	2.60E-04	4.11E-06	3.53E-04	7.95E-03	1.58E-04	1.45E-02
BoChr[18]	5.35E-09	1.63E-04	4.76E-04	8.21E-04	7.29E-04	1.49E-03	3.85E-04	1.12E-04	1.81E-04	2.16E-03	2.56E-03	1.15E-03	4.80E-03	2.78E-03	3.88E-03	3.78E-03
BoChr[19]	4.87E-09	2.73E-04	7.84E-05	2.37E-03	8.53E-04	1.74E-03	1.29E-04	2.50E-04	3.15E-05	2.47E-04	3.84E-03	1.22E-03	2.58E-03	1.92E-03	5.51E-03	6.70E-03
BoChr[20]	3.05E-09	2.03E-04	2.70E-04	1.95E-03	6.08E-04	2.51E-04	5.97E-05	3.44E-04	1.02E-04	2.25E-04	3.04E-03	3.23E-05	2.70E-03	1.45E-03	2.80E-03	4.37E-03
BoChr[21]	7.95E-06	7.60E-05	2.67E-04	2.34E-04	2.67E-04	2.04E-04	3.74E-04	1.18E-04	1.25E-04	2.75E-04	8.24E-04	1.19E-03	1.72E-03	1.03E-03	4.79E-04	5.30E-04
BoChr[22]	1.13E-05	1.32E-04	9.97E-05	6.28E-04	2.91E-04	6.19E-04	2.20E-04	3.23E-05	1.68E-04	1.78E-04	1.29E-03	5.58E-05	1.92E-03	1.21E-03	1.25E-03	2.09E-03
BoChr[23]	2.35E-05	4.84E-05	6.42E-04	4.01E-04	3.47E-04	6.04E-05	6.19E-04	2.32E-04	3.49E-04	7.01E-04	1.63E-03	3.08E-03	3.76E-04	8.96E-04	1.44E-04	2.56E-04
