MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P
BPArm[3]	1.7483516489558148e-08	0.0021107795464922674	0.0020650041412409335	2.4471739436116023e-06	0.0	0.011923186215572059	1.999797536262893e-05	8.744247222693958e-06	0.0005176004364493636	0.00034378842067269723	0.00036739370148659135	1.0891453428274466e-05	0.0005332916145154787	0.00017133985506120552	6.678142062904513e-05	0.00016522073323841147
BPArm[4]	5.936571292330939e-09	0.015138832866214216	0.0005786418564969153	2.600343941594474e-05	8.693554264027626e-07	0.0037445449095685037	6.765973427469874e-05	0.0002749699693595176	0.0027692472352646292	0.001883565530861233	0.0001525788826688057	2.7693684969563038e-05	0.0006572394047988442	6.35471016777262e-05	7.991742832018645e-05	0.00012726685032248496
BPArm[5]	2.5091709281443995e-08	0.002168158742133528	0.003902649254887365	4.5004953899479e-05	8.314660080941393e-06	0.0036998332623625176	7.510930637116164e-05	3.0408385861395716e-05	0.0008087958627595527	0.00038590521737994263	0.00045892017409707717	1.0607401054585353e-06	0.0005388166266993721	0.00027177330488274974	0.00018964362026496762	0.0006654134914640508
BPArm[6]	3.913117979491981e-09	0.006973937847651541	0.001633159010690548	0.0001414698859480268	8.04782786872238e-05	0.0005018655509849168	0.00030751871314919297	5.16750482779571e-05	0.0027877341980969915	0.0032964121398981663	0.00048163002566752765	0.00012201809358197035	0.0005711607872732221	9.472649321040194e-05	0.0004944982421056921	0.0003951201659549497
BPArm[7]	2.740162994285811e-08	0.0012373713351001925	0.003955745821440359	8.622943621958257e-05	9.737381531746081e-05	0.001256195832729645	4.675005932567089e-05	6.258201772308292e-05	0.0005084382553232559	0.0006586695226678074	0.0003937677575049747	8.81060055235139e-06	0.0005737567979029023	5.117207862291196e-05	0.000874143470873463	0.0008962572223026654
BPArm[8]	1.1611218431739622e-08	0.003192033994710073	0.0024011683947173876	0.00023370784850666542	0.00010761931683205716	5.231191298662452e-05	0.00043795840291904005	2.2204531038028106e-06	0.0020952567165659275	0.002255116489541251	0.0001894276801759176	0.00010559801603449159	0.0005226837734676693	0.00034155111682736104	0.0002556594441040265	0.00016637474974459158
BPArm[9]	1.8249058645336547e-08	0.00043128771794727073	0.002693260530359112	0.00030699236129876794	0.00013065747442851715	0.00026901767746352335	0.00012489126709539278	5.0022774030367145e-06	0.0008202992755695959	0.0010848846929729916	0.00047814674061313455	5.734050008657121e-05	0.00041306704447514165	0.00018436884103834928	0.0006455901237586659	0.0003868126737961575
BPArm[10]	1.8054003083703417e-08	0.001179086743213702	0.0021189505263464526	0.00046109727498333086	1.9412805886531715e-05	2.6159048429690303e-05	0.0003249112452662217	2.9713920230278746e-06	0.0013749983711750246	0.002308568636653945	0.00014915825186088584	6.872212677025666e-05	0.00034673341465597915	8.017477971040061e-05	0.0002472309699762487	0.0002870955007734821
BPArm[>10 & <=20]	8.096281645109116e-09	0.0002859586593694985	0.011290196196641773	0.004521409096406614	0.0013859729737185943	1.789562636986375e-05	0.0009258785085489762	0.0001244969467552437	0.004503767073074414	0.006698269617045298	0.0003900180914482192	0.0010992808240439444	0.0007348202208192413	0.0004110281759305334	0.0013313638340423494	0.0006824710146952384
BPArm[>20 & <=30]	3.8288908887906817e-08	0.0	0.0012752256321255117	0.0028138072026195004	0.0016357229585946698	0.0	7.261790897672428e-05	0.0007005981076326862	0.0004373943554668358	0.0005819915562096867	0.0001248321941119457	0.00035675581991654324	0.00010435459074244591	0.0002849120005203076	0.0006448149243438194	0.00015906435073929969
BPArm[>30]	6.868569656148793e-08	0.0	0.0	0.0026573910983279346	0.0009745732960698205	0.0	9.438100814556093e-06	0.0026399925973964854	0.00010264137754425917	8.443461410934106e-07	3.5472938325256106e-05	0.0015048824570738618	3.088823778881533e-05	0.0002145309915714222	0.00014935800563989688	6.405173444690604e-05
CN[0]	1.024845414203668e-06	0.0018471181566503602	6.604122626514414e-05	0.0	3.287805593572557e-06	9.442563460027032e-09	0.003408167146000665	8.58329526856494e-06	0.07575488608858279	0.010065741522518308	0.0	0.0005592024892799153	0.005650018160231411	5.811089920371159e-09	0.0	1.0124651339538104e-09
CN[1]	0.0020968005098651685	0.0005676734615042278	0.0007035970830474981	0.000555970449349843	0.0	0.00010021389273333627	0.27519133627414705	0.0	0.023546405274964856	0.02785435614641756	4.203895392974451e-47	0.0017512756795215884	0.005323463848457663	0.002652927324453102	0.0006212344719619977	0.00021587493069318952
CN[2]	0.02183259968959515	0.04150609969595207	0.012259243292129298	0.06389829306863248	0.0006911513678196869	0.00015344103798270434	0.20080894336104393	0.001964268949450343	0.08179894470632347	0.01157313911574398	0.0017117930335524873	0.016930260489834616	0.4162060639820993	0.0013016567293223224	0.001943298233376373	0.0009494018065744057
CN[3]	2.300049135133264e-06	0.003138698634428394	0.05927918575704098	0.1201187031250447	0.0006365404906682912	0.032201228723861275	0.0	0.0016415081903695045	0.0015871332865208386	0.03087148633101606	0.1328647774599017	0.032765992788190486	0.029432520784391725	0.06849589810241014	0.05545746564684128	0.05536175498389639
CN[4]	6.328750623563195e-10	0.0013059181114658714	0.004530584798985728	0.009750174997896615	0.10716152979061007	0.002533941691100381	0.0	0.002425752889436481	0.021116589498698202	0.009311780803223898	0.19694840235635638	0.011690057804346737	0.012611970345997285	0.04346052070302506	0.029525379492154648	0.050613672370140673
CN[>4 & <=8]	1.2755698873823107e-08	3.634499762483756e-08	1.41841573680912e-07	0.0007765975872056785	0.2052490711398559	1.401298464324817e-47	0.0	0.06686241805553436	0.00099938135920425	0.05364010089920725	0.04132449105020068	0.003577870715976346	3.289219711177793e-07	2.470552993088404e-05	0.0033279326047459578	0.0019104446525821162
CN[>8]	1.2839076175996668e-07	2.898936669382124e-08	1.0702677388785275e-09	1.0068719928923997e-08	0.0018879573865550016	1.2919348848505762e-08	3.2855104947770996e-09	0.17579030215740205	4.008188726700723e-08	6.416611229427716e-05	3.360324568291162e-07	2.2658515369755605e-07	7.184545580685153e-08	5.717246045477964e-08	1.0697625594495778e-07	0.00017657112546377363
CNCP[0]	0.04589563272893429	3.7869976100211034e-05	1.5870765324166314e-09	2.865734911594586e-09	0.0	7.454543075567699e-05	1.401298464324817e-47	0.0	0.00041695135226987645	0.00029371453926188454	2.4090404338039664e-10	1.2374119833111764e-05	5.706738371236142e-05	0.0	0.0	0.0
CNCP[1]	0.0	0.06339800448156893	0.1792882201448083	0.2967701703682542	0.0067014316038694266	0.03779009768273681	0.24260064464062453	1.401298464324817e-47	0.0010337936878204346	0.005711619767840171	0.026633394142951038	0.23976345870643853	0.04202204966925087	0.04247287967125336	0.05377445871643328	0.05331321562739407
CNCP[2]	3.594250778116148e-09	0.0023690488899362093	0.0031599879851046354	0.0013455412472654072	0.13286835278897344	0.0002498307843907455	0.00011697698384523392	0.005467515050608398	0.29046295639127495	0.02122405908639422	0.05879186269414845	0.009246890871283995	0.012870303307641424	0.02426166285020603	0.01104029427475841	0.033039282165682096
CNCP[3]	1.6504655893090358e-08	8.18349947806496e-09	0.004554493693730137	0.0006416664496555313	0.03802040652217329	0.00011559531189867302	2.065311965182559e-07	0.02923156538978219	0.0038704966723594227	0.08554432268254458	0.0010156995020417269	0.0005318120506865398	0.0005730255500138881	0.0007528675529297857	0.002130975251109959	0.0013388508158847343
