BP10MB[0],BP10MB[1],BP10MB[2],BP10MB[3],BP10MB[4],BP10MB[5],BP10MB[>5],BPArm[0],BPArm[1],BPArm[2],BPArm[3],BPArm[4],BPArm[5],BPArm[6],BPArm[7],BPArm[8],BPArm[9],BPArm[10],BPArm[>10 & <=20],BPArm[>20 & <=30],BPArm[>30],CN[0],CN[1],CN[2],CN[3],CN[4],CN[>4 & <=8],CN[>8],CNCP[0],CNCP[1],CNCP[2],CNCP[3],CNCP[4],CNCP[>4 & <=8],CNCP[>8],OsCN[0],OsCN[1],OsCN[2],OsCN[3],OsCN[4],OsCN[>4 & <=10],OsCN[>10],SS[<=2],SS[>2 & <=3],SS[>3 & <=4],SS[>4 & <=5],SS[>5 & <=6],SS[>6 & <=7],SS[>7 & <=8],SS[>8],NC50[<=2],NC50[3],NC50[4],NC50[5],NC50[6],NC50[7],NC50[>7],BoChr[1],BoChr[2],BoChr[3],BoChr[4],BoChr[5],BoChr[6],BoChr[7],BoChr[8],BoChr[9],BoChr[10],BoChr[11],BoChr[12],BoChr[13],BoChr[14],BoChr[15],BoChr[16],BoChr[17],BoChr[18],BoChr[19],BoChr[20],BoChr[21],BoChr[22],BoChr[23],type
314,3,4,1,0,0,0,43,1,2,1,1,0,0,0,0,0,0,0,0,0,1,7,24,4,1,1,0,18,11,2,0,0,1,0,20,5,0,0,0,0,0,0,0,0,3,1,5,14,15,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0,1,3,0,0,0,1,0,1,0
296,11,9,0,0,0,0,35,3,5,1,1,0,0,0,1,0,0,0,0,0,0,4,28,12,4,4,0,15,16,6,5,0,2,0,21,8,0,0,0,0,0,0,0,1,3,8,2,25,13,0,1,0,0,0,0,0,2,0,2,3,6,3,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
290,19,6,0,0,0,1,29,9,5,1,1,0,0,0,0,0,0,1,0,0,0,2,3,19,23,18,2,10,21,10,4,4,5,0,27,6,0,0,0,1,0,3,3,0,5,13,5,27,11,0,0,1,0,0,0,0,1,3,2,1,17,1,2,3,2,1,1,4,3,1,1,4,1,2,3,1,1,2,7,0
210,13,67,10,16,2,4,9,1,7,1,8,1,2,4,2,3,2,8,0,0,4,55,132,81,24,7,0,0,250,25,3,1,0,0,14,50,6,17,3,6,1,1,2,6,72,73,60,88,1,0,0,0,0,0,1,0,16,6,7,8,10,15,8,7,3,8,10,9,10,5,3,7,17,4,3,6,2,1,4,0
299,9,6,2,0,0,0,35,2,6,2,1,0,0,0,0,0,0,0,0,0,0,8,28,9,1,4,0,14,19,4,1,1,2,0,20,4,3,0,0,0,0,0,0,1,3,7,5,21,13,0,1,0,0,0,0,0,7,0,0,0,1,3,2,0,0,1,0,1,0,2,1,0,0,0,0,0,2,1,1,0
282,14,5,2,4,4,5,31,4,4,0,2,0,1,0,0,0,1,1,0,2,1,26,51,40,23,4,0,10,109,9,1,3,0,0,30,7,2,4,2,4,1,0,0,2,12,43,47,32,9,1,0,0,0,0,0,0,1,0,7,0,0,25,0,1,6,0,0,2,0,30,1,3,1,13,0,2,2,0,0,0
302,10,4,0,0,0,0,35,7,3,0,1,0,0,0,0,0,0,0,0,0,0,8,27,1,5,0,0,13,12,6,0,0,0,0,18,3,1,1,0,0,0,0,0,0,3,2,6,14,16,0,0,1,0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,1,0,1,0,2,1,0,0,0,1,2,0,0
321,1,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,20,1,0,0,0,23,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,9,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
302,11,4,1,0,2,2,36,3,5,0,0,1,1,1,0,0,0,1,0,0,0,25,32,8,2,1,2,13,35,8,0,2,0,1,17,8,1,0,2,1,0,0,0,0,4,14,16,21,15,0,0,1,0,0,0,0,0,0,0,3,0,3,1,8,1,0,0,0,0,0,4,0,2,2,6,3,1,2,1,0
307,8,7,0,0,0,0,38,5,4,0,1,0,0,0,0,0,0,0,0,0,1,11,28,5,1,0,0,14,20,2,0,0,0,0,17,7,1,0,0,0,0,0,0,0,2,5,3,23,13,0,0,1,0,0,0,0,0,0,1,0,2,2,1,1,0,3,0,0,0,1,0,0,1,0,2,0,0,1,1,0
300,8,2,4,0,1,1,36,5,1,1,0,2,0,0,0,0,0,1,0,0,0,14,27,9,2,8,0,14,23,13,0,1,0,0,20,8,4,0,0,0,0,0,0,3,3,8,12,18,16,1,0,0,0,0,0,0,1,0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,4,5,14,0,0,1,1,0
285,15,10,3,0,0,3,30,4,6,1,2,0,1,0,0,0,0,1,0,1,1,18,40,24,12,13,0,10,63,21,1,0,0,0,31,9,4,4,1,1,0,0,1,2,14,30,20,29,12,1,0,0,0,0,0,0,2,1,2,0,0,1,0,2,3,0,0,0,0,2,2,4,1,2,32,0,0,14,0,0
289,12,14,1,0,0,0,28,4,10,1,2,1,0,0,0,0,0,0,0,0,2,5,22,15,18,4,0,8,27,16,0,0,0,0,11,15,1,1,0,0,0,1,0,2,3,5,7,38,10,0,0,0,1,0,0,0,5,6,1,5,3,1,3,4,1,2,1,1,1,2,0,1,2,0,2,2,0,0,1,0
286,9,15,3,6,1,2,31,4,6,1,2,0,0,0,0,1,0,3,0,0,0,6,27,33,28,15,4,8,45,38,0,1,2,3,22,13,4,1,0,2,1,0,0,1,10,30,26,35,11,0,0,1,0,0,0,0,2,4,11,1,3,5,15,11,3,1,4,1,1,1,0,3,1,3,10,1,1,0,2,0
311,3,2,0,0,0,0,42,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,25,3,0,0,0,19,7,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,2,3,10,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
315,0,1,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,13,1,0,0,0,22,2,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,1,0,0,8,16,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0
304,9,6,0,2,0,1,36,4,5,1,1,0,0,0,0,0,0,1,0,0,0,11,26,18,3,2,0,14,27,9,0,0,0,0,16,7,1,1,1,1,0,0,0,1,3,10,10,22,14,0,1,0,0,0,0,0,1,10,2,0,1,0,1,1,1,0,1,5,1,0,0,1,2,2,1,1,1,0,1,0
310,5,1,0,0,0,0,41,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,15,6,0,18,4,2,0,1,0,0,21,2,0,0,0,0,0,0,0,0,0,1,2,12,15,0,0,0,0,0,0,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,3,1,0,0
286,8,24,1,3,0,0,33,2,6,1,0,0,2,0,2,0,1,1,0,0,23,11,57,2,2,0,0,11,20,51,0,0,0,0,13,19,0,4,0,2,0,0,0,0,18,15,12,44,6,0,0,1,0,0,0,0,1,6,4,0,5,5,1,1,3,0,2,2,4,0,1,0,0,0,0,0,0,1,1,0
281,20,15,0,0,0,0,20,11,10,2,3,0,0,0,0,0,0,0,0,0,0,3,8,22,20,19,1,5,25,15,3,0,7,0,13,12,0,1,0,0,0,0,0,4,3,5,11,39,11,0,0,0,0,0,0,1,5,3,2,4,3,5,1,4,1,3,2,1,5,1,4,3,4,2,3,3,3,3,0,0
311,5,0,0,0,0,0,42,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3,23,1,0,0,0,20,4,1,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,1,2,13,12,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
291,13,11,0,1,0,0,29,5,7,3,2,0,0,0,0,0,0,0,0,0,1,21,31,7,1,1,0,8,37,2,0,0,0,0,13,7,5,0,0,0,0,0,0,0,2,12,9,27,12,0,0,0,0,1,0,0,0,3,4,2,2,1,0,1,0,2,0,1,3,0,0,2,1,2,3,0,2,1,1,0
299,5,6,7,1,0,4,34,0,7,0,3,1,0,0,0,0,0,3,0,0,1,39,57,1,2,0,0,14,70,4,2,0,0,0,14,6,0,2,2,4,1,0,0,0,13,32,19,27,9,0,1,0,0,0,0,0,11,3,5,6,8,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,3,0
221,37,40,10,3,2,3,14,3,2,5,4,1,5,2,5,1,1,3,0,0,2,63,92,37,12,6,1,1,175,11,4,0,0,0,15,23,8,9,2,4,1,0,0,11,37,30,56,79,0,0,0,0,0,0,1,0,6,5,3,11,4,5,10,7,9,6,13,5,2,5,4,0,1,4,1,4,8,3,5,1
308,8,4,2,0,0,0,38,2,6,1,1,0,0,0,0,0,0,0,0,0,1,12,30,1,2,0,0,16,18,4,0,0,0,0,16,9,1,0,0,0,0,0,0,0,1,4,7,20,14,0,0,1,0,0,0,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,2,0,1,0,1,3,1,1,0
301,8,5,1,1,0,0,36,1,7,0,1,0,1,0,0,0,0,0,0,0,0,14,34,0,0,0,0,15,25,0,0,0,0,0,15,5,1,1,0,1,0,0,0,0,0,5,14,16,13,0,1,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,4,0,1,0,0,0,2,0,0,0,1,0,1,0
313,2,1,0,0,0,0,43,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,19,5,0,0,0,20,3,1,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,1,1,8,17,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0
312,1,7,0,1,1,0,39,2,4,0,1,2,0,0,0,0,0,0,0,0,0,8,32,3,5,0,0,16,15,9,0,0,0,0,16,6,0,0,2,0,0,0,0,0,4,8,4,20,12,0,1,0,0,0,0,0,0,0,0,1,2,3,1,2,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0
