BP10MB[0],BP10MB[1],BP10MB[2],BP10MB[3],BP10MB[4],BP10MB[5],BP10MB[>5],BPArm[0],BPArm[1],BPArm[2],BPArm[3],BPArm[4],BPArm[5],BPArm[6],BPArm[7],BPArm[8],BPArm[9],BPArm[10],BPArm[>10 & <=20],BPArm[>20 & <=30],BPArm[>30],CN[0],CN[1],CN[2],CN[3],CN[4],CN[>4 & <=8],CN[>8],CNCP[0],CNCP[1],CNCP[2],CNCP[3],CNCP[4],CNCP[>4 & <=8],CNCP[>8],OsCN[0],OsCN[1],OsCN[2],OsCN[3],OsCN[4],OsCN[>4 & <=10],OsCN[>10],SS[<=2],SS[>2 & <=3],SS[>3 & <=4],SS[>4 & <=5],SS[>5 & <=6],SS[>6 & <=7],SS[>7 & <=8],SS[>8],NC50[<=2],NC50[3],NC50[4],NC50[5],NC50[6],NC50[7],NC50[>7],BoChr[1],BoChr[2],BoChr[3],BoChr[4],BoChr[5],BoChr[6],BoChr[7],BoChr[8],BoChr[9],BoChr[10],BoChr[11],BoChr[12],BoChr[13],BoChr[14],BoChr[15],BoChr[16],BoChr[17],BoChr[18],BoChr[19],BoChr[20],BoChr[21],BoChr[22],BoChr[23],type
297,7,10,2,1,2,3,37,1,4,0,0,1,1,0,0,0,0,4,0,0,0,36,56,1,1,0,0,14,68,2,0,0,0,0,14,5,0,0,0,2,3,0,0,0,14,22,21,25,12,0,1,0,0,0,0,0,6,3,6,0,0,7,0,0,1,9,1,1,1,0,0,0,0,0,0,1,0,0,1,0
306,5,8,1,1,0,1,36,2,7,1,0,0,1,0,0,1,0,0,0,0,0,5,26,20,4,0,3,15,27,2,0,0,1,4,21,7,0,1,0,1,0,0,0,1,3,12,7,24,11,0,0,1,0,0,0,0,5,5,1,2,1,1,5,0,0,4,1,0,0,0,1,0,2,1,0,0,0,1,1,0
293,11,8,1,1,1,1,28,6,10,0,1,0,0,0,0,0,0,1,0,0,0,16,38,12,4,0,0,9,38,9,0,0,0,0,19,10,2,0,1,0,0,1,0,0,4,16,9,28,12,0,1,0,0,0,0,0,2,10,0,1,0,1,1,4,1,1,3,0,0,1,0,2,2,0,0,2,0,0,1,0
306,4,7,1,2,0,2,40,1,3,0,0,1,1,0,0,0,0,2,0,0,0,5,35,12,8,7,0,16,26,10,7,0,0,0,28,10,1,1,0,0,0,0,0,3,3,15,16,16,14,1,0,0,0,0,0,0,1,0,0,0,0,11,0,3,7,1,4,0,0,0,0,0,1,0,0,1,1,0,1,0
307,5,2,0,2,0,0,40,1,3,1,1,0,0,0,0,0,0,0,0,0,0,11,25,3,1,0,0,18,14,3,0,0,0,0,21,1,0,2,0,0,0,0,0,0,1,3,7,15,14,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,4,1,0,0,0,1,1,1,0
208,23,46,7,9,3,20,12,2,4,4,4,2,0,0,1,2,1,9,3,2,14,13,84,46,94,105,52,1,150,157,31,15,22,10,134,66,15,7,2,3,0,2,7,18,54,143,117,64,3,0,0,1,0,0,0,0,16,4,48,3,6,44,14,9,4,2,46,22,2,9,9,17,7,2,10,25,11,13,1,0
304,6,2,7,0,0,3,39,2,2,0,0,1,1,0,0,1,1,1,0,0,1,13,29,10,9,14,1,16,35,13,3,1,1,0,30,11,1,0,0,1,0,1,0,1,2,18,25,16,14,0,1,0,0,0,0,0,1,0,0,0,0,1,0,13,9,0,0,0,0,1,0,2,9,8,1,0,0,1,1,0
304,10,6,1,1,0,0,36,2,7,1,1,1,0,0,0,0,0,0,0,0,1,12,27,4,6,3,0,13,23,4,2,0,0,0,18,9,1,0,0,0,0,0,0,0,4,10,2,24,13,0,0,1,0,0,0,0,0,1,0,1,3,6,1,1,0,0,3,0,0,0,3,0,1,1,0,2,0,1,1,0
248,24,33,3,3,0,5,17,6,6,4,3,0,2,1,1,2,1,2,0,1,2,9,25,22,46,68,13,2,97,36,14,5,5,5,45,21,6,6,0,3,0,1,2,13,32,41,34,55,7,0,0,0,1,0,0,0,9,8,4,2,15,3,10,11,8,9,33,5,11,3,1,2,10,6,1,2,5,1,1,0
297,13,6,0,0,0,0,33,5,6,1,0,1,0,0,0,0,0,0,0,0,0,4,27,10,2,5,0,13,21,2,2,0,0,0,18,3,0,2,1,0,0,0,0,2,2,3,8,21,12,0,1,0,0,0,0,0,3,0,1,0,2,0,3,7,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0
