Samples	SBS80A	SBS80B	SBS80C	SBS80D
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	198	308	987	254
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	211	380	1501	187
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	229	449	1305	155
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0	430	2928	149
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	0	369	2816	185
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	240	271	397	320
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	39	423	2599	21
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	271	314	32	403
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	295	249	3	336
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	194	0	989	310
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	184	399	1656	230
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	215	303	1410	193
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	271	270	337	269
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	238	235	546	284
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	247	324	362	269
0bfebf9f-c779-e57d-e050-11ac0d487827	207	419	1315	216
0bfebf9f-c77d-e57d-e050-11ac0d487827	0	437	2838	189
0bfebf9f-c77f-e57d-e050-11ac0d487827	77	1347	462	661
0bfebf9f-c781-e57d-e050-11ac0d487827	226	292	314	374
0bfebf9f-c783-e57d-e050-11ac0d487827	215	306	394	370
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	199	337	1464	232
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	213	281	1447	187
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	192	299	466	356
0c18a8b7-bad1-4aa4-a6df-472f89d9761c	448	7	0	0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	9	1146	0	757
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	163	1057	247	391
0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d	457	7	17	0
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	429	0	26	58
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	165	41	231	665
0cd60b96-eb2d-4687-9709-d1455ec45de7	296	234	101	234
0cdbabf2-c623-11e3-bf01-24c6515278c0	341	178	33	203
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	447	15	6	0
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	365	331	84	49
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	0	1057	514	636
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	398	0	101	83
0d31a44f-1fc5-43a2-9633-36c4e650d3d2	421	34	53	51
0d569bd5-418d-4d72-87ca-8e14668c2119	408	0	91	38
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	393	0	173	49
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	356	156	68	163
0dd39eca-c623-11e3-bf01-24c6515278c0	362	0	88	110
0e1e628b-823a-4861-aa95-bed2fada7349	460	9	6	0
0e54cea2-d568-4a33-b9db-b698844e6ad9	303	162	97	278
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	273	633	25	287
0e6ca8dc-0f31-4675-95b1-5920576daeff	417	61	100	34
0e7ac212-0469-4f17-9432-205ab1831257	401	56	24	82
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	395	0	75	63
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	278	473	75	243
0ead45d8-d785-4404-8319-2ef951e02e03	0	1722	211	796
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	0	230	235	1139
0ed63d84-d3fe-4289-9255-35f4a03b703b	458	12	12	0
0eeafcd6-c623-11e3-bf01-24c6515278c0	361	0	102	150
0ef92ff8-829f-425a-91d8-c594b6e22a2b	242	406	118	380
0efb6e20-236d-4640-9373-6fc03e67d090	449	7	0	0
0efee3f3-313b-44eb-b3b0-af975a1ded82	392	88	139	110
0f53e757-1823-409f-a0ea-249270728e15	386	365	221	0
0f6b355e-3898-4be6-be97-da0c3840a4ed	302	181	0	286
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	279	486	45	284
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	413	0	80	64
0fbd94b1-bb34-4620-841b-861a0b5e0c12	343	357	159	126
0fc63b79-7fff-441d-88fc-922d53c787ab	343	700	0	113
10136472-c623-11e3-bf01-24c6515278c0	459	10	5	0
1021b60d-f7b2-43b0-b2cc-f282d619d533	25	379	2228	292
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	177	11	743	366
108749d2-5c62-4ef1-92df-aec6941ba53b	433	0	55	38
