Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H
02c6a893-49c5-49d1-8eb1-195021e70d52	322	143	27	0	57	27	24	3
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	251	177	94	34	74	0	75	19
02e5c36f-5bec-45e2-a048-875653b85ca1	286	133	75	47	71	75	52	36
030695f6-c623-11e3-bf01-24c6515278c0	235	179	47	151	220	12	0	39
031962d6-fc7d-4c6c-9d47-ffa45997b249	460	0	0	18	3	0	0	6
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	359	103	78	0	0	5	0	60
0363fe2c-d765-450e-8b1a-d13a23d9af2a	463	0	0	8	0	0	0	5
0385961e-ea99-40b2-ad79-6872bc30d8a1	427	9	0	7	11	14	11	0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	400	31	7	0	30	11	39	0
03b5268e-881e-49e7-824f-170c3fc8b11b	272	211	81	0	0	9	0	58
03c3c692-8a86-4843-85ae-e045f0fa6f88	0	280	395	283	53	245	306	143
03c88506-d72e-4a44-a34e-a7f0564f1799	276	203	2	0	116	61	8	0
03ced0ce-186a-4349-8d98-572c2bc90382	0	349	589	306	1	240	166	60
03cff38d-7e29-4409-a508-749bddb1b3df	0	301	220	258	52	290	298	0
041e3b42-c623-11e3-bf01-24c6515278c0	234	206	100	10	102	59	46	10
04339769-517c-448d-a7ca-951f83608c60	325	106	0	4	122	63	0	77
0448206f-3ade-4087-b1a9-4fb2d14e1367	38	0	857	983	849	771	33	265
046d7386-95c8-4501-9e55-c85bec272a7a	45	346	21	73	636	65	0	1
047f9e4d-86b5-4943-aef5-68199bf29e8c	212	201	61	52	99	112	93	155
04aa6b77-8074-480c-872e-a1a47afa5314	91	388	110	33	7	170	84	0
04b570c2-3224-4e9b-81cc-089b4a7ff07a	441	14	0	0	19	0	12	0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	261	229	78	0	0	0	0	0
04c09376-8756-41d9-bbca-f464170a8cfb	265	138	41	175	58	225	83	1
04db8bef-8777-48ac-bc2e-3c9acb103f48	399	58	15	6	0	10	0	1
05070acd-3ec1-44bb-9c32-26d3a483a72a	305	120	22	100	185	0	15	1
051cb117-16fd-459e-81e5-002eca2b7eea	431	23	3	16	0	4	0	4
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	250	182	0	31	220	0	18	1
052665d1-ab75-4f40-be5a-b88154c8beed	0	411	361	131	111	461	0	385
05486349-24a4-4931-bf5f-c9fefe369af2	371	76	0	61	90	11	0	2
0554ffe5-31f7-43f5-8372-2b73c9cf3527	382	91	39	5	0	6	0	0
05616329-e7ba-4efd-87b1-d79cd0f7af3d	302	151	9	35	63	38	12	0
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	449	0	0	0	2	0	0	4
05780d48-80e7-4d70-b00c-081f8a9519f2	330	87	0	29	79	19	49	0
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	451	0	0	6	5	0	0	2
05da3161-1444-4188-914d-19762de3a443	459	0	0	0	6	0	0	6
06018aae-1107-4899-bd24-14e6b1f94709	446	0	0	7	4	1	2	1
0609b182-0396-4755-b463-10f949c5b8bb	409	47	1	9	18	0	0	6
0624eb1d-3aff-4037-a3c5-fc363a9edd02	410	43	0	1	9	0	4	5
062e96d4-c623-11e3-bf01-24c6515278c0	285	148	33	63	124	12	45	28
063cfacf-9933-4a2d-8921-0aeb76e12779	429	12	0	17	30	0	1	0
0664753b-7566-41e0-8006-7009c6735406	53	261	3	360	295	332	69	0
068f4f69-d2fe-4f25-912e-ca7d4623efb6	390	60	2	5	50	20	17	0
06dad93a-4b67-49b3-8fa5-f2546e22bae7	212	178	96	123	139	74	80	65
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	299	127	45	54	99	16	45	0
