Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	293	101	21	24	6	72	73	0	5	0	15	0	0	0	9
0ae2193f-0d68-485a-b8c2-7568cbcce33e	366	23	14	14	0	32	22	0	18	0	25	0	8	24	0
0b19bee7-5281-4915-9d98-c20eb3e84ecf	87	108	181	19	6	212	228	0	18	7	51	40	30	0	0
0b29c893-03bf-4131-b192-c14a2788d411	308	50	0	3	66	101	0	0	0	0	0	23	8	15	5
0b6cd7df-6970-4d60-b7b5-85002a7d8781	429	13	0	0	0	10	7	2	5	1	19	0	0	0	0
0b811c6a-8f05-44bd-ac33-fb720d189e71	446	0	3	0	0	0	0	2	0	0	22	0	0	0	0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	403	10	7	0	0	17	13	0	0	0	25	0	0	0	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	375	59	8	35	0	14	53	0	0	0	32	0	0	0	0
0bbc7ede-5022-4084-925c-d65baaf7abc2	81	87	73	75	183	241	62	199	105	24	32	17	0	53	51
0bd3a230-531e-44aa-9999-b8ed8da0176b	274	142	7	22	0	40	109	0	0	0	22	8	0	0	0
0be08326-c623-11e3-bf01-24c6515278c0	182	105	0	0	10	192	67	3	10	8	26	23	4	5	6
0bfd1043-5142-3662-e050-11ac0c486501	132	48	163	231	95	184	43	0	53	88	82	0	27	42	58
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	161	40	166	167	66	162	63	0	87	50	68	25	28	34	7
0bfd1043-7343-fdd0-e050-11ac0c484cab	0	193	346	26	579	119	15	398	56	75	0	47	0	85	101
0bfd1043-7344-fdd0-e050-11ac0c484cab	6	0	962	1900	433	0	195	0	81	0	354	0	40	0	81
0bfd1043-7346-fdd0-e050-11ac0c484cab	167	60	42	53	113	209	0	0	159	5	14	10	33	24	19
0bfd1043-7ebf-aaec-e050-11ac0c482f39	91	99	180	372	66	112	484	85	96	97	0	155	41	10	206
0bfd1043-7ec1-aaec-e050-11ac0c482f39	41	296	235	419	125	52	357	11	98	47	9	0	0	0	37
0bfd1043-7ed6-9ccc-e050-11ac0c481957	197	43	19	59	87	184	0	0	190	0	21	16	36	27	8
0bfd1043-816e-e3e4-e050-11ac0c4860c5	20	0	950	1625	328	0	145	0	93	0	376	0	14	0	73
0bfd1043-8170-e3e4-e050-11ac0c4860c5	0	199	269	281	231	180	13	0	45	75	24	67	67	57	22
0bfd1043-8172-e3e4-e050-11ac0c4860c5	0	145	209	131	261	258	18	3	58	59	26	52	32	52	35
0bfd1043-8173-e3e4-e050-11ac0c4860c5	0	203	242	75	314	196	19	9	66	46	5	78	51	57	28
0bfd1043-8175-e3e4-e050-11ac0c4860c5	0	203	243	104	312	198	1	0	98	32	0	49	32	42	26
0bfd1043-8177-e3e4-e050-11ac0c4860c5	255	66	55	47	0	109	87	0	48	10	18	0	0	0	9
0bfd1043-817c-e3e4-e050-11ac0c4860c5	44	242	188	343	44	111	326	15	117	0	31	0	4	0	38
0bfd1043-817e-e3e4-e050-11ac0c4860c5	0	305	204	139	0	91	458	5	24	0	62	225	1	0	114
0bfd1043-8180-e3e4-e050-11ac0c4860c5	0	73	783	1133	27	0	334	0	48	149	295	445	0	90	54
0bfd1043-8181-e3e4-e050-11ac0c4860c5	0	151	643	968	40	0	223	0	79	60	218	287	0	139	67
