Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA	SBS80AB	SBS80AC
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	335	73	0	33	0	0	8	0	0	29	28	0	30	0	13	0	0	0	0	0	3	3	0	0	0	1	0	1	0
07b5141f-ac79-439b-883b-b0183bbe7ff5	3	110	148	50	77	0	197	0	9	84	51	0	28	34	5	21	17	10	11	6	5	4	2	9	6	2	8	0	14
07d20658-3db4-47e7-877b-66536266edfc	71	249	65	49	50	7	25	0	0	70	15	0	19	13	7	25	8	2	4	2	8	6	0	6	10	15	0	0	0
07e0e938-f61f-477a-92a2-5b7e74b78943	84	187	138	45	12	25	45	0	6	24	48	0	31	41	5	25	9	10	6	3	6	21	1	1	3	0	3	0	3
07f16397-71bb-4594-ad4d-caa7d2baeabd	189	145	59	54	68	0	10	0	0	82	57	0	41	0	0	0	0	0	2	8	0	6	5	0	14	0	0	12	0
080ecc31-756a-4a1b-a51e-d632ac8219f7	116	137	88	163	69	29	25	91	251	24	44	45	1	23	67	32	84	31	9	2	0	135	7	5	1	5	0	0	0
08227616-02a5-46e8-9db1-f2d1d691ab23	33	84	106	18	61	91	195	72	101	9	43	61	16	55	73	15	21	9	6	31	69	14	9	0	2	14	0	4	5
0831e45e-c623-11e3-bf01-24c6515278c0	157	88	116	54	22	22	96	2	0	30	6	0	29	38	10	10	0	2	13	9	3	8	5	0	1	0	5	1	3
089be98d-c3c9-4fb4-aef2-7a8578a91d51	183	92	68	58	76	0	87	0	5	69	7	0	38	0	8	0	11	0	1	16	0	1	0	2	8	0	0	9	2
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	148	149	76	124	76	0	42	0	0	83	3	14	35	6	0	16	0	2	0	25	0	5	4	0	2	2	22	2	0
08b5d0e4-4661-460e-a9f7-f2e687414711	238	134	24	0	0	152	20	0	21	0	5	6	34	3	9	1	0	3	11	1	3	6	1	0	4	1	19	4	1
