MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y
BPArm[3]	3.494609202014942e-08	0.004576241521379245	0.001964963943079283	5.368940539582922e-06	0.0008549264075206509	1.1677987004077295e-08	0.013720213340129704	0.00016292747601255543	1.1675328096316661e-07	0.0006787099826156151	1.8004106676121623e-05	7.357845697441689e-05	8.954464207011625e-06	0.0013185755431364043	0.00017487283473201386	4.0840717250816285e-05	2.1317735808921157e-05	0.00013314621421955052	5.2740970349987034e-05	2.753305423539132e-05	9.80908925027372e-47	1.0437010496389121e-05	5.659752728206513e-05	0.000235113293235137	5.7770672711683346e-05
BPArm[4]	1.5833566102685383e-08	0.003915402386017188	0.01725799027713947	0.0	0.0003123582887928933	0.0	0.003050616758787328	0.001261181643640157	6.083454485533935e-05	0.0015061781916392647	0.00046941218452853926	0.0001456362933348032	2.7985231099592056e-05	9.209617180005126e-05	4.9783127615228295e-05	1.863219658844173e-06	0.00013195136561989785	0.00010635498331594117	2.0694774866569788e-06	7.006492321624086e-47	0.00014664907779661008	0.00011632248055406081	4.8850927269086244e-05	7.270790987689679e-05	0.0002735055539038456
BPArm[5]	3.714849626135219e-08	0.0006211252175853587	0.002666714064544067	0.0	0.0023093034748410445	1.4708141679875553e-06	0.006870783829763241	0.00046633807092518966	5.957643093069009e-05	0.0006636982842155704	4.902023984715953e-05	2.0913258642174526e-05	0.00011859357962521245	0.0015143156750127673	0.00020600184431252	7.416303747902475e-05	2.0417998894117952e-06	0.00029192827300892786	9.1689264233068e-05	0.00017190889565426914	1.401298464324817e-47	0.00032409194896651175	1.3797798227415114e-05	0.001028266939392812	0.0004180196363902048
BPArm[6]	3.873075895555189e-09	0.00020580577582283378	0.009587236305233091	4.5268579509922804e-05	0.000987704693366034	4.3648701128233826e-05	0.0016503139837800518	0.002801190568552556	0.00018430477738759165	0.0026730942294352646	9.52192028034915e-05	0.00010411499367734223	7.857929340389091e-05	0.00014140951408315062	0.00021376937984314283	0.00011922407349814535	5.7177945327566706e-05	0.00014846336283540042	0.0008106010416543086	0.00010582264101344663	0.00012031095653242119	0.0002797372377705717	0.0006718963030652958	0.0003682868255360461	0.001430953909710979
BPArm[7]	3.3797563876447615e-08	8.715468982700258e-05	0.001790453639696352	0.0	0.0030654962055632496	0.0001009217080900271	0.0029351775908133247	0.0009741881387708418	5.875450442545116e-06	0.00031962560402689635	2.1086063991138104e-05	1.6489906903984775e-05	0.0001621289508133472	0.0008740518514696305	0.00013821830066973573	0.00017398256656957046	6.112237170782464e-05	9.90628183890152e-05	0.00014942779771672576	0.0009062192624151067	9.601850991941281e-05	0.0017907283724827039	3.161638426899316e-05	0.0004121438813967959	0.0019233397348580184
BPArm[8]	2.1026549050784382e-08	8.285240619443357e-07	0.004987770941806957	5.391921189584536e-05	0.00206353591845982	6.800345932788332e-05	0.0005437195359263569	0.002400002852155012	0.00021193247785484816	0.0021062111883225045	1.0956278129015118e-06	5.93120605649311e-05	0.00015169209006671736	0.00014289614187873667	0.00011402272024125803	5.0066959836279066e-05	9.295017313831977e-05	0.0006410022203385779	0.0002704519174727693	0.00038209858060781696	0.0004078351299165206	0.00011398175307476777	0.00015165664615643948	0.00019589315700613952	0.0009341044483804129
BPArm[9]	2.2333898433979373e-08	2.146695903775253e-06	0.0008177282803444541	3.3733668369677614e-05	0.002445875664125197	4.340933623097953e-05	0.0010167626047041267	0.0014035697550389158	2.129078060363554e-05	0.0006707002539033624	1.7025233319145628e-07	8.886325645889314e-06	0.0003924884081133939	0.0005572081435438459	0.00017076558456036395	8.897521007199316e-05	0.00033290646886598553	7.953262410865137e-05	0.0003513003572021489	0.0009171889294668744	0.00023546049298118989	0.00036575857218281273	4.012380726635456e-05	7.840636068209505e-05	0.002559273855520132
BPArm[10]	2.845451812172328e-08	0.0	0.0022803546785144136	0.00021992312593994257	0.0019905258205835706	1.9815433718167185e-05	0.0005599886557320133	0.002412766508641653	4.504635844568838e-05	0.0017550902020224157	0.0	2.7877329004046226e-05	0.00010630315925177935	0.00028080346524110924	0.00017518650743536757	3.314181773561133e-05	5.511478870175779e-05	5.9737969350663886e-05	0.0002699949960833692	0.0004438961789879933	8.903002537607562e-05	0.0005551848722643626	0.00012930591064161945	0.0003338812997033358	0.00012724892418646049
BPArm[>10 & <=20]	1.8362540603612006e-08	0.0	0.0009667657301179134	0.0028292033951231588	0.015034984741359949	0.0010680207925906871	0.0010184672602918	0.009126030992338201	0.00022255890991573323	0.005069764080853929	2.814337696392499e-05	7.736746234613179e-05	0.0028072307488334045	0.0007435040836924145	0.001552221102041802	0.0005290325577260546	0.00016244885486230487	0.0003197486685922968	0.0002543369884426738	0.0021057401175653646	1.879344767075963e-05	0.0018848085423789484	0.0005154166481634092	0.0003357311939498686	0.0006637848563505248
BPArm[>20 & <=30]	3.1285519401791364e-08	0.0	7.51876411959529e-05	0.0027345142153353662	0.0022981625283136965	0.0015879371066901625	2.5076812016777695e-06	0.0010965400146392312	1.6455681284810452e-06	0.00019310353651462718	0.0006612197003117615	5.542346769971118e-08	0.0009918845168067493	0.0003583494998201786	0.00010643848208275131	0.0005320796857088794	8.818978991712357e-05	1.737172304800083e-05	0.0003106870687349783	0.0003344275784846218	3.9445422999051514e-08	0.0007565448708378698	8.835382618755716e-05	6.950132956262678e-05	4.124668148961064e-05
BPArm[>30]	6.49225856497182e-08	0.0	0.0	0.003786265672533773	0.0001798052352387458	0.0011301233827759915	0.0	0.0	2.975824298041552e-06	4.203895392974451e-47	0.003042127881781198	5.010280005990353e-08	0.00018614489726246575	9.302735925302841e-05	0.0008441444303090683	0.00033226539469367823	6.750430329702795e-05	5.482311712512455e-07	1.4658154441349325e-08	0.0	0.0	0.0	2.394362034152664e-05	1.401298464324817e-47	1.7153171356767415e-05
