Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W
075fc96d-6742-4ef3-9369-482592ad3a2f	200	0	0	0	321	316	1093	287	170	50	61	311	31	0	98	131	0	38	40	34	513	0	64
07835447-5d7e-4828-80fd-89b063989c9a	272	48	82	24	38	24	18	51	25	2	10	5	22	0	0	2	2	1	5	0	2	0	38
079bcb09-a075-4313-9a3e-dd67734a8c5d	162	86	141	52	69	94	28	18	0	65	8	18	15	0	45	7	5	2	2	0	0	1	30
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	391	15	12	4	35	0	7	38	0	0	0	20	31	0	0	0	0	0	1	2	0	1	0
07b5141f-ac79-439b-883b-b0183bbe7ff5	0	186	208	100	28	8	0	115	10	91	0	69	27	1	10	1	11	12	18	1	4	2	9
07d20658-3db4-47e7-877b-66536266edfc	148	95	176	50	47	0	0	91	28	7	6	10	16	1	4	0	2	4	0	6	14	21	0
07e0e938-f61f-477a-92a2-5b7e74b78943	132	175	134	5	60	0	0	31	24	50	0	46	31	41	3	0	12	7	3	27	1	0	0
07f16397-71bb-4594-ad4d-caa7d2baeabd	227	78	91	70	52	0	0	106	0	0	0	44	40	0	6	3	0	1	0	9	25	0	0
080ecc31-756a-4a1b-a51e-d632ac8219f7	171	135	71	113	127	378	49	34	5	24	71	72	0	0	0	10	35	10	0	175	0	4	0
08227616-02a5-46e8-9db1-f2d1d691ab23	0	125	216	107	0	170	107	4	57	124	22	61	18	56	72	18	10	7	15	10	0	18	0
0831e45e-c623-11e3-bf01-24c6515278c0	147	134	135	27	55	4	2	38	28	74	0	0	28	7	13	6	2	14	6	10	0	0	0
089be98d-c3c9-4fb4-aef2-7a8578a91d51	167	81	160	101	41	7	0	92	0	0	0	14	41	0	20	0	0	0	4	1	12	0	0
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	174	97	141	95	114	0	8	111	7	0	0	0	35	0	34	3	2	0	0	1	0	2	12
08b5d0e4-4661-460e-a9f7-f2e687414711	277	16	96	1	6	25	12	0	102	0	0	0	30	108	0	0	3	11	1	2	2	0	9
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	426	0	0	1	0	3	9	5	3	0	0	0	24	1	0	1	0	0	3	1	0	0	0
08e1d976-6c39-428e-a4c2-f655b675683e	378	36	15	0	0	0	7	6	18	1	3	3	28	0	0	5	0	0	2	3	2	1	0
08f7812b-0d74-42ba-985b-d0a027e8a80c	413	15	4	1	0	1	8	8	0	1	0	0	24	0	0	1	0	0	3	0	1	0	0
09497b9b-6fca-48cb-af97-161a3e434a51	10	0	0	151	534	1295	1084	0	631	0	257	170	0	0	251	68	140	57	124	54	100	67	130
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	0	0	624	466	1937	520	0	1449	0	0	0	0	489	85	146	145	53	7	160	30	94	0
09537dce-c797-4b60-962a-d4c3cd6ab00a	407	0	12	0	0	1	7	20	4	0	0	0	10	0	0	8	1	0	5	0	0	0	0
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	151	53	129	97	198	169	96	32	74	61	0	28	22	63	54	8	4	13	11	129	2	27	0
097a7d36-905b-72be-e050-11ac0d482c9a	227	2	169	65	15	1	5	65	0	0	0	1	27	0	0	2	2	0	1	0	0	0	13
0980e7fd-051d-45e9-9ca6-2baf073da4e8	320	35	72	1	0	0	6	17	0	20	0	15	24	0	2	7	1	1	2	0	0	0	0
09bc8542-4ea1-4599-91b3-d606425b37e2	97	52	103	199	256	219	78	77	95	94	111	29	41	89	22	40	0	66	14	0	96	23	39
09cb8bc5-13ac-44ac-9b7d-6de143373570	147	82	164	7	53	79	50	7	12	0	45	47	20	96	14	0	9	19	10	0	0	3	69
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	93	244	83	63	169	0	0	184	0	0	0	0	43	0	0	44	1	0	0	0	0	9	0
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	216	36	160	29	15	0	4	38	38	0	0	0	33	0	1	2	0	4	1	0	2	4	0
0a9c9db0-c623-11e3-bf01-24c6515278c0	121	35	265	10	10	48	6	6	5	16	14	1	13	51	0	7	2	6	3	8	5	5	5
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	251	77	109	36	33	2	1	48	0	0	0	0	24	13	0	4	1	4	2	14	0	0	0
0ae2193f-0d68-485a-b8c2-7568cbcce33e	339	10	51	20	8	1	5	15	14	19	0	7	27	5	0	1	4	0	6	0	0	14	0
0b19bee7-5281-4915-9d98-c20eb3e84ecf	0	84	290	187	57	14	0	140	11	32	0	49	53	9	7	0	5	0	24	13	0	1	11
0b29c893-03bf-4131-b192-c14a2788d411	287	54	102	0	14	31	0	0	0	2	0	8	0	54	6	1	2	1	1	5	6	1	4
0b6cd7df-6970-4d60-b7b5-85002a7d8781	411	12	2	0	0	1	9	7	5	9	0	0	20	0	0	1	0	0	3	0	2	0	4
0b811c6a-8f05-44bd-ac33-fb720d189e71	424	0	0	0	0	1	10	0	0	9	0	0	21	0	0	4	0	0	3	0	0	0	1
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	381	0	34	15	0	1	5	9	0	0	1	0	24	0	1	1	0	1	2	0	0	0	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	360	44	25	24	38	0	4	32	0	0	0	5	32	0	0	2	7	0	1	0	0	0	2
0bbc7ede-5022-4084-925c-d65baaf7abc2	2	53	293	82	79	147	170	33	99	25	24	15	35	32	76	5	0	29	0	1	37	46	0
0bd3a230-531e-44aa-9999-b8ed8da0176b	227	90	109	39	35	0	0	65	0	0	0	16	35	0	1	4	0	1	1	0	0	1	0
0be08326-c623-11e3-bf01-24c6515278c0	125	93	216	6	8	10	7	48	9	32	0	17	22	8	2	9	5	3	4	9	6	0	2
0bfd1043-5142-3662-e050-11ac0c486501	82	64	183	136	154	62	8	41	30	117	63	35	51	77	0	40	20	33	14	0	25	11	0
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	115	60	160	149	99	44	0	53	55	102	5	47	48	75	0	45	19	4	12	0	31	1	0
0bfd1043-7343-fdd0-e050-11ac0c484cab	0	173	103	272	43	483	331	0	138	46	61	41	5	0	72	30	7	66	5	42	30	91	1
0bfd1043-7344-fdd0-e050-11ac0c484cab	0	0	0	915	1464	204	0	132	0	354	35	0	245	310	96	52	42	51	33	52	36	31	0
0bfd1043-7346-fdd0-e050-11ac0c484cab	117	58	224	59	23	30	12	10	90	21	4	19	29	162	11	11	6	8	10	0	0	0	4
