MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G
BoChr[10]	5.541902148308964e-05	0.009387207718100398	0.0015226285425893637	0.013558486318215728	0.00018817349902747082	0.005667637009173632	1.401298464324817e-47
BoChr[11]	9.370195172495598e-06	0.008738096226006747	0.002149525021377856	0.00539867918065814	0.009022316529881209	0.006673177005723119	0.025210433565080168
BoChr[12]	3.494948341203896e-08	0.004190224370686338	0.003412036367226392	0.004605693473713472	0.010484074107371271	0.002785016674315557	0.03646631114184856
BoChr[13]	0.00010893938060263508	0.005453618441242725	0.003618962299078703	0.0057271197950467465	0.0017457817930244346	0.003001338238827884	2.993288932217305e-05
BoChr[14]	0.00038251346966717393	0.006756000190507621	0.002587973776971921	0.006866731306072325	0.000259148426084721	0.0023410215275362135	0.0023712892062030732
BoChr[15]	1.109090067075158e-07	0.005724210795015097	0.0017863804358057677	0.004916363800875842	0.00019288183104734457	0.003182392679154873	0.0020115696149878206
BoChr[16]	1.787451115866645e-06	0.005561191537417472	0.005747578609734774	0.004030804202702711	0.002135758587937744	0.004895681757479906	0.0017838124686386436
BoChr[17]	0.0002131486284622497	0.0036854871932882815	0.006386884315870703	0.0037956942690364048	0.004926941543526481	0.0030245365598239003	0.026601230073720217
BoChr[18]	9.384397208052064e-06	0.008551838337443768	0.004090986053925007	0.003134588842804078	0.0013072147052985079	0.0006965669967939903	0.002610700080404058
BoChr[19]	4.504742149968877e-08	0.01077064183074981	0.004978245585225523	0.00024796807554764653	0.00527376565762097	0.0002365005807587295	0.004802103482652456
BoChr[20]	2.932663980992345e-08	0.007145646843127906	0.004372259434312582	0.003273696579391299	0.0026366614442486025	0.0008766180605016416	0.006532067810185254
BoChr[21]	0.00023711281071882694	0.0036595557373948397	0.001984941348200664	0.0015563367508366354	0.0023728727514389903	0.001047049887893081	0.0026055310619994996
BoChr[22]	0.0003153252309130039	0.004696257149334997	0.0025740170141216366	0.0009192382995669138	0.002108168059494346	0.0007553035735327285	0.0012525894062864614
BoChr[23]	0.001162387466756627	0.004501966168172658	0.0	0.006314142481423915	0.004649556676595239	0.008133690576069058	0.004959721704944968
