MutationType	SBS80A	SBS80B	SBS80C
CNCP[>4 & <=8]	3.56259577411732e-11	0.019497858379036188	1.5179186618752283e-07
CNCP[>8]	0.0	0.011676417561247945	2.0737966337947e-07
OsCN[0]	0.004391866512596607	0.07486350014805794	0.04023574639111757
OsCN[1]	0.032584493719041346	0.032894571013748646	0.0012110251269768924
OsCN[2]	0.004981471295468509	0.006453723609447479	4.275031374234572e-08
OsCN[3]	0.007103999592363835	0.0034512328240089117	2.7330610770093245e-08
OsCN[4]	0.0018741914036218077	0.0011812048265710472	3.8949751992589655e-08
OsCN[>4 & <=10]	0.005000235768966377	0.0015174514602404087	2.3200091963104795e-08
OsCN[>10]	0.0010667050874326378	6.927985479705967e-05	2.8703788608197557e-08
SS[<=2]	0.00021290540680638515	0.0011476471205241977	4.209367357788096e-08
SS[>2 & <=3]	0.002152355958241969	0.004488626322709024	7.304636810978593e-09
SS[>3 & <=4]	0.012372184870764613	0.01509465572424233	0.0
SS[>4 & <=5]	0.026059318501502275	0.03427947122603655	0.0
SS[>5 & <=6]	0.043446682430803775	0.06451458252966404	0.0002616315143313841
SS[>6 & <=7]	0.06140181556344032	0.05852553829550743	0.0
SS[>7 & <=8]	0.06725146017968654	0.021584764439612627	0.027748614065349102
SS[>8]	1.5038423293706188e-09	1.7195259358060432e-09	0.027170889880508184
NC50[<=2]	4.37264725547743e-10	8.657357453145664e-09	0.0008762175386073067
NC50[3]	2.3945628424559827e-10	4.907152236697243e-06	0.0004889945001923479
NC50[4]	7.148622087697731e-05	2.990250892480617e-05	0.0003839072966366075
NC50[5]	0.0001791489458992146	1.7571391187055085e-05	0.00021319897161447442
NC50[6]	0.0002771761731128208	5.479008710153721e-05	6.277402349951445e-05
NC50[7]	0.00015825762173335534	5.369166485252208e-05	1.9861425157614577e-05
NC50[>7]	3.0007099539943737e-05	1.0215135184117874e-05	2.6199221356364432e-05
BoChr[1]	0.0102044215798378	0.017573434114456176	0.000222065289344755
BoChr[2]	0.008603365290910006	0.011448130700737238	9.716506479549026e-05
BoChr[3]	0.008159103021025658	0.01155448317527771	0.0002782339972327463
BoChr[4]	0.0063916485104709864	0.007938454737886786	9.283949076177578e-08
BoChr[5]	0.006407866007648409	0.009775971053168178	0.0002129287817660952
BoChr[6]	0.00765999416820705	0.012164389081299305	0.0002103098092629807
BoChr[7]	0.006110527156852186	0.011067718425765634	0.000478855129040312
BoChr[8]	0.008072171304374933	0.01530989927239716	0.00021930861388682387
BoChr[9]	0.005809534224681556	0.00644229312427342	0.0003580822683579754
BoChr[10]	0.006266642021946609	0.006682622293010354	0.00012042200192809105
BoChr[11]	0.005816130926832557	0.012774304272606968	0.00010852222031644487
BoChr[12]	0.004305326915346086	0.014123928127810359	0.00010197063923612859
BoChr[13]	0.004307046481408179	0.003819183190353215	0.000320597492827801
BoChr[14]	0.0035716323275119064	0.00522234155330807	0.0005081192235229536
BoChr[15]	0.0029638530244119467	0.004388831052929163	2.694495497337357e-05
BoChr[16]	0.0046303645242005585	0.0048109811497852204	0.0002727573423180729
BoChr[17]	0.003912416510283947	0.010721321543678641	0.0007378500717459247
BoChr[18]	0.003259847229346633	0.005478589748963714	0.0002846874979150016
BoChr[19]	0.0026762559870257972	0.008265621652826667	0.0001354341282058158
BoChr[20]	0.0029125417000614106	0.00690320625435561	4.353877326877864e-05
BoChr[21]	0.002093645726563409	0.002904059924185276	0.00037556427269009874
BoChr[22]	0.0018926289048977196	0.0031042514205910266	0.0005252833350095898
BoChr[23]	0.004912978461943567	0.005012736236676574	0.0009346877416828648
