MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F
BoChr[10]	7.983942709032021e-05	0.00975210590288043	0.005215216143988073	0.002485825184267014	0.007621053378097713	0.0
BoChr[11]	1.4933675162610572e-05	0.007712006312794983	0.0077529840264469385	0.0021901441761292516	0.006584595735184848	0.024212752860039474
BoChr[12]	8.234357730896313e-08	0.005798708475194872	0.007222365140914917	0.0026350756373722107	0.0021614373405463992	0.034183192625641824
BoChr[13]	0.000131553361643455	0.005406949245370924	0.0031969652604311705	0.003982278427574783	0.003623436028137803	2.026870654164223e-06
BoChr[14]	0.00037077118875458834	0.006738101672381163	0.0024752600910142065	0.0031743851932696998	0.0032666217163205146	0.0019067653588717803
BoChr[15]	4.5040525609607584e-07	0.005350601049140096	0.0018197599367704243	0.002196981041925028	0.0038234954932704567	0.0018185592768713832
BoChr[16]	4.422267519501588e-06	0.0057414579251781105	0.0022575377568136903	0.0057601393014192585	0.004785708282142877	0.001689958368660882
BoChr[17]	0.0002495637546417129	0.0044636619579978285	0.004100824459455908	0.006062757070176303	0.0026514268573373558	0.02443965943530202
BoChr[18]	1.0552528992704424e-05	0.006620889841578901	0.0019295072252862155	0.004961486849933863	0.000995277352631092	0.0027296447311528026
BoChr[19]	4.556177704451159e-08	0.009440565211698414	0.0006248692924418719	0.005546414977870882	4.144557509789593e-05	0.005184053448028862
BoChr[20]	3.178557019367645e-08	0.007500219540670514	0.0015113229618873448	0.004164792627561837	0.0008219040467884042	0.005885121822357178
BoChr[21]	0.0002589577382605057	0.003127652418334037	0.0021874530869536103	0.0018466184177668766	0.001207991293631494	0.0024164623382966965
BoChr[22]	0.00033826463055447676	0.003754771123640239	0.0014755765732843429	0.0026688007346820086	0.0006239621215172519	0.0015456880792044103
BoChr[23]	0.001160375188337639	0.004918049336411059	0.005355452597141266	0.0	0.00888851827941835	0.004387394189834594
