MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X
BPArm[3]	3.40201417325936e-08	0.005394174135419121	0.002458954116445966	4.445053755262052e-06	0.0007311535574262962	3.57892808096949e-06	0.012662261414225212	0.0002526567658424028	0.0004132748515809226	7.780134910717607e-07	5.2908967128662e-06	6.216789477966001e-05	2.6814997545443477e-06	8.859241817845032e-05	2.680278431526517e-05	1.493665968610003e-05	7.040503791262864e-05	1.7976452915355576e-29	5.093955905977055e-09	7.489975726521436e-05	2.994457900058478e-06	7.440374644666292e-05	3.624122759561033e-05	0.0003310723073878563
BPArm[4]	1.336901534809698e-08	0.0040376624733823975	0.01721043238466791	0.0	0.000386111160623841	1.988323201658204e-06	0.002669792070916257	0.0012717766666901365	0.001262115575842273	6.168248525721509e-05	0.0004639329102064948	0.0003112817026631376	1.401298464324817e-47	3.0356506694180495e-05	7.153716924278797e-05	7.099411615854478e-05	8.469707590393227e-05	0.00012771571593475528	0.00011386620587430229	4.133487265789881e-05	0.00010357253861570826	0.00025943874367742115	5.640145493141199e-05	0.00013359470267459983
BPArm[5]	3.4306530025673965e-08	0.0008915921613726141	0.0027767077041789888	0.0	0.002234310524854991	1.25005755080565e-05	0.007086490164801944	0.0004808320486238518	0.0006889839834411759	3.3188972024618125e-05	5.0082447825028355e-05	6.665432960971885e-05	2.802596928649634e-47	0.0001349455145327738	0.0001692007132078288	1.3974007025397368e-05	0.00028709089482710227	7.757018206120847e-05	7.677826473553861e-15	0.0002528617499046959	0.0003793108219559919	0.0005120171124553963	4.887741302809445e-05	0.000753736799915714
BPArm[6]	3.5016565953782663e-09	0.00018336968383295016	0.009281988472212106	3.297033854323672e-05	0.0011035112618810671	4.918487709801586e-05	0.0016518088967200127	0.0030083343797975815	0.0018932793586463959	0.00020456095714365574	7.983116706782312e-05	0.0003693453764071053	0.00021812432948536297	0.00016900319641436568	0.00013899372659452073	0.00012810715038995114	0.0001812831972472395	0.0003770618236796963	0.0002233510033780073	0.0009462817727808215	0.00022828751526958512	0.001660639314308412	0.00033544886398885866	0.0003242555516123957
BPArm[7]	3.004829994601721e-08	0.0001463078165875231	0.001730695971637033	6.639110506512225e-06	0.0030273290766945136	0.00012340564301666746	0.003384033199414578	0.0009358835037164682	0.0002877381174107541	8.372250013053417e-06	3.320752376436982e-05	3.5917445128461626e-05	6.3145393505692486e-06	0.0003929307296750295	9.867896915238816e-05	0.0001362242486266041	7.215256941481841e-05	0.0008965339667656735	0.00011875728625227567	0.00018563664560133474	0.0016173791487381095	0.0018474695493488013	1.8215372692793606e-05	0.00037458674520394195
BPArm[8]	1.3187783841628332e-08	2.98586428471026e-09	0.004775463688420131	6.75017737194139e-05	0.002379837381122343	6.809637645956101e-05	0.0005903132731327787	0.002361118063199683	0.0015287274776528649	0.0002381855715955794	6.77462642713067e-06	0.00022563848443407864	0.0001425377904706693	0.0001726122931498253	4.6965326801569064e-05	9.321871760221257e-05	0.0006380523281866601	0.00042555862170047477	0.00032012054612978513	0.0002449854874089397	8.680886242927955e-05	0.0012270335824178026	8.421653727396006e-05	0.00011586351949745222
BPArm[9]	2.0235343363150804e-08	9.159453881579793e-08	0.0007378307392355055	7.117071033033558e-05	0.0024856077377262407	9.754618728407737e-05	0.00133990551403258	0.001442563009331934	0.0007320898942907661	3.1813735374726094e-05	6.780720541428309e-06	4.50643412374661e-05	3.381648052375397e-05	0.0002455167149582138	0.0002523331333270562	0.00031586694977931985	7.123300625153206e-05	0.0007740638460199989	0.00018842258494260024	0.0004021763094220992	0.00030654823313426506	0.0023155083384972385	7.859694298531394e-05	9.81503561683894e-05
BPArm[10]	2.459671632371041e-08	2.802596928649634e-47	0.0020529635762795806	0.00028007567647819086	0.0022825711820041762	5.266189928534004e-05	0.00048702022491852403	0.002434322678018361	0.0012589142233787242	0.00013296154042791386	0.0	0.00016866196431088553	0.00021738397610157167	0.00011937068127831907	0.0001575683137531314	2.2886466031195595e-05	4.980661338834125e-05	0.0006996687929745349	5.301484660133027e-05	0.00027143936282300276	0.0005249576131564027	0.0002823964821877212	8.785052301391261e-05	0.00034294740709128746
BPArm[>10 & <=20]	1.908206364920062e-08	0.0	0.0005932362261665364	0.0032837450028455352	0.01631230174563825	0.0010964161178890208	0.0009772661639197544	0.008409521970897914	0.004624462476785993	0.0002631313884487696	6.0473513876970925e-05	0.0003786846791833209	0.0020640774777939443	0.0012268145156662058	0.00033835437423940685	9.263313118481165e-05	0.00028668614559478555	0.001644027227619631	0.00011707678191669402	0.0008569626819195264	0.0023614175543708884	0.00121566773306256	0.00035995223704958333	0.00027288060139655785
BPArm[>20 & <=30]	3.4972258244891916e-08	0.0	0.0	0.002684352390028835	0.0022891440035164123	0.001557516248194588	6.328695453703404e-05	0.0008152469864216983	0.0003936230401625104	7.197957824018895e-06	0.0005265010091170552	8.252200621285511e-05	0.0002974124292779834	0.0011632398369235376	9.821185897081364e-05	3.440908621996641e-05	9.225386689934112e-05	0.00036624724214561865	1.8715150872594678e-06	0.00030312130992221853	0.0008408925072112083	0.00011503740795888007	6.353238044539467e-05	9.149768156930805e-06
