MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I
BPArm[6]	4.00E-10	7.97E-05	1.47E-05	4.18E-05	6.09E-05	1.27E-05	9.73E-05	4.95E-06	2.16E-04
BPArm[7]	7.69E-10	5.10E-05	2.25E-05	3.87E-05	2.30E-05	3.45E-06	2.65E-05	9.89E-06	6.08E-05
BPArm[8]	5.87E-10	4.57E-05	2.32E-05	2.76E-05	4.90E-05	1.04E-05	5.79E-05	6.87E-07	1.13E-04
BPArm[9]	6.38E-10	2.09E-05	2.07E-05	2.78E-05	2.15E-05	9.22E-06	2.29E-05	6.56E-06	4.33E-05
BPArm[10]	7.34E-10	1.48E-05	1.31E-05	2.26E-05	3.09E-05	1.76E-05	2.91E-05	4.14E-07	6.01E-05
BPArm[>10 & <=20]	7.28E-10	0.00E+00	7.26E-05	1.07E-04	8.62E-05	1.03E-04	1.44E-04	2.99E-05	2.46E-04
BPArm[>20 & <=30]	1.32E-09	0.00E+00	5.32E-05	9.72E-05	2.08E-05	7.88E-05	1.41E-05	2.96E-05	1.11E-04
BPArm[>30]	2.24E-09	0.00E+00	2.30E-05	1.00E-07	3.64E-06	8.11E-05	0.00E+00	2.65E-05	8.12E-05
CN[0]	4.19E-08	7.34E-06	4.30E-11	6.89E-05	3.71E-04	0.00E+00	6.68E-04	1.85E-05	1.24E-04
CN[1]	3.34E-05	1.20E-04	0.00E+00	3.27E-04	1.42E-03	3.07E-04	1.15E-03	4.21E-05	1.50E-03
CN[2]	4.45E-04	7.55E-04	0.00E+00	1.33E-03	9.02E-04	1.69E-03	1.83E-03	1.02E-04	5.00E-03
CN[3]	1.15E-05	1.09E-03	1.32E-04	1.09E-03	0.00E+00	1.46E-03	4.20E-04	2.10E-04	3.98E-03
CN[4]	9.59E-10	4.12E-04	1.06E-03	7.29E-04	0.00E+00	6.73E-04	4.05E-04	3.30E-04	2.40E-03
CN[>4 & <=8]	4.04E-10	0.00E+00	1.22E-03	5.81E-04	0.00E+00	2.86E-04	6.62E-04	7.22E-04	3.64E-03
CN[>8]	1.84E-09	5.80E-09	1.09E-07	5.46E-10	3.02E-07	1.75E-08	1.46E-09	8.81E-04	5.22E-05
CNCP[0]	7.33E-05	0.00E+00	0.00E+00	5.00E-06	0.00E+00	0.00E+00	2.15E-05	0.00E+00	1.81E-06
CNCP[1]	0.00E+00	7.76E-04	1.67E-19	1.87E-03	1.86E-03	2.51E-03	5.18E-04	0.00E+00	7.94E-03
CNCP[2]	5.66E-10	2.98E-04	9.13E-04	2.52E-04	8.14E-04	6.24E-04	1.90E-03	7.13E-04	3.20E-03
CNCP[3]	1.79E-09	0.00E+00	4.21E-04	7.80E-04	6.13E-09	6.19E-06	1.69E-03	4.47E-04	3.71E-03
CNCP[4]	2.89E-09	9.43E-11	1.48E-04	3.49E-04	0.00E+00	0.00E+00	7.32E-04	3.15E-04	1.77E-03
CNCP[>4 & <=8]	3.88E-09	0.00E+00	3.42E-05	3.33E-04	0.00E+00	0.00E+00	7.00E-04	6.42E-04	1.94E-03
CNCP[>8]	1.89E-09	5.53E-09	0.00E+00	0.00E+00	4.89E-07	5.89E-09	3.19E-09	4.21E-04	4.49E-08
OsCN[0]	6.71E-05	5.24E-05	1.07E-03	1.20E-03	4.82E-04	9.06E-04	0.00E+00	7.01E-04	4.12E-03
OsCN[1]	1.94E-05	5.72E-04	2.63E-04	4.47E-04	4.32E-04	4.66E-04	7.58E-04	3.57E-04	3.08E-03
OsCN[2]	5.00E-10	1.21E-04	1.10E-04	1.28E-04	1.13E-04	1.25E-04	5.62E-06	6.11E-05	3.90E-04
OsCN[3]	0.00E+00	8.93E-05	9.54E-05	1.34E-04	1.34E-04	1.09E-04	1.52E-04	3.63E-06	2.87E-04
