MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I
CNCP[>4 & <=8]	6.414297835988236e-08	0.0	3.63501938847266e-05	0.0003328605017645359	0.0	0.0	0.010478972002301674	0.07765072163194418	0.012043641455944396
CNCP[>8]	1.7883262206197515e-07	1.297680480938368e-07	0.0	0.0	6.336298655185146e-07	1.0036100235311096e-08	2.064645765270656e-08	0.06042431123554706	1.992750345825023e-07
OsCN[0]	0.04661084491759539	0.00012651872064452617	0.08296352982521057	0.04513487171381712	0.011769691843073814	0.0029295593067583635	0.0	0.16093610614538192	0.03168320586235495
OsCN[1]	0.0005902655184036121	0.021109361900016665	0.02753498688340187	0.029535727351903917	0.0036001467621099435	0.0203506497759372	0.074938134662807	0.026849671732634306	0.04524102481082082
OsCN[2]	4.3667952603909655e-09	0.0027915572235360743	0.008145302145276218	0.009227478713728487	0.004357230304740369	0.0056747015623841435	1.1125270248157904e-05	0.004604469859041274	0.004190849883598275
OsCN[3]	0.0	0.0009880121966466505	0.0033391653082799166	0.003428877902988461	0.006576858358457684	0.009193946234881878	0.010157788721844554	9.120744152824045e-06	0.004652031333086626
OsCN[4]	3.047695285474106e-08	0.00010525365796979913	0.0011267939014942385	0.002254355722106993	0.002568845215719193	0.0033260686171706767	0.0	0.0	0.0011539767440990544
OsCN[>4 & <=10]	1.8595747035554667e-08	0.0	0.00027820812943120805	0.0015914417292515282	0.008191932691261172	0.010379364555701613	0.0009890526019626122	0.0	0.0021516826715713934
OsCN[>10]	5.2209349554743764e-08	1.8657884459649666e-10	2.896313024969288e-09	7.173063942267355e-09	0.0020767853420693427	0.001855778995595756	5.3128358157295e-10	2.8281078701120068e-09	0.00021804868153886713
SS[<=2]	8.509418000457459e-08	1.645915354655081e-05	0.0006423242590972222	2.015249492615112e-08	1.2442684261060321e-05	0.0016834763414226473	0.0006766700974549167	0.0017608612217009068	0.0014386870083740178
SS[>2 & <=3]	8.086071289881148e-08	0.0	2.555413346001956e-05	0.0	2.723174996432931e-07	0.00578430000692606	0.010216520056128503	0.006251583468401805	0.011156943690395948
SS[>3 & <=4]	1.2380814238266424e-08	0.0	0.0	0.0	0.0005121354064334582	0.03425709716975689	0.04328956852072228	0.01283319455434878	0.044944434453108216
SS[>4 & <=5]	0.0	0.00025624602800235154	0.00042747674150120927	0.0	0.024670908357948065	0.1235456324648112	0.031055668657645582	0.056427677348256114	0.02245594981217437
SS[>5 & <=6]	4.731909752919705e-11	1.3846186629962177e-06	0.08190780285745859	0.0003570229734812845	0.08635204318910837	0.10055099694058299	1.401298464324817e-47	0.0771378519013524	0.0595424594450742
SS[>6 & <=7]	0.0	4.633997623432187e-22	0.07026871901005506	0.16670390605926513	0.06754266289994121	0.005973326183157042	0.029091746881604194	0.027300729993730784	0.029595252522267402
SS[>7 & <=8]	0.016750176711939277	0.11535667791962624	0.005680286510161499	0.06219604812562465	0.019274769376497716	0.005809664872358553	0.07850673917680978	0.0016134238371887477	0.03664797099389914
SS[>8]	0.03519197255373001	0.004605361421126873	4.798810926409658e-10	0.0	1.0053328036718768e-09	9.88842376870025e-10	0.0	3.8689195402952236e-10	5.4557072146628196e-05
NC50[<=2]	0.0012085481255780905	0.0	3.4220943856411166e-11	2.1122300297715667e-11	4.90558007659736e-09	8.168223854454481e-07	0.0	5.731136203806386e-05	6.37951054818231e-07
NC50[3]	0.0005919418775010854	9.285263727363712e-05	2.1621845091690517e-07	0.0	2.851967503119557e-05	7.562284295712374e-06	0.0	8.762529755813375e-05	1.4356729234785704e-05
NC50[4]	0.00017471717932494358	0.0007083990288083441	1.537025460418562e-07	0.0	0.0001277036897090511	6.4877957688880275e-06	7.290544454008341e-07	3.632977743602162e-05	6.331548015310773e-05
