MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA	SBS80AB
BPArm[5]	4.2404070350610114e-08	0.0001786956739546497	0.0031463271417305804	0.0	0.0029015213721959297	0.0064529912375709845	0.0	0.0002328382967948528	0.0003141282368596876	0.00011845262603628726	4.488304203148719e-05	0.0002865193784236908	2.4027759826452667e-05	0.00041327918991267864	0.0013390827429658181	0.0008508281372816935	0.0001630794916431455	3.646996919997037e-05	0.0003272214887692826	0.0003710937626313182	2.3216888574850712e-05	2.2237820867303527e-05	0.0005844325460714828	0.00028357903740470645	0.0002786331012816845	1.379983761580661e-05	0.00028356762963589353	0.0012257132221138178
BPArm[6]	8.76151038942119e-09	0.0002595392785853967	0.010635263151489199	2.109351130670234e-05	0.0006399525906510917	0.0012410193493593625	4.351751200427856e-05	7.329262160112649e-05	0.0023849291209626245	0.00026592917957685814	0.00014666688359284307	5.630024214042374e-05	0.00034227759755643737	0.00010563444693143964	0.0003006558000924997	0.0029668445125707876	0.00013864514956367203	0.00022860156451748993	0.00015897384200997067	0.0009096705534102524	0.00012759299360141086	0.00015583282090385396	0.0015577221791873797	0.0009439153076893092	0.00022522869382555656	0.00043128078105382885	0.00029179311608914236	0.0004245930730098735
BPArm[7]	4.239337211053851e-08	1.0848759757209336e-09	0.002347686231369153	0.0	0.003277603149872448	0.0024719674656552117	0.00015519897370324997	3.846259502097382e-05	0.0008300492910348112	0.0	2.549655717302812e-05	8.035440594539978e-05	3.655777228388502e-05	0.0003080241978290843	0.0008166923670614778	0.0004718129002096827	0.0009586910572397755	5.311058404913638e-05	8.03304988680864e-05	0.00022516170259414991	7.858417387630823e-05	2.1057433041278273e-05	0.001764089500134105	0.001161274415758271	0.0019092164797302757	8.045173715800047e-05	0.0002301744594029742	0.0003703714558194804
BPArm[8]	2.198732079961019e-08	3.058582311496138e-05	0.006008348327595741	3.295793234428857e-05	0.0019516847265197157	0.0001853337962992896	4.469285961022251e-05	7.351688786400246e-05	0.0021216712915338577	8.503289991779184e-05	6.29956746706739e-06	5.0539265200511e-05	0.00024172681989718424	0.00010550010264239518	9.055367840820576e-05	0.002099792992485163	0.00024772832704053285	0.00016539980613742956	0.0007779328252951245	0.00012758628797129745	0.00044253676333710245	0.0005123728710168507	0.001052310143987114	0.0004729591328644389	5.500073245684689e-05	9.930607669957681e-05	0.00029403007341898045	9.679530215123578e-05
BPArm[9]	2.374302213059565e-08	0.0	0.0013376798629178665	2.4141697722370736e-05	0.0025306863806827096	0.000665574379556233	5.782175190688577e-05	0.00042230961772258266	0.0013477309883455745	7.69177163419954e-07	5.854811406607041e-06	6.166494596982375e-05	4.058671117768142e-05	0.000341445598071175	0.00046461821244861315	0.0005357006898356431	0.0007981753145759285	0.0003581253932952677	5.930332222554568e-05	0.0003044541667824063	0.000201094160715864	0.00010383774780166277	0.0022824189448147083	0.0007503049624219216	0.0002454586544320136	3.5015353169001174e-05	0.0001410361891339562	1.71614543069154e-05
BPArm[10]	3.4708903804414606e-08	0.0	0.0029049769463017584	0.0001992727167157685	0.0020308163508889264	0.00017350268753943965	7.900747351428094e-06	7.325336795474869e-05	0.0022563199570868166	3.202085063890081e-05	3.2759993337094783e-06	4.025508639719231e-05	0.00013085921219776252	6.630564433571351e-05	0.00019553967923684467	0.0017293673779704478	0.0005855825809499904	6.894268095493317e-05	7.781427958434505e-05	0.00033577965740363427	1.4422405061438327e-05	0.00020868521060037892	0.00017367911448218365	0.00025410574674424426	0.0005169965309289637	5.9321790532322895e-05	0.00019867353656081833	0.00040049558577351266
BPArm[>10 & <=20]	2.3915346099023793e-08	0.0	0.0016883284878258563	0.003068236967969824	0.01540925920009613	5.286593479988373e-05	0.0005808328385390743	0.002966218973197101	0.009294458294752984	7.39517775218701e-05	3.9989535271161006e-05	0.0012218900490051964	0.00012724184695485973	0.0015194032285089421	0.0012028777650191058	0.004509316529147327	0.002213998780534699	8.99581381418102e-06	0.0004254271439835122	0.0004173560061913406	0.00016352772753702282	0.0002584525275017313	0.0009448116630477444	0.0007723596477705997	0.0021266804184347293	0.0002840797323733568	0.001088190641971778	0.00010999776988231957
BPArm[>20 & <=30]	3.625647876148719e-08	0.0	0.0	0.003036733753979206	0.0022032498416956516	0.0	0.00170537719002553	0.000619109076769746	0.0010173870607104619	3.5574786306824536e-06	0.0005609918178470252	0.00021918624408812093	1.0398076284445778e-08	0.0010875402304650805	0.0001394699135994415	0.00013300382623128825	0.0006036907115887402	3.4074194627464747e-06	4.5293589272432656e-05	0.0004364920231263625	1.135760462886992e-06	3.255059667935711e-05	9.80908925027372e-47	7.689338293857873e-05	0.000856165746699844	0.00011356595904089772	0.0004952568469161633	7.562939426861703e-06
BPArm[>30]	7.409651080703127e-08	0.0	0.0	0.003920716211432591	1.0510955471545458e-05	0.0	0.0013095634870686369	5.726017055831534e-05	0.0	8.955103697871891e-07	0.0030362066817178858	0.0011193468946419868	0.0	0.0005675244465989238	7.313453588783325e-05	0.0	4.4133857036854355e-06	0.0	2.0005181511351113e-09	3.4007763360932584e-09	1.8808329116382084e-09	0.0001250888395588845	0.0	0.0	0.0	2.6123854331672193e-06	0.0	3.005706507792638e-06
CN[0]	5.079714356597265e-06	1.431534759177566e-07	0.0016192001052100858	2.8156126319345276e-09	2.4767309285689266e-08	1.1881681025727175e-07	7.006492321624086e-47	0.004432611521851939	0.0025972622590818163	0.001092768956044079	8.38647775225354e-09	1.716935169670023e-08	3.331968962072551e-08	1.46298928306976e-06	5.364187917714265e-09	0.18398710431412268	0.003016308210051537	1.4818054712151252e-08	2.5440287890616985e-08	6.922757317625951e-09	1.3358049200107302e-08	2.40255021024139e-08	2.1062739117283515e-08	0.0037957714221076295	1.4329623549969029e-08	4.046749915387338e-08	0.0037053142137575467	6.795768835665683e-08
