Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	0	507	663	2819	0	0	399	1311	0	0	0	0	277	85	135	9
09537dce-c797-4b60-962a-d4c3cd6ab00a	425	0	0	0	0	7	19	2	5	3	0	1	8	1	0	0	4
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	183	77	220	92	224	114	44	102	65	0	70	84	13	39	23	56	15
097a7d36-905b-72be-e050-11ac0d482c9a	284	15	2	53	1	123	90	0	0	0	2	0	25	0	0	0	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	345	45	4	0	0	57	19	0	0	0	18	6	27	0	2	0	0
09bc8542-4ea1-4599-91b3-d606425b37e2	113	52	303	226	287	125	98	108	96	118	40	90	41	0	97	36	10
09cb8bc5-13ac-44ac-9b7d-6de143373570	203	127	49	0	132	108	14	41	28	35	57	77	11	0	28	0	23
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	106	310	150	34	0	29	260	0	0	0	0	0	29	0	0	15	0
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	266	62	7	13	0	101	54	0	40	0	0	0	31	0	5	4	0
0a9c9db0-c623-11e3-bf01-24c6515278c0	201	59	10	0	68	194	8	0	14	11	3	50	7	1	9	7	0
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	284	104	29	25	2	65	65	0	5	0	2	11	19	0	8	0	0
0ae2193f-0d68-485a-b8c2-7568cbcce33e	360	21	17	15	0	34	17	0	17	0	4	4	28	2	0	21	6
0b19bee7-5281-4915-9d98-c20eb3e84ecf	63	101	39	171	15	246	187	0	15	0	62	0	54	0	0	0	34
0b29c893-03bf-4131-b192-c14a2788d411	315	68	1	0	41	61	0	0	0	0	20	72	0	0	1	0	0
0b6cd7df-6970-4d60-b7b5-85002a7d8781	422	12	0	0	0	8	8	4	5	1	0	3	21	0	0	0	2
0b811c6a-8f05-44bd-ac33-fb720d189e71	439	0	0	3	0	0	0	4	0	0	0	2	24	0	0	0	1
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	396	6	0	11	0	21	11	0	0	2	0	0	27	0	1	0	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	366	54	37	12	0	16	44	0	0	0	6	0	33	8	0	0	0
0bbc7ede-5022-4084-925c-d65baaf7abc2	70	90	68	73	190	243	51	181	93	22	37	16	37	0	43	69	0
