MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U
BPArm[>10 & <=20]	1.7085128341254306e-08	6.645025569014251e-06	0.012243005027994514	0.004032056335682909	0.0	0.0011725291664970428	9.278148183511803e-05	0.0004337388566364098	0.008319401655753608	0.004928142071585171	0.0007364189034804269	0.0007788676939274808	0.0016664335596578894	0.0024261308663571413	0.0005642014170007325	0.0008583240351160549	0.00026014626675532784	0.0004248659874019722	0.0010089112629918873	0.001964030755142304	0.0006480438156985712
BPArm[>20 & <=30]	4.232044934937562e-08	0.0	0.0014306027596467175	0.0028414057650661562	0.0	0.0017736716289304154	0.0006295799239069311	1.1029143148846288e-05	0.0007583870099915657	0.00043862528020554236	9.621629982632385e-05	0.00016868109049056557	0.00030564733134781364	0.00042145344478797145	0.00022291187297753367	0.00018592281599808303	9.645120665368268e-05	6.44097017357126e-05	0.0002533282007163962	0.0005590032568947123	0.00020484944850750252
BPArm[>30]	6.844564532038077e-08	0.0	5.974471569061279e-06	0.0029905191185025616	0.0	0.0011645838983580959	0.0027875277714338154	4.916015667788542e-06	0.0	5.80885083459215e-05	2.4433767009668373e-10	1.8024991239826703e-05	0.0011741097438844527	7.537871408658248e-05	0.0003360417423134621	4.510757222305983e-05	6.551097147166729e-05	8.129796030686976e-07	9.266040218136595e-05	0.0001153918498276596	0.00010455549640823847
CN[0]	2.41086270670543e-06	7.720700157065608e-05	2.9491700104244958e-09	1.5107515238810265e-10	1.3144999904568522e-07	0.0	2.2337140093142693e-08	0.003001452962284645	0.009190863751815641	0.08806356960936437	2.089983652808769e-10	0.00704634640365839	9.350288934228956e-09	0.012595371220227455	0.0029993331281457356	1.6715328499117277e-08	1.1778166517615317e-05	5.176494681882363e-09	0.00191073080735487	2.97511288493979e-09	0.0032309634906555118
CN[1]	0.0009509730172623376	4.898679535031647e-05	0.0011607223639748482	0.0005677031148792367	8.51367530412972e-05	2.802596928649634e-47	0.0	0.37093378707766533	0.020612044974822084	0.023734002985840448	4.115276452942851e-12	0.004447538953576214	0.0017721550637993034	0.006358663776165353	0.0015861839117398801	0.002482218393236973	0.00040079014832883786	0.0013604364814970493	0.0007968952276307562	0.0012362271183741314	0.001113272250283721
CN[2]	0.009463179083997644	0.027610686582078534	0.00812158777883535	0.04639406374655664	1.7386747523268502e-18	0.00032057591607722723	0.0012516010878607631	0.22421002626419068	0.006707599724406508	0.04280372410312834	0.001549624287338225	0.7166019305214286	0.011528503942367197	0.00784661001626792	0.0012962096333812665	0.005471571519734473	0.0007537484314237654	0.0003756237589910116	0.008288844565444854	0.001378624754561086	0.002179067099293013
CN[3]	6.7397863021101404e-06	0.0038024677836801858	0.041679133238333464	0.10526286453950093	0.012561569456217114	0.0001936350902542472	0.0010117875383002684	0.0	0.029702892638742925	0.0007421359699219466	0.18342535188654438	0.007995468182560792	0.009636324726588832	0.03638152634514368	0.11645707603543996	0.058856772533896734	0.07992202270477719	0.08154324776655987	0.058448347387666216	0.04766386615109774	0.04681324554607272
CN[4]	4.240742902394956e-09	0.0	0.0020892800229501064	0.004261821145335603	0.00016326758496347792	0.1130996795091778	0.0024718544037739686	0.0	0.00595328878033148	0.03011354457185007	0.27188600197434426	0.00046093727586040247	0.001700834273912422	0.00975440551993203	0.02522946503184926	0.03190827514095403	0.007290970277764756	0.0211405992399126	0.02264696662765573	0.0228906829828117	0.04127126363218167
CN[>4 & <=8]	3.132803040095666e-08	6.817008824100412e-10	1.7588890415254356e-07	1.7148200842399836e-07	3.2626058121820734e-09	0.2603232152760029	0.05274646719731038	0.0	0.06467279457065267	6.742331535747325e-07	0.020778529174072892	9.066050872206688e-05	0.003926819082662156	2.5336165300871015e-07	0.0055682270593612904	0.004073495348147276	4.693378099962509e-06	1.2290632286777736e-05	1.4056544674900807e-07	1.6435199697406589e-06	0.002565557507730887
CN[>8]	1.2161468816440645e-07	1.350322558657524e-08	1.9489364438962655e-09	6.994968870799312e-10	8.39150906983832e-09	0.0025943122776345717	0.19995002761483194	1.401298464324817e-47	6.192113996181803e-05	7.200566862763935e-09	7.306755439834279e-08	9.341761426640005e-09	5.207151396721343e-05	7.672514339418512e-08	3.876601553542969e-08	3.8279608247648866e-08	5.725367131519234e-09	1.3138557761749326e-08	1.0537145556099858e-07	5.5652083830182164e-08	0.00012529627086637517
CNCP[0]	0.04863124525174498	2.57149297056003e-08	9.872571382629758e-10	0.0	0.00020839725374692365	0.0	0.0	0.0	0.0003834508950906468	0.0005386367345677102	0.0	0.00011935405875853178	0.0	0.00017017690697684884	3.6969517823308705e-05	0.0	0.0	0.0	1.1613480311680747e-05	0.0011509881913661956	3.074136475333944e-07
CNCP[1]	0.0	0.07626939484383911	0.22004220686852932	0.3449131117761135	0.033017269904376007	0.007848326531238854	8.14218947198242e-06	0.19529428168658342	0.00037550410022959115	2.802596928649634e-47	0.005387190512847155	0.01954456642270088	0.3094020264595747	0.019953011352767166	0.04026190536078502	0.005858713885593261	0.006714200416197491	0.003716222559748894	0.050704427255512476	0.010220211050988193	0.014110920825234068
CNCP[2]	1.1372731307246475e-08	1.6499604107877985e-07	0.0011114178569182798	0.0007907596254517557	2.543464358240044e-08	0.13147203684784506	0.001910906121163407	0.0	0.01938823580935377	0.33964003920555114	0.09587773183578172	0.011894656658828	0.014517243949773486	0.007572866858821854	0.0020032650977071854	0.004146305559413151	0.0018792537183190917	0.0015275323184209594	0.024609986850027785	0.001665442517840958	0.019094645379692566
CNCP[3]	8.11680085033295e-09	2.8997237677685916e-08	0.003431432391452063	0.000799107442053355	3.5794123220966867e-09	0.040557525637268554	0.02474032388534397	2.868072532002941e-07	0.10430736199487001	0.0028031565893168065	0.0005548392300839567	0.000487907194215218	0.0021819051879538166	0.0001753399133980338	0.002140814431374096	0.0012344434578085385	0.00010127961680098381	0.00022043511907597236	0.004091406529442472	0.0007785272139890509	0.002083230228748647
CNCP[4]	1.20554246860749e-07	4.183965280901703e-09	6.460092113456994e-05	0.00023748998881927718	6.841434121440671e-08	0.017153989495709537	0.03218836434185505	1.77557495817382e-09	0.050339678525924685	0.0006241686023475346	6.010368051647674e-06	9.022590875119377e-05	6.413413972609305e-05	2.356545418698074e-05	0.0005930125250534957	0.00025853536487375095	5.3157045840634965e-08	2.263473359676027e-07	8.600994449921018e-06	0.00013571670862432938	0.0006012935049189139
CNCP[>4 & <=8]	1.117669076045047e-07	1.0674626000906111e-08	1.6155077823043484e-07	4.701770634847335e-05	5.251243745618694e-08	0.0018796000638889598	0.09465968191623687	1.2415970251922203e-10	0.05488027695566416	0.0003480155913100269	7.030794790807704e-10	6.479065298492514e-08	3.929699239790807e-08	1.5647721415936246e-08	0.00011741201820647973	4.504874596023001e-07	1.6205800177360175e-08	3.2814248704937656e-08	2.2312868699220225e-09	4.527634185791385e-07	8.721612717430105e-05
CNCP[>8]	3.7695062260922895e-07	2.375869667758934e-07	6.016981046741421e-10	2.0021635238620662e-10	1.1061293430092433e-07	0.0	0.09181352399289608	6.298963248241308e-07	9.168239986534488e-08	9.229914565978033e-09	2.8533832972393647e-09	9.537353820476824e-08	5.8343444706565607e-08	5.637393130086821e-08	1.302794647273231e-08	5.842716888082598e-10	2.5450890461797826e-09	0.0	2.0683918577907364e-07	3.3697659773679335e-09	4.8077104876087515e-08
OsCN[0]	0.04138696664958183	0.00092736979480833	0.04331554286030528	0.017629077766093	0.001324508644014486	0.10418908666819333	0.17894283637404443	0.001964420658697546	0.010309577891603113	0.008705903031554538	0.000769614549138037	0.04718177478527652	0.013118199836550014	0.022966974722595755	0.010830739695387441	0.0284541967976884	0.0161483753862509	0.022790929260742235	0.023123178859242196	0.07357374470522463	0.11334232639060808
OsCN[1]	2.2249959198177293e-05	0.04984865881502629	0.0254695569886826	0.013882101667986717	0.0074469668013512095	0.03637015975080431	0.021573299830779432	1.1210387714598537e-46	0.11012804195284844	0.047922010645270345	0.021392821583431778	0.013277112180284689	0.029045639249379748	0.02356765794519009	0.024681516538839786	0.012366553467305202	0.019308550685276628	0.002500718909359535	0.03014198541583034	0.015365455545306002	0.013531313552521169
