MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U
CNCP[>8]	1.86E-07	9.92E-09	6.02E-10	1.76E-10	8.74E-09	0.00E+00	1.11E-03	3.68E-07	3.02E-08	3.31E-09	1.26E-09	1.21E-08	1.48E-08	2.79E-08	9.25E-09	5.84E-10	2.55E-09	0.00E+00	4.87E-08	3.37E-09	2.25E-08
OsCN[0]	2.11E-03	4.82E-04	3.73E-03	2.68E-03	4.39E-04	4.76E-03	4.23E-03	4.07E-04	1.98E-03	1.94E-03	4.11E-04	1.61E-02	9.95E-03	1.02E-02	3.31E-03	1.11E-02	9.96E-03	2.53E-03	9.65E-03	2.16E-02	2.06E-02
OsCN[1]	9.66E-06	1.38E-03	1.15E-03	1.09E-03	9.17E-04	7.55E-04	5.57E-04	5.15E-47	1.41E-03	1.21E-03	1.51E-03	1.77E-03	2.95E-03	2.23E-03	1.89E-03	1.57E-03	1.53E-03	6.08E-04	2.50E-03	1.40E-03	1.54E-03
OsCN[2]	9.79E-10	2.59E-04	5.41E-04	2.34E-04	3.39E-04	2.66E-04	1.40E-04	1.42E-04	3.19E-05	4.34E-04	3.03E-04	2.54E-04	5.05E-04	6.43E-04	3.98E-04	5.81E-04	4.85E-04	3.42E-04	7.11E-04	4.44E-04	4.67E-04
OsCN[3]	7.94E-10	4.34E-04	3.52E-04	1.74E-04	0.00E+00	1.79E-04	1.50E-05	2.12E-04	2.79E-04	3.44E-04	2.93E-04	4.08E-04	3.94E-04	4.27E-04	2.90E-04	1.89E-04	1.99E-04	6.00E-05	3.95E-04	1.14E-04	2.33E-04
OsCN[4]	1.73E-09	3.60E-05	1.06E-04	8.64E-05	3.73E-05	6.21E-05	7.01E-47	1.24E-04	0.00E+00	9.75E-05	1.04E-04	8.60E-05	1.92E-04	1.59E-04	1.07E-04	1.05E-04	5.51E-05	8.51E-05	1.39E-04	9.05E-05	7.92E-05
OsCN[>4 & <=10]	1.35E-09	1.20E-04	3.84E-04	3.37E-04	0.00E+00	3.33E-05	3.45E-06	3.41E-04	1.45E-05	1.63E-04	1.10E-04	2.41E-04	4.56E-04	1.41E-04	3.22E-04	1.58E-46	7.48E-05	1.97E-47	2.79E-04	1.27E-04	5.83E-05
OsCN[>10]	2.22E-09	0.00E+00	4.14E-05	1.31E-04	1.96E-10	0.00E+00	3.93E-07	1.13E-04	0.00E+00	6.29E-06	3.82E-06	4.05E-05	1.02E-04	4.09E-05	9.71E-05	3.07E-09	6.96E-06	6.06E-08	7.45E-05	2.02E-05	0.00E+00
SS[<=2]	5.62E-09	7.00E-07	1.40E-47	2.66E-05	2.60E-06	5.25E-05	3.64E-05	1.36E-06	1.92E-04	4.48E-05	2.85E-05	8.67E-05	2.50E-04	3.92E-05	5.85E-05	4.11E-05	4.29E-05	7.51E-06	1.44E-05	3.39E-05	9.90E-05
SS[>2 & <=3]	6.64E-09	2.40E-10	0.00E+00	6.42E-05	1.73E-09	1.06E-04	1.25E-04	1.98E-10	2.04E-03	4.31E-04	2.80E-09	7.60E-04	2.43E-03	1.66E-05	9.91E-06	6.95E-05	8.38E-47	1.60E-04	6.47E-05	9.36E-08	1.07E-04
