MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L
CN[0]	2.8800688182784027e-06	4.538855262943286e-05	5.311105188765542e-07	0.0	0.011847538352012634	0.004518204431927586	0.0	1.193770658574067e-06	2.0245584085625267e-05	0.017763376283196165	0.03744581111577205	1.45915986381695e-05
CN[1]	0.0031436792085878552	0.001151633870235	0.0003697002558072171	2.802596928649634e-47	0.002386381507094484	0.20735112324357033	0.0001497456064682055	0.003232455687248148	1.401298464324817e-47	0.029928745885845275	0.015689119688468055	0.0009808584580252955
CN[2]	0.035685974829956196	0.02247853009828658	0.0023304550007976843	3.637628862634301e-05	0.10120791151654132	0.18406468093395234	0.1271651121503635	0.03355741564804522	0.002452628170101609	0.023779974274246538	0.08167162761121062	0.0008171002846211259
CN[3]	2.0107439490999467e-05	0.08729214549064636	0.0401001183828339	0.00042179610584466897	0.007192670244839974	0.0	0.09784334884374403	0.07344172606710352	0.0015764886128454237	0.032052889620536006	0.016652652507474906	0.052245084252208474
CN[4]	3.180742724762098e-11	0.01079276970612744	0.008568784485743955	0.13305966459214688	0.003702552502106755	0.0	0.033150308964781376	0.02222417926461276	0.0032942097866262544	0.022962430205661803	0.033363749641220866	0.04341781387105584
CN[>4 & <=8]	2.1648592379852617e-09	0.00016621723134264244	1.401298464324817e-47	0.18147084333002567	0.00024247578141824988	0.0	0.003201921650683843	0.008085383308673784	0.06721093147993087	0.04178682874399559	0.00460812666593999	0.007754169486030804
CN[>8]	1.2408107277206427e-07	3.2821009732231234e-09	2.85387240417599e-08	8.536488466575065e-05	6.205686914562136e-08	8.76796093507437e-10	5.4824881404331725e-05	1.883281462600195e-07	0.15852351516485214	0.0005167010952532714	0.0007328345038773421	0.00030770279230784127
CNCP[0]	0.04387614317238331	3.950523423128516e-06	0.0	0.0	9.20417473744095e-05	2.0273779455237674e-09	1.1498187291181239e-10	0.0	0.0	0.00036677381855376723	0.0001461849790017311	1.728765042230407e-10
CNCP[1]	0.0	0.1640036430559121	0.039425365529023114	0.0058883103403140815	0.047877456760033965	0.2538628102838993	0.19229139059782027	0.24818469174206256	0.00012223049998283386	0.012614698763936758	0.022476762253791093	0.07770490530649195
CNCP[2]	6.188939881690558e-09	0.002377567787578272	0.001493680504968893	0.13850886644329877	0.03249718552805959	0.0007958671443059728	0.009648937565977577	0.007220205469332268	0.0074552556292216245	0.036823199044890204	0.17677848539895422	0.05049527074298112
