Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y
072f4146-c623-11e3-bf01-24c6515278c0	370	41	2	0	0	2	13	4	7	3	1	26	1	0	0	16	0	0	1	0	1	0	0	1	0
074fd614-5d9c-4bcc-96ad-351aa14387e3	285	104	5	12	20	0	23	3	22	1	0	30	5	0	3	10	0	4	3	0	1	0	0	0	0
07531318-87e8-4db8-aa61-9b93597d063b	285	92	35	25	0	1	22	0	26	25	4	30	0	0	1	11	1	0	3	0	7	3	3	0	0
075fc96d-6742-4ef3-9369-482592ad3a2f	209	0	0	374	0	228	0	139	248	156	924	42	64	68	331	345	0	37	95	78	23	10	364	0	23
07835447-5d7e-4828-80fd-89b063989c9a	228	128	32	42	23	15	0	15	44	26	8	23	3	0	3	22	2	1	0	0	0	0	0	0	56
079bcb09-a075-4313-9a3e-dd67734a8c5d	147	146	72	72	54	80	51	19	15	0	26	16	0	36	9	16	5	3	5	36	0	1	0	1	38
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	376	17	15	40	0	0	6	0	33	0	1	32	0	0	20	14	0	0	0	0	2	1	0	0	0
07b5141f-ac79-439b-883b-b0183bbe7ff5	7	141	156	43	65	11	206	0	94	15	0	30	0	32	56	2	11	12	1	3	3	2	5	16	0
07d20658-3db4-47e7-877b-66536266edfc	106	233	78	46	60	0	0	0	79	31	0	20	0	11	8	6	2	4	0	3	6	18	11	0	4
07e0e938-f61f-477a-92a2-5b7e74b78943	103	180	159	54	13	4	16	0	27	27	0	31	25	50	43	4	11	7	0	1	22	0	2	3	0
07f16397-71bb-4594-ad4d-caa7d2baeabd	216	112	71	54	76	0	0	0	91	0	0	44	0	0	47	0	0	2	6	7	7	0	19	0	0
080ecc31-756a-4a1b-a51e-d632ac8219f7	147	108	105	159	91	326	27	107	28	26	39	0	0	7	52	64	33	10	5	0	146	4	0	0	0
08227616-02a5-46e8-9db1-f2d1d691ab23	31	125	114	13	62	138	187	48	5	50	80	16	67	65	48	60	9	7	8	52	12	15	0	5	0
0831e45e-c623-11e3-bf01-24c6515278c0	163	92	121	54	21	2	89	0	31	28	2	29	5	44	0	8	2	14	5	8	8	0	0	4	0
089be98d-c3c9-4fb4-aef2-7a8578a91d51	202	82	77	42	82	7	86	0	77	0	0	41	0	0	10	6	0	0	0	16	1	0	9	3	0
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	172	143	83	109	98	0	32	0	95	8	13	39	0	0	0	0	2	0	5	30	4	2	0	0	1
08b5d0e4-4661-460e-a9f7-f2e687414711	260	114	23	2	0	19	0	0	0	42	11	34	163	0	3	5	3	11	0	0	5	1	3	1	1
