MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M
CN[4]	1.5663078500871563e-10	0.13407928954809903	0.011509010792683511	0.003650172920247137	0.016708130275037546	0.010267826146222205	0.0	0.002755336976915963	0.020839114545378835	0.017192157716781366	0.043358629270683194	0.052565861911360943	0.03693466290856751
CN[>4 & <=8]	5.556057978139961e-09	0.1876203854382038	0.0006024790119835188	0.0004011341577319172	1.450582652751109e-07	3.1757456611103405e-08	0.0	0.0674943108484149	0.047999761243680016	0.00038145983939131157	0.009751704819528875	0.008789990225609064	0.009818246529321471
CN[>8]	1.2204240244173547e-07	0.00040349158997400993	3.730719448924446e-09	5.7831057125312667e-08	2.9916631572035615e-08	1.5913887456697752e-08	1.5191940860859176e-09	0.16377055287361145	0.0002331656703066898	3.598432360973908e-09	0.00011390952188667924	0.00010775386137730436	0.0002719296892440709
CNCP[0]	0.04419480703771114	0.0	6.650832986565547e-09	1.600969662668206e-05	0.0	2.076309499443596e-08	4.26775926598566e-09	0.0	0.0003625374151928007	0.00026022146649694376	1.2281416566111148e-05	7.401035036309622e-06	0.0
CNCP[1]	0.0	0.007165767784391744	0.1616730005433783	0.06010342446155846	0.2816120506078005	0.03613445102237165	0.25734597101807594	0.0	0.0112434326345101	0.0007905881133817702	0.1621819238830358	0.07887932827027956	0.08838653663173318
CNCP[2]	2.944082950206983e-09	0.13662926141179382	0.004041073142463176	0.005428396219087009	0.0008008531939023378	0.0006192263121135965	0.0006536878576662276	0.005284495242481455	0.03963408043142408	0.19555253248577556	0.02990105230696212	0.05716404039664809	0.042608369076428974
CNCP[3]	1.2710301771079458e-08	0.030677435758952924	0.005136109281197605	0.001003699026771301	8.892709185452485e-05	1.9064182623651506e-08	2.7206117185762934e-08	0.030628761667758228	0.07060865313163958	0.004566368206021139	0.0003265350317087723	0.005047703081663713	0.003157667024941588
CNCP[4]	1.0066485690574112e-07	0.011756819591722376	0.00022991862930240358	0.0004850140205853393	3.2734678825363515e-07	4.729877922216019e-08	0.0	0.032966916449368	0.03351992591895396	0.001745190597604278	0.00014416902835250766	0.0019416496005683825	0.0010368929748460686
CNCP[>4 & <=8]	9.294113636926227e-08	0.0004918081573197241	6.179446404729561e-05	0.0005630597188917629	3.1632012564841715e-10	1.429368780669904e-08	0.0	0.08512988433241844	0.036283851269051336	0.0014793454960465935	1.219199728885807e-42	0.0003765753878493783	0.00025386580301272943
CNCP[>8]	1.866150717688697e-07	0.0	3.5004591225629154e-10	3.592762595161503e-07	5.264751168354565e-10	4.726306944535796e-08	8.609804317716297e-08	0.07416268207132816	1.683415679569113e-07	2.4095780189886674e-08	5.03433374907658e-07	3.513581204295235e-06	4.718032322159616e-08
OsCN[0]	0.046575629990547894	0.07684610947693728	0.05585963533259928	0.0007399591989815235	0.012707364410161973	0.0023551724314053598	0.00535101962297631	0.17751991599798203	0.006396284267434569	0.01776582618011162	0.007530489948112518	0.07249343951185437	0.055676315194069854
OsCN[1]	0.0003817008418951673	0.032823913395404816	0.028300856493884446	0.05112641940824687	0.017127970182336867	0.005121150731971511	0.00037011620646808295	0.02656016271561384	0.08920279134064912	0.04129548000171781	0.02172830842901021	0.020402953951706878	0.011234678373002707
