Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S
09bc8542-4ea1-4599-91b3-d606425b37e2	107	55	220	103	262	279	86	91	103	84	106	48	48	108	0	79	35	2	24
09cb8bc5-13ac-44ac-9b7d-6de143373570	190	102	0	124	42	129	11	34	37	26	62	51	10	74	7	23	1	10	0
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	104	289	47	61	162	0	220	0	0	0	0	0	24	0	0	0	12	14	0
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	242	49	20	134	12	0	46	0	0	37	0	0	35	0	0	4	4	0	0
0a9c9db0-c623-11e3-bf01-24c6515278c0	155	43	8	247	10	68	8	1	10	11	47	3	9	0	2	7	7	1	5
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	271	89	30	94	32	4	56	0	0	4	4	0	18	0	0	5	0	2	10
0ae2193f-0d68-485a-b8c2-7568cbcce33e	348	16	18	50	16	0	17	0	0	16	6	4	28	0	5	0	18	4	0
0b19bee7-5281-4915-9d98-c20eb3e84ecf	18	90	183	289	56	17	162	0	0	13	0	51	62	18	3	0	0	25	0
0b29c893-03bf-4131-b192-c14a2788d411	297	49	0	105	3	40	0	0	0	0	66	17	0	0	1	1	0	0	0
0b6cd7df-6970-4d60-b7b5-85002a7d8781	422	12	0	6	0	0	8	3	0	5	1	0	19	10	0	0	0	0	0
0b811c6a-8f05-44bd-ac33-fb720d189e71	437	0	0	0	0	0	0	4	0	0	0	0	23	9	0	0	0	0	0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	389	2	13	30	0	0	11	0	2	0	0	0	27	0	0	1	0	0	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	362	49	16	26	39	0	38	0	0	0	0	5	33	0	8	0	0	0	0
0bbc7ede-5022-4084-925c-d65baaf7abc2	11	72	86	305	70	192	42	170	26	79	14	27	49	0	0	35	59	0	46
0bd3a230-531e-44aa-9999-b8ed8da0176b	247	115	28	77	31	0	76	0	0	0	0	17	32	0	0	0	0	1	0
0be08326-c623-11e3-bf01-24c6515278c0	148	101	0	203	11	8	54	4	4	10	13	16	20	28	7	4	0	3	7
0bfd1043-5142-3662-e050-11ac0c486501	82	50	158	221	196	65	42	13	76	44	109	25	62	0	25	40	16	22	0
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	121	44	164	190	138	38	57	0	35	73	107	39	56	0	25	4	5	28	0
0bfd1043-7343-fdd0-e050-11ac0c484cab	0	212	327	107	13	596	10	318	69	35	0	73	0	10	3	76	113	0	78
0bfd1043-7344-fdd0-e050-11ac0c484cab	9	0	969	0	1683	267	149	0	0	62	377	0	299	0	39	65	26	51	56
0bfd1043-7346-fdd0-e050-11ac0c484cab	145	60	60	208	23	64	15	0	0	135	137	17	20	0	4	9	0	11	0
0bfd1043-7ebf-aaec-e050-11ac0c482f39	70	103	227	127	384	34	381	105	64	95	132	165	14	0	29	138	1	25	0
0bfd1043-7ec1-aaec-e050-11ac0c482f39	0	247	255	124	420	90	264	0	64	73	32	0	61	0	7	28	10	12	40
0bfd1043-7ed6-9ccc-e050-11ac0c481957	182	38	44	179	30	34	10	0	0	163	146	19	28	0	3	1	0	10	0
0bfd1043-816e-e3e4-e050-11ac0c4860c5	23	0	936	0	1441	176	115	0	0	74	380	0	306	0	30	58	25	23	37
0bfd1043-8170-e3e4-e050-11ac0c4860c5	0	249	192	93	217	148	37	0	57	43	175	49	0	141	29	13	14	18	55
0bfd1043-8172-e3e4-e050-11ac0c4860c5	0	183	164	180	89	196	32	6	39	52	144	53	11	120	28	23	18	0	1
0bfd1043-8173-e3e4-e050-11ac0c4860c5	0	243	197	132	41	254	30	11	19	58	150	75	0	102	26	17	27	7	0
0bfd1043-8175-e3e4-e050-11ac0c4860c5	0	240	205	137	63	240	19	0	15	83	156	44	0	81	30	16	7	3	1
0bfd1043-8177-e3e4-e050-11ac0c4860c5	219	57	59	134	50	0	69	0	7	36	8	0	24	0	0	7	3	3	28
0bfd1043-817c-e3e4-e050-11ac0c4860c5	2	215	205	162	349	30	245	4	7	93	22	0	62	25	11	28	9	7	27
0bfd1043-817e-e3e4-e050-11ac0c4860c5	0	284	210	86	185	9	332	0	0	33	14	221	82	80	4	82	6	0	0
0bfd1043-8180-e3e4-e050-11ac0c4860c5	0	82	794	0	913	0	245	0	66	22	387	469	278	0	77	50	48	0	0
0bfd1043-8181-e3e4-e050-11ac0c4860c5	0	161	641	0	790	0	172	0	11	56	337	307	201	0	92	56	51	0	0
