MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA	SBS80AB	SBS80AC	SBS80AD
BPArm[3]	3.958679199556059e-08	0.001311209420764497	0.0018598891619009805	1.8576573644524252e-06	0.0023091145768407983	6.743773346296389e-05	0.0	0.01883659082448844	0.00022531123670626262	4.591689446442615e-09	4.335135944181445e-05	1.1465067353331193e-05	0.0002777282333506648	5.184095630649921e-05	1.9033623033237745e-09	0.0006176966638690828	0.0007842401761367768	9.13171152205905e-05	3.067573330270079e-05	0.00011940526738726475	0.00010244334052003979	3.6200814558355885e-05	0.00018817160063676396	7.5232304698147344e-06	7.095101748291199e-05	3.067502518661058e-09	4.276411462342367e-05	0.00022118274582425102	0.0002810432688630726	0.00012190216551065813
BPArm[4]	2.571421124919482e-08	0.0019608791416215053	0.017662466468755154	0.0	0.00039849411281466017	6.365334729707683e-05	0.0	0.004598104820108802	0.0012215183411535691	0.00011712375781519533	0.0005241505074701536	0.000564233641926526	0.00045779917389154434	1.401298464324817e-47	9.768844790389863e-06	0.0005224611176527105	0.002217969603077563	0.0008137487573549151	0.00012292603962123393	4.472300578072463e-05	3.254040723277285e-06	5.605193857299268e-47	0.0007612756920764241	0.00017974277599932975	0.00014618405606597662	3.1877638732566994e-05	0.00021346307669489352	0.00031659369145586424	6.298394502664451e-05	0.00033202397106222746
BPArm[5]	4.644797008845902e-08	0.00012082058692586273	0.002307415179497525	0.0	0.0039870587502582565	0.00021683395232443558	1.401298464324817e-47	0.007611002583738582	0.0004554898714943079	2.2926974991128723e-05	6.0716031488539104e-05	6.496970995613083e-05	0.00026225019712001086	0.00020722429904134642	4.856067743190806e-06	0.0005965107657344415	0.0009968117418858212	0.00025685908634841324	5.969976424239576e-05	0.00026051161516431613	2.6802393983871296e-05	4.394419382151682e-05	0.0006835598914769069	8.640131913125516e-05	3.478636584466344e-05	0.0002936173064230977	6.043329236504753e-05	0.00010014889902635105	0.0010390609115481198	0.0004588027470820622
BPArm[6]	1.0292164628333821e-08	4.783518276148868e-05	0.009261890755733476	6.321679558277987e-05	0.0008840133629849728	3.942773459829851e-05	4.6343932626768944e-05	0.0012388169941741011	0.0022038170874293427	0.00023910787273521806	0.00034300671257935455	0.00013693606522792833	0.00047157490854829123	2.4858492171233593e-05	8.983619194459891e-05	0.0012105815524077411	0.0038290769228231623	0.0008480710757430643	4.8446593618791665e-05	0.0002048381437293756	0.00025782601322864806	0.0009599914913889051	0.0017353042106094563	0.00018553810202035948	0.000531588817316333	0.000272447963712354	0.00012765178369591012	0.0009162985452394423	0.00033039348603210785	0.0005829180433794079
BPArm[7]	5.0314691861785834e-08	7.015213942764831e-06	0.0015103331813588739	2.8929135587532074e-05	0.004174145131455589	9.209350641526725e-05	5.8281248557641164e-05	0.0028682075190590694	0.0009772010826134192	0.0	3.1182359755348444e-05	3.7225446458251096e-05	0.0001773184188641608	0.00017706107326375786	0.00018411786853668842	0.0004794059559935704	0.0007646984308164307	0.000264310706181945	6.02436124927408e-05	5.1902660555072086e-05	0.0011345401842845603	3.1093502585122224e-05	0.0014791427803265832	0.00013611629133947645	6.998619103342208e-05	0.002103570751060033	0.00024889431927476835	0.0015588229104650964	0.00036781624913714947	0.00031159018114266244
BPArm[8]	4.066147657466601e-08	3.268804054101793e-09	0.005038661989900959	0.00016123458204376107	0.0020872165989425182	2.297657907433859e-05	3.3616462405916534e-05	0.00022708670978531132	0.002160982616478577	8.42971204723142e-05	0.00018100329205353205	2.0667168428190054e-07	0.00029569650655052014	2.7589996316237377e-05	6.423882538214798e-05	0.0007068771931517403	0.0026155454474171337	0.0005472401891921663	2.006000664550811e-05	0.0007719347672175303	0.00023790643722350262	0.00028410257109506317	0.0010245948012789087	0.00042397839820721426	8.204801410101937e-05	4.012505130958743e-05	0.0003309289416347383	0.000591449803509363	9.699436639493798e-05	0.00011947534843905317
BPArm[9]	3.409307480994883e-08	8.484275895170867e-09	0.0008578242336042763	0.00010001870319854333	0.0029843318164057566	0.0005020065215921947	2.0042125288455282e-05	0.000739847922232002	0.0013236396221327595	2.6563575556792785e-06	2.7926195915526362e-05	4.030233781122661e-06	9.187554940581321e-05	0.0003148020300359278	8.369401389565936e-05	0.0004747415155851686	0.0006695998469727726	0.00032515278181676876	0.0003088934364495799	8.047603083757036e-05	0.0009926046723285253	0.0002860767513129758	0.0026847512875610847	0.0001814819899118447	7.467559466022067e-05	0.00018079316188959638	0.00010446303369917586	0.0009497086150395262	7.350105479417835e-06	0.00017562701598277996
BPArm[10]	4.896249715002909e-08	1.857870008858953e-07	0.0021045459620654583	0.00041492918347785235	0.0020475930488464654	7.26672210612378e-05	1.533981463580858e-05	0.0001896234894229565	0.002070472762861755	4.878749708879582e-05	8.094903100257511e-05	1.7827067513298545e-06	0.00017780421971110626	0.00020853887358809526	1.2323895431620712e-05	0.0009793183048997988	0.0023994600763359132	0.0005630310284499995	2.5057251332327723e-05	4.567686904920265e-05	0.0005378077172395023	0.0003280203025656192	0.00031638950134492915	4.857629572143196e-05	1.890449355414603e-05	0.0004897790076233832	9.176845331694494e-05	0.00019960235651012682	0.0004403573815102391	0.00010913527135471668
BPArm[>10 & <=20]	3.6450906164553484e-08	0.0	0.0012238470278680324	0.004918769281448476	0.014980592611245812	0.003325033909486592	0.00040703291615121976	2.2908131359145046e-05	0.009650579988374375	4.642317304387689e-05	8.197716567792668e-09	2.7670736421896436e-05	0.000698657363243036	0.000148757240275188	0.0005163844805505136	0.0037268992565701355	0.004018296087601811	0.003871381375917622	1.2590135015670967e-05	0.0002249651595496971	0.0007351086264088735	0.0003663581954651818	0.0010905199718968105	4.945181466155191e-05	1.8216880036222623e-46	0.0017204743142007273	6.792071358358243e-05	0.00013324172359716613	0.00016864787133386017	0.0002599128648807891
BPArm[>20 & <=30]	5.319363867343683e-08	0.0	0.0	0.0036898129555629567	0.0015812984801596031	0.0008470159842045177	0.0017813661155992122	4.097892997378949e-08	0.0014375989996800343	0.0	3.5173472383576155e-08	0.0005177961240769946	0.00028717045121084083	6.530037047923543e-05	0.0010386238398043446	5.58439082908535e-06	6.18976307046637e-05	0.0012133604850017886	9.264707841794007e-06	2.2538994051046755e-06	1.3810408597692004e-05	0.00013493469805865742	9.121667063880068e-05	1.348814703305834e-07	7.467013876748752e-05	0.0009784471363764168	4.203895392974451e-47	1.3592595103950725e-45	0.0	1.9919282640330493e-05
