MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA	SBS80AB	SBS80AC
CN[>4 & <=8]	9.545721709525167e-08	2.043426832255521e-08	4.815891809784034e-09	5.27207305367483e-09	9.92514865775021e-09	4.269217081844801e-05	2.5499529527905908e-08	0.08053648026772862	0.4519107899069786	2.5369013201270718e-09	5.7571253524457685e-08	0.024105427355558005	6.044714069730617e-08	0.0013442226454661733	0.022524236239108344	5.1244344323464475e-09	0.0012477287109758707	0.0033698542495942496	0.00014194410039767595	3.2532209468932015e-07	6.980573688224467e-06	1.3216578933850087e-06	7.94156296990439e-08	5.218903687875809e-07	0.00029910732485021184	1.71029851945558e-06	4.2709430113198714e-08	3.7006918976345557e-07	1.0695040645064023e-06
CN[>8]	1.1535596664113967e-07	4.40508690857655e-09	1.40530618253365e-10	2.5632665767716387e-10	1.157688167552351e-10	2.713998696890485e-09	2.745347993382552e-09	0.0003219015208782205	0.0028015059905808926	1.664898530151504e-09	1.3353612815514283e-08	0.24379516303539275	5.605193857299268e-47	1.401298464324817e-47	0.0012997027276548145	1.6687928742431523e-07	1.6532152358195161e-09	4.3023237594752575e-08	3.9954563673474956e-09	1.0996152201236953e-07	4.314960051488015e-09	1.9470212837546797e-08	4.203895392974451e-47	7.006492321624086e-47	2.999616597407591e-06	2.98579679866573e-08	1.1210387714598537e-46	2.2725812698354276e-09	2.8025969286496343e-46
CNCP[0]	0.061727411125676215	9.353737513755174e-05	1.0431313270942156e-08	1.401298464324817e-47	1.8292185967327956e-09	4.343332458930149e-05	1.6883671349887663e-10	2.7068214182908167e-05	2.8988548450570304e-10	2.93265003392662e-10	2.3015907402168522e-10	0.0	3.723578878123135e-08	2.805347580903117e-09	0.004181965736293574	0.003977387067119693	5.5682557738023775e-08	1.401298464324817e-47	3.5561814115681044e-09	8.891828215951137e-09	1.8805276198463615e-08	6.046732232789509e-07	2.0109142440105644e-09	3.1352274447726816e-08	1.2008403018626268e-08	1.845850533754856e-08	1.401298464324817e-47	0.0015548037758122747	5.0469359109683863e-08
CNCP[1]	1.2768813562047398e-10	0.018822684634942563	0.09702482149936259	0.38041068002581596	0.2756193144247216	8.407790785948902e-47	0.0812449015193772	0.0022297657281160357	0.01632585622370243	0.1373090800968748	0.3693433623760939	7.006492321624086e-47	0.0015077998657154624	0.045201440852461215	0.004092514412477612	0.00199174209497869	0.09376364357769866	2.0038568039844883e-45	1.583467264687043e-45	0.001443704664707184	0.0019358203001320362	2.1019476964872256e-45	0.0019728171825408934	0.003370879843951116	1.2891945871788318e-45	5.006545140355063e-42	1.5019640045577099e-13	0.006373063288689748	0.00035610662350336495
CNCP[2]	2.216119863229782e-08	1.4199412534665613e-09	0.0027153653752611585	0.0001673367895273259	1.1158506428756709e-05	0.3898303159803618	7.294075699100233e-05	0.01712843937002617	0.0520202775594793	2.802596928649634e-47	0.007656506265223886	0.0008447202004160099	8.106412133201956e-07	0.0030592631837814467	0.043216445272660664	0.20204300103946538	0.06803084931920152	0.00042221868412681827	3.403060421913913e-07	2.9751805220388634e-07	0.0003274831175417603	5.850671129792317e-08	1.8740537029771077e-07	3.474101498923687e-08	0.0034695843784209547	1.774357926905168e-05	2.345609103571178e-07	0.0002079173428845671	0.00042696038426695554
CNCP[3]	2.2521784553974912e-08	3.736804199405697e-11	2.637510321164882e-05	1.0148350355621006e-07	0.0011005303019399548	0.006367829539845502	3.939800450893927e-06	0.1392633861338976	0.02579897911985654	1.967406234371083e-08	0.000379880111474904	0.012799302921942441	4.1096823224506804e-08	0.0023819663764076894	0.02435693555305072	9.975235587884158e-05	0.009012547168109961	5.598261731165621e-07	6.500582358626162e-07	4.5151939339712285e-07	0.00017634068339248188	2.7998487666991423e-07	1.7863895915145103e-06	2.2760062113889033e-05	0.01941237720684862	1.736718155245826e-07	9.954622015584392e-10	1.4760050879589065e-05	3.6950257154444443e-07
CNCP[4]	1.408691010063024e-07	1.0321870486329506e-07	5.787426005099405e-10	7.497687448676516e-10	5.012619567423826e-08	0.00014331535317644973	4.969584868064203e-08	0.06808599509298802	0.013934642715427117	0.0	1.1332206781844434e-08	0.030419901357963682	6.502575899958174e-09	0.000899236798286438	0.007709070304598526	0.0001882407775804391	0.0018081158641518869	4.203895392974451e-47	1.3281486888639807e-07	2.588708932762529e-06	7.911052810527508e-07	2.2566262259715585e-07	1.2611686178923353e-46	3.8686227304740584e-07	3.34312196894615e-05	8.299616112594776e-07	8.45593990916882e-06	3.6928544762337977e-07	4.151068512214806e-06
CNCP[>4 & <=8]	1.4285123833168712e-07	7.627209168137306e-08	7.783566973174061e-09	5.605193857299268e-47	2.790689128673309e-09	4.203895392974451e-47	4.733464248118935e-08	0.06873516991734505	6.371626071996725e-05	6.198989837002955e-09	5.129968485562131e-09	0.10516104806214571	5.752677783021909e-09	0.0008877120375529302	0.0016575289734669242	3.783413360380905e-08	0.0020199209770749784	6.015313118723506e-09	5.2448106459997145e-08	4.203895392974451e-47	5.472328830080641e-09	3.44855350320479e-08	1.2508429847457592e-09	2.4252725765450122e-08	8.407790785948902e-47	6.222410540601686e-08	3.104291437239226e-09	8.080671598520439e-10	9.000298206274238e-08
CNCP[>8]	2.1980445266134297e-07	1.9255762374825734e-07	1.324743584074639e-07	2.1054478594351167e-07	4.914165856462205e-09	1.256210246936007e-10	3.6352339041201276e-08	2.41894586139324e-09	0.0	6.959402616324439e-07	3.885965433880756e-09	0.11202962443232536	1.519696684096524e-07	1.5080914295140246e-09	1.1800754762703036e-07	3.2565217731356637e-07	4.731628681042821e-07	0.0	0.0	1.0496246419577915e-07	8.743719064341349e-09	1.8915415012088487e-09	1.401298464324817e-47	2.6661607224198747e-08	3.0467754665265576e-05	1.1346295991643275e-09	4.678413631609146e-08	1.1299595730207556e-08	3.962258219303294e-08
OsCN[0]	0.034087558335448735	0.0005120408919316771	6.247530691325664e-06	0.00865837388888042	0.03129907673448103	0.008780894196607778	0.008687272813017077	0.00917778950695616	0.06783436192474852	0.0007949135988019409	0.0049653158587079325	0.1627863323688507	0.02082215344071785	0.01195646823870354	0.5455549620650708	0.004474415395816322	0.00165230520053001	0.005065528451984031	0.016038687143321823	0.004389527195606252	0.006144157172750889	0.0072083523018917515	0.0021518939477391573	0.026830838124789095	0.004292207043672708	0.011265913115962598	0.0031933492933288276	0.009311868931673682	0.03797691838908562
OsCN[1]	2.4159305667126316e-10	0.015699612670578064	0.052704707523798786	0.011066079936190363	0.019606031955980686	0.037200624715624145	0.0022713004501422507	0.11260981686413288	0.032515666796825826	0.00018474373966455458	0.01238298223586753	0.01524485522115861	0.005434917799784644	0.045643677373553564	0.014349246794540704	0.04782444903627038	0.0728219161182642	0.011474163516871614	0.0011253966158255935	0.024814617526717483	0.014380417692488793	0.016307419204897543	0.0037322786830191104	0.0051665923473581754	0.040952673689462246	0.011091057258709241	0.0042315814473309924	0.00692858433026231	0.004666349669183129
OsCN[2]	4.593914186834524e-09	8.747558575123549e-05	0.0004906579153612256	0.005775031547673279	0.014861357532790862	0.007296048052085098	0.006096730488352477	0.000300090623441065	0.009105578474061375	0.0006580009764047645	0.010132536296205667	0.00421096109203063	0.00016502252711728005	0.0056778620594621935	0.005693718173598086	0.00022401774316676892	0.0024342418694868694	0.0020687635176710726	0.003073734902501428	0.0025833041126318425	0.0010089067094623452	0.0014592401690924817	0.002446068573193756	0.00576696872241655	0.0037173795102080475	0.0023284215864607374	0.007075865187556623	0.0008458926548701129	0.003920534962826423
OsCN[3]	7.3226570052042915e-09	0.00022632766823562633	0.01431707349140197	0.009259482538327575	0.005338643119116569	0.008438508830731734	7.82943167125404e-05	0.0011110119358636438	0.0011743125013846277	0.0004911836391841007	0.012594649767270311	3.964618252211949e-05	0.0004355555137011595	0.00026223929943739675	0.00032427812304378024	0.01110446792638612	0.009024553317576647	0.000470034668541075	0.00019315319048475197	0.0015395475394188907	0.0013050956861329346	0.002245210643532971	0.0004295533164963672	0.001382202196705211	0.0016440973599310383	0.00020982472963623877	0.002013504038719702	0.001338966406075315	0.00021402170867077075
OsCN[4]	3.72713957563775e-08	5.925276314107108e-06	0.00018934936029836537	0.00490161165187601	0.004531946704955772	0.0016576773730072546	0.0005403130895865615	3.189235460013151e-05	0.0006583173980470789	0.0008622696017567932	0.003444815150287468	0.0	3.798263527698964e-08	0.001049206444242858	0.000354062282324854	3.653584380565178e-05	0.0005892207251599757	0.00011903725466481774	0.0005720829026540741	0.0009480244345377451	0.00028995397304640844	0.00018281279100847313	0.0004077476187280558	0.00026393576275363984	0.00036333916636067443	0.00029402530088447066	0.0017377127791053226	0.0007807334130195215	0.0005383929160052503
OsCN[>4 & <=10]	1.3830457921693018e-08	5.091818980872631e-05	0.0027028937070281245	0.014956469040480442	0.004629997618903872	0.0026044192499261954	4.086855653895327e-10	5.366798024624586e-05	3.405509574804455e-05	0.0033094100857928768	0.011462961257202552	0.0	2.4347447030059755e-07	0.0006472786391469754	1.0359867156495285e-06	0.003156028211541866	0.00021687100525014102	1.2041827366715551e-05	2.802596928649634e-47	4.852385852473162e-05	5.735547511765304e-05	1.1210387714598537e-46	4.203895392974451e-47	7.68519043958804e-09	0.0010142443545225841	1.8193448922829703e-05	1.4551696736475606e-10	8.691551371157402e-05	0.0
OsCN[>10]	5.820274985079976e-08	1.5264701502815115e-09	0.0	0.0035772137531964177	0.00017012529650652474	1.3603470145486796e-05	1.9653535687780278e-10	0.0	0.0	0.0017105718618757493	0.0022226217712159268	5.865561369944317e-11	2.8027600542657183e-08	7.550030997535373e-05	3.308154674641628e-09	1.0885894852208367e-09	1.208414754039211e-08	0.0	1.2162906205048784e-06	0.0	3.3006816124725448e-09	3.1781024881638588e-06	5.064234719611704e-06	0.0	9.562725429784535e-05	0.0	0.0	6.01413735055023e-05	0.0
SS[<=2]	7.817641676233222e-08	2.13381787118383e-06	0.0	6.391803639530735e-05	0.0	0.0002046272849588604	8.766749899677962e-06	0.0005909801879897714	0.001936312757025007	8.812648502498632e-07	0.0020601359506724746	0.0014292975536079667	5.726126232730167e-08	8.822544418762845e-07	0.0004537149177926381	1.2116194188251939e-05	0.006557789747603238	5.429614662602944e-05	1.1291754202602532e-05	5.132298242834565e-05	2.1188560922382748e-05	0.00048453422799894953	4.344025239406933e-46	0.00025012389453645814	1.401298464324817e-47	5.5592991416233417e-05	0.00018990503807003734	0.00027637954802230526	0.000546181159602952
