Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N
07d20658-3db4-47e7-877b-66536266edfc	214	40	0	119	126	0	136	30	0	24	12	0	18	7
07e0e938-f61f-477a-92a2-5b7e74b78943	159	0	0	187	140	77	36	68	0	33	9	61	0	12
07f16397-71bb-4594-ad4d-caa7d2baeabd	280	35	0	141	20	13	187	76	0	0	0	0	0	0
080ecc31-756a-4a1b-a51e-d632ac8219f7	189	159	466	96	114	69	38	211	58	0	84	0	0	0
08227616-02a5-46e8-9db1-f2d1d691ab23	18	176	260	127	283	13	0	86	95	38	57	28	25	11
0831e45e-c623-11e3-bf01-24c6515278c0	165	37	6	132	176	86	47	0	0	29	8	14	0	30
089be98d-c3c9-4fb4-aef2-7a8578a91d51	230	79	6	130	95	19	166	9	0	7	0	0	0	0
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	229	74	8	139	95	92	191	0	8	0	0	0	0	0
08b5d0e4-4661-460e-a9f7-f2e687414711	311	0	72	0	84	0	0	0	0	147	0	65	0	22
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	446	0	0	1	0	2	10	0	4	14	0	0	0	0
08e1d976-6c39-428e-a4c2-f655b675683e	405	0	0	52	0	5	12	0	1	29	4	0	0	0
08f7812b-0d74-42ba-985b-d0a027e8a80c	431	0	0	25	0	0	16	0	2	6	0	0	0	0
09497b9b-6fca-48cb-af97-161a3e434a51	0	300	1910	18	59	303	0	509	1248	300	153	0	259	64
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	757	3387	0	0	272	0	228	335	1102	0	0	39	85
09537dce-c797-4b60-962a-d4c3cd6ab00a	434	0	0	0	9	0	17	0	3	5	3	4	0	0
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	172	128	305	37	188	201	34	150	82	33	0	27	38	26
097a7d36-905b-72be-e050-11ac0d482c9a	300	39	0	28	109	0	113	0	0	6	0	0	0	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	360	0	0	56	49	12	26	11	0	2	0	4	0	3
09bc8542-4ea1-4599-91b3-d606425b37e2	103	271	374	10	192	301	100	67	97	67	107	0	14	137
09cb8bc5-13ac-44ac-9b7d-6de143373570	200	0	171	106	154	46	12	65	29	9	46	51	4	40
