MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O
BPArm[7]	3.132967560492972e-08	0.0014030802111665254	0.004036866789974738	0.0001593886311491133	0.00013255384095373302	0.0009660155815072358	4.3661041006628487e-05	4.8178492086985436e-05	0.0004132612389366841	0.0005640607625309712	0.0006287328228056266	4.020458551363015e-05	0.0007449326430469228	0.0008871991841596128	0.0001474895474240157
BPArm[8]	1.1755239937016882e-08	0.00349170969100669	0.0022508111958450174	0.00020364361424981325	0.00015215682704312173	3.8781174358746286e-05	0.00041675450514617297	8.129422894853633e-07	0.0018281083357351235	0.0021557331388942203	0.0003231105926199973	9.46387734435028e-05	0.00012949486954315543	0.00013881325840189195	0.00042636298417193075
BPArm[9]	2.0381977496874982e-08	0.00054530285866349	0.0026893583533819767	0.00029292503533270066	0.00016958664710728044	0.0001506480124544396	0.00014009057654425838	3.709631544666081e-06	0.0007658021874522091	0.0009561079798731953	0.0006112926156358617	0.00011576278320122313	0.00042607812975244743	0.0005230156595177959	0.00013017776977847006
BPArm[10]	2.027495616174768e-08	0.0014028898114338518	0.0019633152498863635	0.000447002641922154	5.108297942314266e-05	1.0156233611269273e-06	0.00030546463098847455	0.0	0.0012707972296630032	0.0021997737252968364	0.0002111791139674324	5.633997468976304e-05	0.0001999633646982106	0.00027044434328146847	9.526745234722967e-05
BPArm[>10 & <=20]	4.533471513745724e-09	0.00030900961603038014	0.010221859165467322	0.00454059631054406	0.0011196379772957243	0.0	0.0012577336165691122	0.00010161827154661296	0.004627540795190725	0.006506483549601399	0.0014603662817996267	0.0007815200042750802	0.0005912692411460796	0.001354172251011505	0.0005347458214487233
BPArm[>20 & <=30]	3.6967766652296065e-08	2.5680975626301005e-05	0.0011509881098754704	0.002749442852800712	0.0012267539075543254	0.0	0.00010522891733697914	0.0007124737734739028	0.0004584586286379988	0.0005111544989631512	0.0005577722466921386	0.0003573584341847891	0.00023950604335723824	0.0004989489990305174	0.00026073095941228533
BPArm[>30]	6.565642843625596e-08	0.0	6.862609880045057e-06	0.0027230823115678504	0.00057388348780961	0.0	1.3340921173332632e-05	0.002755496959434822	4.258028127374303e-05	4.222956122248434e-06	0.00028239659289390316	0.0013782255083219753	0.0002364593869140208	0.00013693305183551274	0.0001542506803878041
CN[0]	7.349487454710868e-06	0.0008486868155961247	9.184018825180828e-05	0.0	0.0	1.881724399055429e-07	0.003859314304868349	7.254027005743069e-09	0.07443363112847978	0.009350308887846923	0.003255645616961793	0.0008270449936389924	1.9965308695191197e-09	0.0	0.0
CN[1]	0.002417857724644463	0.0009078794199827777	0.0021263924732706817	0.00024379572365432978	0.0	0.00040895079144661397	0.24811395823955537	0.0	0.027253868344469082	0.025818383633159102	0.007104477118156676	0.0022496381402015687	4.9153933650814e-05	0.0002093662011975539	0.0015972815904812788
CN[2]	0.030031758258059503	0.05284341490057736	0.01712220989413766	0.07006702184677124	9.460657565796282e-08	0.0007660179744118522	0.18784594401717186	0.0025601333064082608	0.10825141782496427	0.011489333011402647	0.2684528577560559	0.017349243115654524	0.001853141712981598	0.0006681437635927527	0.00018628844642080367
CN[3]	1.597403389186347e-06	0.004250842132605613	0.06912984346970916	0.12509361787466333	0.0004622576665133238	0.035463563599780625	0.0	0.001617026785388589	0.0009821017039939762	0.03992548596812412	0.03661898480656326	0.04529484941727219	0.05518617850848038	0.0630447874654783	0.05561099251691351
CN[4]	8.979201715497708e-11	0.002762124733334499	0.006860466268472009	0.011549664366564657	0.1308301607891917	0.0038972593247763145	0.0	0.0017943421499830043	0.0216512008448867	0.014205344833575996	0.04038557406154723	0.026781789653138047	0.06899733513383126	0.07751831646141	0.043814340527673384
CN[>4 & <=8]	9.82850095754273e-09	1.401298464324817e-47	2.060322626107336e-07	6.604648078445407e-13	0.21118609949946404	6.168162514086362e-10	0.0	0.06430077102733776	0.00258684015532765	0.05620965452367983	0.00816464553200916	0.006007239226737724	0.004522607220928592	0.008920504064586778	0.002835675205973649
CN[>8]	1.2470616221449403e-07	4.8849723848221095e-08	2.13043215957498e-09	4.728524256591981e-09	0.0008669174339006913	4.669004631807638e-09	1.809763210403048e-09	0.17441489458084106	1.4575270022021414e-08	0.00011944662446603305	0.00021674138595898285	5.541417933351056e-05	0.00024250123748046804	0.00010312648513675526	0.00018225267660306631
CNCP[0]	0.044907844811677936	6.696032674717856e-06	2.6582173973110914e-09	0.0	0.0	4.388092854412662e-08	2.802596928649634e-47	0.0	0.0003409405615535377	0.00027366874854777733	3.826045228322528e-05	6.63527986034751e-06	1.2251231362725435e-10	1.361993469117806e-09	2.842081769927063e-10
CNCP[1]	0.0	0.06606663709506393	0.16820505797863006	0.29434155076742174	0.01755126491793746	0.03209152865561471	0.2558276163041592	1.401298464324817e-47	0.0005936085060238838	0.009330278160151194	0.047531424332410095	0.18844640493392945	0.06069953367928974	0.05986268677882428	0.058477972696128866
CNCP[2]	2.7356626147723163e-09	0.0008023000551614245	0.0007492875503383267	0.00012205854012399406	0.13349193662650294	6.5934081298840445e-06	0.0	0.004590192084242002	0.27883808813989164	0.01611320371273905	0.028790697384430262	0.025287642386858877	0.03835912438377024	0.026912793045191563	0.02841606586375809
CNCP[3]	1.262270265867116e-08	8.804369855397453e-09	0.0049230090271430525	0.00011174620827659965	0.02809298937185531	2.3829049187185093e-08	1.5385234064524413e-08	0.029766922099515796	0.006472908445448962	0.08249104362912477	0.005181590190835337	0.0007075812321115649	0.002563203780100025	0.0035199207999514217	0.0017126998752065958
CNCP[4]	1.0157539247046543e-07	4.3131408666852166e-10	0.0001186952633791094	0.0	0.01150863156512969	7.537364567156146e-08	2.1450009057844e-09	0.03302184099331498	0.0019940411650107136	0.03960870540482162	0.0016414192793066374	0.0001700753600925964	0.0010224787900796365	0.0012415050693817876	0.000517037178945543
CNCP[>4 & <=8]	1.0409995176097197e-07	8.777770501566806e-09	6.734929582101756e-06	1.3699117573651165e-09	0.00044268285710314715	3.227908458747208e-08	0.0	0.0876524306833744	0.0010696865334524563	0.0435231052339077	0.0004191079247310725	1.3013788105808998e-07	0.0003729353476511221	0.00039875490907963495	0.0001957748993557118
CNCP[>8]	1.9096462509082812e-07	2.798210921994837e-07	8.510955828988642e-10	7.036362963327793e-10	0.0	5.539401113363596e-08	1.0101480848456746e-07	0.07943374522030354	4.309565686533291e-09	1.9587514103136527e-07	1.4924483531686406e-07	1.906332875826422e-05	2.5361449402794278e-08	9.397708566893925e-09	1.1398548451779789e-08
