MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V
BPArm[>20 & <=30]	3.962798370338305e-08	0.0	0.0016465180733939632	0.002942832844564691	2.045334124289866e-11	0.0016094112628900349	0.0005934170592113254	0.0004890097061888809	6.4398583480596015e-06	0.0009336094556783792	0.00015926473018240017	7.557197716877795e-05	0.00026820615557312524	2.7823925748293732e-05	0.0004742380206542407	0.0006322329310755792	2.5984304309076832e-05	0.00012291047929124943	1.3788988163128124e-05	0.0001756992356547471	0.00018262674438744851	0.0004712118490664352
BPArm[>30]	6.384679101745228e-08	0.0	4.2903580470010635e-06	0.0033058312971843405	1.6321783036232773e-10	0.0011479583291333383	0.0029399917833507062	5.308178910837569e-05	6.503091009655293e-06	1.1089475046901498e-05	0.0	3.9035595250428336e-05	0.0010109060759839394	2.6425067289892468e-08	4.605100875039625e-05	0.00012566311467821834	1.1259439816058148e-08	1.3676225187211344e-05	2.59586479387508e-06	0.00015280037178399652	9.919333231039217e-05	1.82753349935183e-05
CN[0]	9.48382571346329e-07	2.9493856636975125e-08	4.180869042080815e-09	4.4970921209142034e-10	7.396938098480632e-08	3.8572603957498144e-41	2.0317068001318716e-08	0.07746553312673476	0.004477941498720241	0.009619764975200838	1.401298464324817e-47	0.004159168583342918	0.0007335737912632112	0.003303137662876523	0.001188890274920858	2.5260426355089294e-08	0.0034362505209259986	0.005359388708499217	1.1984598913272749e-08	3.196649693393283e-08	0.02337813022141674	0.006952037421846527
CN[1]	0.0007376985022342472	2.1215463057160378e-05	0.001166559502889868	0.00045993263192940504	0.00017062442222307795	2.4271187157864915e-08	0.0	0.02190112246833735	0.39503001287579537	0.017703435980196504	1.2611686178923353e-46	0.0071641197435627964	0.004143401798968926	0.0028366313034285896	0.0005952045321464539	0.00013695849453313258	0.0012079366832485254	0.0006533668504562229	0.0007900479929521609	0.0007652121318665224	0.005387360850461959	0.005158528600366245
CN[2]	0.008237326994973931	0.01967035964349599	0.0071187746514419	0.05185144331662741	1.2571343653383301e-05	0.0002198718018469179	0.00047515555517748	0.03934470142794216	0.22254064977169036	0.0057723580450711395	0.0022462002833895877	0.7405081785470248	0.012455213301767621	0.0008967141050402461	0.004297514571272988	0.006396255832108288	0.0010761634610461095	0.001913307370478639	1.4425229772192087e-05	0.005049815697108408	0.019784708097003736	0.005484704541466774
CN[3]	7.568148541081676e-08	0.0066409439593553546	0.024783504658413166	0.10461185344970417	0.0054367941647797124	0.00015263273380696773	0.0015179828683455554	0.00039491765201091764	0.0	0.029650149007002122	0.23578878627501254	0.0042324525143105874	0.01268236454246562	0.06775317304792225	0.03662665229960129	0.04147378014906735	0.07314248912320181	0.09304360545087548	0.08264107166887584	0.039420591021558316	0.03948347890360083	0.04130685809814807
CN[4]	5.10254910435215e-09	5.3462381401914174e-08	0.0007065254591844905	0.004826489783392539	2.0017898805235746e-09	0.12570802111178636	0.0024745298926098316	0.04312867716377149	0.0	0.008564271800963112	0.27193460495693217	0.0007297566295908097	0.0012307415055929027	0.012041647170654543	0.01461027337713218	0.018676181747409544	0.004730190590409791	0.019498052617851033	0.020073404157727168	0.03855699212383343	0.018452570382406178	0.018865058650981533
CN[>4 & <=8]	3.511920164456228e-08	6.8124067809094414e-09	1.951395431376568e-07	7.74904947320465e-09	2.9866288997482117e-10	0.292671864926815	0.0475561185405968	4.4539191094372656e-07	0.0	0.06777602152800911	0.02165251602492763	3.4192208886452135e-09	0.0019307232097514771	4.5071121526518707e-07	0.0061439749621349194	0.0018808991638804783	3.4988277491268204e-06	0.009887914174705265	2.9722408381118735e-05	7.82951306916857e-07	0.0022370592693661704	3.7830451493689377e-06
CN[>8]	1.1709027192718934e-07	7.59913357128994e-09	5.5828901546206565e-09	4.1352475221856365e-10	1.1189669280042835e-08	0.0024944100753486963	0.20519866272807122	2.2681393545553873e-08	1.8984101624042184e-09	0.0002475748375655229	9.13020107873308e-08	9.661964206486573e-10	2.026095133572485e-06	1.7633526557907964e-08	1.842472473171597e-05	2.846853046776232e-05	5.1242947662899496e-11	1.5308711638084787e-06	1.980206754126357e-09	4.859824986624786e-08	9.902503446824085e-05	3.330405736079456e-08
CNCP[0]	0.049613378532230856	3.574805198525155e-09	0.0	0.0	0.0006629079284012107	0.0	0.0	0.0004887800379277962	2.804684697821358e-09	0.00028625085043934464	0.0	4.539970774203539e-05	1.3698846430543199e-08	3.178162034600973e-05	2.7467771433293818e-05	0.0	8.920368738472461e-05	4.619553981886071e-05	0.0	0.0	0.00030284673208370806	1.5874544080674012e-05
