Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I
1021b60d-f7b2-43b0-b2cc-f282d619d533	0	97	244	627	874	790	113	0	179
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	21	295	17	183	318	205	125	9	124
108749d2-5c62-4ef1-92df-aec6941ba53b	375	93	0	0	49	0	9	0	0
108b67d4-5d66-46da-8675-6acae643b76f	288	133	0	0	118	17	93	2	0
10ad692b-4c3d-42de-9b5e-4968441388b3	313	128	4	7	80	12	41	0	0
10bb1a92-901e-4a14-80f4-5e88f997754b	277	181	68	86	39	90	0	0	0
10cb8ac6-c622-11e3-bf01-24c6515278c0	167	298	104	34	11	62	56	0	0
10d15b7a-16d1-4953-aaef-f193ffa97f42	240	220	137	16	0	85	0	0	48
10db2142-c623-11e3-bf01-24c6515278c0	322	138	76	38	0	25	0	8	15
110b5f05-ded7-45ec-b0f6-a941c92d77dd	0	0	1138	985	617	411	81	509	677
1127b561-ea40-4d5e-95df-daa0a5ebc1e4	400	43	0	1	24	16	27	0	0
11473a98-d953-45f9-abf5-709b68a4bae8	293	176	7	4	47	0	0	4	0
1157a548-6770-4c89-a84c-bcf6f0e96ea8	377	63	5	4	28	6	26	0	0
1168944c-5451-4a18-8758-88bf5723bdd9	111	367	0	45	152	0	26	0	0
1193a9c4-5aab-4cd7-a690-60c96bd1172d	420	23	2	8	9	2	20	0	0
11ae45fb-05f6-425a-9295-d50d13407006	449	0	0	0	2	0	0	4	0
120f01d1-8884-4aca-a1cb-36b207b2aa3a	44	204	108	3	843	494	322	11	0
122bf0a9-8052-49da-a9d7-0e5de9ab7032	398	56	0	0	38	1	14	0	0
123c9d1c-72ba-4d82-8e57-d5caa52a40ba	124	310	118	73	34	59	85	7	26
124d5b04-4588-44c3-9c00-61e064cf1bdb	145	276	85	57	127	37	59	83	33
126ee433-d345-4cac-882a-c91831a24690	95	221	23	0	286	39	305	0	0
127b0f7d-d24e-48b7-ac25-d3f14a43952d	0	336	0	214	266	238	170	0	0
12874085-a596-41ae-b4cd-817cb1ebb278	0	356	562	111	90	484	0	20	175
1292e13b-d7c6-447b-a227-9a8113215580	0	346	274	466	65	261	66	0	0
129459c1-38be-45da-bb87-18848c97c544	179	226	23	154	303	15	8	7	11
1295947c-c623-11e3-bf01-24c6515278c0	405	48	4	5	22	0	20	2	0
129d2c6c-6688-4b29-bfa7-8df3fe77b25a	446	0	0	6	4	1	4	0	0
129de5b2-d9b0-4762-9ef8-72d98231fb50	48	350	6	52	265	127	66	19	115
12ae2ba1-9484-47fe-8a3f-bba94a6abe0c	441	10	0	12	0	3	0	1	6
12d7121a-0345-4808-a819-09d6e3227bd5	407	48	46	0	0	0	0	0	0
12f038e1-00af-4c64-a2e0-9e63323492ef	143	206	361	159	135	189	153	120	27
12f1ae2f-2666-45be-9742-f502d212373d	246	185	0	7	64	37	83	0	0
131332b2-ff51-4bd7-a626-aff2ecea6135	320	125	0	12	146	0	10	0	0
1327bbd4-a466-4e26-905f-cf91315f1cc8	198	272	177	76	0	143	0	0	0
132f7f2a-b902-4343-aa08-cf6a7af10b9a	434	29	3	1	22	0	0	6	0
13446fc4-9fa6-4bb3-a00a-b9265b41eb12	451	0	1	1	1	0	2	4	0
134c9a92-e91e-4347-a9c4-727279edebb1	92	302	0	114	198	120	134	32	0
1358ff92-4db9-4e42-b63a-984a7bea425a	442	0	0	6	7	5	9	0	0
13642cf8-9840-4a7d-a26a-95f65b2c70c3	449	0	2	4	11	12	15	0	0
13bd2b30-c623-11e3-bf01-24c6515278c0	263	133	78	7	142	37	30	43	110
13c312ec-0add-4758-ab8d-c193e2e08c6d	321	149	42	1	0	6	0	0	0
13c62975-9f5e-4d40-a461-dceab08a31ec	219	230	26	41	106	39	0	0	25
13c7065e-6780-4571-978e-a7c13078ff50	401	66	1	0	21	0	0	4	0
13d05f7a-e16a-40ef-9a15-21257da2cf89	386	5	9	0	16	0	82	0	113
140d5fa9-afbe-444e-a7e7-6a4cb4ab2923	291	169	39	0	74	0	28	0	0
140d6ef7-0217-4d16-9add-215d0d14ba06	384	61	4	19	22	3	0	4	0
141918cd-3e23-45bc-96e1-b208c80f69e7	430	22	1	10	32	43	5	5	0
142b6dbf-c943-4a7d-8ab6-13a975f48d7a	190	279	40	16	137	0	24	9	31
14334aea-2dae-428c-9d4a-1a37878dfc3f	243	179	46	67	62	108	42	2	41
1447c8cb-25d4-4092-8919-4df08f898d2d	393	69	0	9	43	12	0	0	8
145f2b89-8878-4390-b0f6-f09b02fb138a	179	276	53	80	138	45	19	0	5
145f6dbb-9744-44f7-8485-e440689de3fd	314	152	1	0	129	18	4	0	0
14630c19-9ee0-4ab3-9d8b-8c3309d1e7d0	66	398	355	113	55	294	4	93	0
147e3496-514e-4da7-be42-7cd9be78ed04	452	0	0	0	8	5	18	57	0
148536ce-ee2a-4952-a19d-10d6f44146b9	392	69	34	0	0	19	0	0	0
1494bb16-f1f0-42a4-b10e-c383574cbc8b	423	23	7	0	24	10	0	4	0
14b8bbf2-310b-459b-b52d-a7ef510ce1cf	85	326	59	161	67	102	0	0	128
14bf9bfb-14d6-4cac-a556-828f680e8a15	129	248	188	355	84	189	0	0	39
14c5b81d-da49-4db1-9834-77711c2b1d38	76	266	0	61	188	286	211	0	0
14cbcbb1-028b-471a-bb4f-8b29cfa5e4eb	438	12	0	0	20	2	14	0	0
14dd86c1-dfb3-4124-a453-4d64223bc048	435	28	0	0	13	0	1	5	0
14ed7388-41ed-43d4-afb2-04cd6410d5d2	49	316	270	310	154	439	0	186	0
14f41457-25c3-4979-8515-4f33322039a5	447	3	14	0	8	0	5	0	0
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	18	351	287	161	28	189	207	143	0
154f80bd-984c-4792-bb89-20c4da0c08e0	430	10	0	0	14	2	11	0	0
15563a10-47a8-401d-a507-2c7101f7ae60	378	54	0	28	23	4	13	0	0
1558629a-770a-4dcb-b0bf-9a8bcea9d80b	261	195	0	14	201	0	20	0	0
155873b2-e5de-405f-87f6-6de0d238b160	411	47	0	9	35	11	6	0	0
15678c3d-ce61-454d-849e-1d4ca358909b	325	119	33	21	52	9	30	0	0
15895218-c623-11e3-bf01-24c6515278c0	223	245	86	28	5	84	14	0	0
15a93657-0521-430a-a816-bf0842374b75	427	24	0	2	12	0	1	2	0
15abb2a3-10a2-4e04-8eb9-6eadbd976af0	446	0	0	0	8	1	5	1	0
15d597de-d26c-4ce1-b0cb-077e39b55f30	0	343	458	122	0	178	252	0	0
15daadb0-6b24-4248-9225-470dc08f1552	334	143	9	8	47	10	0	1	0
15dd024e-c0da-461a-84db-d01e60a22210	448	0	0	4	4	2	4	0	0
15e097e3-e468-466c-8e57-b59fba90bbf2	436	6	3	5	42	5	1	0	0
15e7d981-8c27-4b2b-b4f8-626e22021895	97	14	451	507	575	1022	0	0	524
15f90ef0-831b-40a3-98bd-ec226a9e8b26	140	261	42	129	214	87	67	3	0
15fd8dc8-c622-11e3-bf01-24c6515278c0	361	96	15	0	77	11	0	7	17
1659bae5-3140-4d05-891c-81b48277b2fc	33	224	594	288	130	453	0	95	400
16c6f975-48fd-4cda-946a-777cb922949d	325	109	0	14	216	31	9	0	0
16d33e09-2e21-4da2-8e57-e78ce28c4408	39	269	470	382	274	178	10	2	196
16d5519e-ecb9-4fc8-81f1-e0e4adf722a8	58	364	172	145	53	61	0	41	146
16df7888-2480-4394-8856-d57a6ef371d2	39	404	261	72	30	323	0	219	63
170ad241-9e24-469b-b7ca-3fd783a89b21	11	340	304	212	132	155	54	0	209
1727e88b-df0a-4af2-9191-8c6061d98ad0	185	291	138	58	7	33	0	13	0
172c9864-c26d-4e9b-947a-e8ce761e996d	240	216	115	12	0	103	49	88	28
1776f326-b12f-4355-8107-80fa6fcd2159	307	157	14	17	122	0	2	2	0
178d0486-cb0d-4979-8bdf-bb3fe99149bd	443	0	5	0	7	0	8	1	0
17a66d24-de77-4f2a-a8ad-d2c6a69e7671	445	0	0	0	6	2	7	1	0
17de5b12-c623-11e3-bf01-24c6515278c0	222	148	95	126	202	94	89	8	81
17ed8831-a261-42d9-8ff3-cf75a6cb2a24	102	215	271	409	173	221	0	173	105
183b04f5-107f-496c-8e9a-8263dd00cffa	113	312	91	113	128	118	39	0	38
186cacaf-4f20-4ad2-a07a-a7dc942a70b0	321	127	0	11	132	0	9	0	0
18ec066e-8510-4921-9e35-45d85fb01e38	357	0	77	0	67	225	109	616	0
