MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q
BPArm[3]	1.8609775647160376e-08	0.001963540387732792	0.00012891747018102252	0.001464297229426279	4.4886956374057264e-11	0.012164831161499023	8.661808057532916e-06	1.0107010452529152e-05	0.0004457039022625686	0.00035472117931931277	0.0004999371451872747	0.0006447568030690043	0.0007583826786460634	6.128650212371412e-05	0.00019483726942240765	0.0001381192769866857	0.00011419916324001633
BPArm[4]	5.987097946025255e-09	0.01565192042617127	0.0	0.00043411740596273064	3.765877045225352e-07	0.0036225973241744212	5.1182900713347134e-05	0.0003103832777866611	0.0021300517165946074	0.0016712755569030335	0.00011918873875401914	0.0002420272360814124	0.0009951049648261523	5.53430514264619e-05	0.00019595317833591254	0.00029943196942625147	0.00017367143186220347
BPArm[5]	2.4396866415976604e-08	0.002062812572112307	0.00011017903837989729	0.003229813234858341	1.7289008974330499e-06	0.003778815275290981	6.2208299191564e-05	2.7168709969345173e-05	0.0007219465367067638	0.0004296141813057375	0.0003872613958083093	0.00061337615907604	0.0007440587888956611	9.249350809131584e-05	0.0003786972763693089	0.0005563336370724415	0.0005756417546545205
BPArm[6]	2.9441524307394216e-09	0.0072755436366423966	5.014595477405237e-05	0.0015208723659449008	8.196441035011049e-05	0.0002891497111286498	0.0002616401414634595	6.954641057859589e-05	0.0024688848899313597	0.003101972654523628	0.00021412393274658826	0.000552398940777472	0.0009483949601556318	0.0002836102445303368	0.0001606295434244832	0.0006252829327951303	0.0004820433019367489
BPArm[7]	2.5635878060370486e-08	0.0011983591256648652	0.0001332829702005256	0.003524553010138334	8.524769073574134e-05	0.0011413902428466826	3.3522630680169475e-05	3.4233067437319335e-05	0.0004465686722232931	0.0006630884385249303	0.00024554111599447206	0.0005484189017747365	0.00071746200338481	0.000246998427746945	0.0001397532922386841	0.0015842928864472582	0.0006689452366768023
BPArm[8]	9.667098122556616e-09	0.0032302995468489826	0.00016621657144128221	0.002395171470125206	0.00011163165002049208	2.265739196445793e-05	0.0004213560968495145	1.6764516983422624e-06	0.0018688512502814702	0.0021464279998326674	0.00018239558305140234	0.000326066051941849	0.0005068946819324082	0.0001773340818908764	0.00043199760732616	0.0003444582934139362	0.00022092926061510808
BPArm[9]	1.7325098748965927e-08	0.0004026592069953949	0.000203704924543473	0.00261844611086417	0.00011716616781086486	0.00019263928188593127	9.996222360181626e-05	4.236165677866666e-06	0.0008008662486099638	0.001102356757477132	0.0002365030673896351	0.0005783941922442181	0.00039150628407536915	0.00033222902662600974	0.00017933324207660916	0.0006302272556331446	0.0006069429184890396
BPArm[10]	1.804028343155295e-08	0.0012635680346284061	0.0004154400662092783	0.0021247490239329637	2.8325256512569246e-05	3.1223977566696705e-06	0.000228723122785226	4.74083935841918e-07	0.0012171853016980094	0.002194468941469836	0.0001612512267482629	0.00030316516576675665	0.0004537175030140439	9.896762378048152e-05	8.005004710925238e-05	0.000550280574534554	0.00015964300057305598
BPArm[>10 & <=20]	8.711108682724068e-09	6.900606211274863e-05	0.004148530759028119	0.013152698716148735	0.0010083355938009643	0.0	0.0008056976362818879	7.819431714043645e-05	0.004621100523509085	0.006589080456178635	0.0013587406323529194	0.0005718265811356104	0.0011266283673572288	0.000333113142361583	0.0005108635006700269	0.0020779408175248234	0.0005848757667376958
BPArm[>20 & <=30]	3.929069530173024e-08	0.0	0.0027604878740385176	0.0016404942708322778	0.0015581691496942085	0.0	6.604491000025803e-05	0.0006569860942181549	0.0004361801823142741	0.0006267404457059911	0.00039657559405753773	4.400257770050986e-05	0.0002581063108117121	0.00015253748292707315	0.00014625785008945513	0.0005414401399377767	0.0001521931688000677
