Samples	SBS80A	SBS80B	SBS80C
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	78	389	362
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	859	1292	56
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	165	9	408
0d31a44f-1fc5-43a2-9633-36c4e650d3d2	84	48	427
0d569bd5-418d-4d72-87ca-8e14668c2119	131	0	406
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	234	0	381
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	145	208	390
0dd39eca-c623-11e3-bf01-24c6515278c0	175	0	385
0e1e628b-823a-4861-aa95-bed2fada7349	0	11	464
0e54cea2-d568-4a33-b9db-b698844e6ad9	255	220	365
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	132	746	340
0e6ca8dc-0f31-4675-95b1-5920576daeff	123	80	409
0e7ac212-0469-4f17-9432-205ab1831257	58	84	421
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	129	0	404
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	167	575	327
0ead45d8-d785-4404-8319-2ef951e02e03	606	2045	78
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	1045	359	200
0ed63d84-d3fe-4289-9255-35f4a03b703b	5	18	459
0eeafcd6-c623-11e3-bf01-24c6515278c0	212	6	395
0ef92ff8-829f-425a-91d8-c594b6e22a2b	309	516	321
0efb6e20-236d-4640-9373-6fc03e67d090	0	5	451
0efee3f3-313b-44eb-b3b0-af975a1ded82	212	116	401
0f53e757-1823-409f-a0ea-249270728e15	167	442	363
0f6b355e-3898-4be6-be97-da0c3840a4ed	121	262	386
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	167	583	344
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	134	0	423
0fbd94b1-bb34-4620-841b-861a0b5e0c12	215	418	352
0fc63b79-7fff-441d-88fc-922d53c787ab	0	785	371
10136472-c623-11e3-bf01-24c6515278c0	0	12	462
1021b60d-f7b2-43b0-b2cc-f282d619d533	2302	622	0
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	1022	99	176
108749d2-5c62-4ef1-92df-aec6941ba53b	89	0	437
108b67d4-5d66-46da-8675-6acae643b76f	261	0	390
10ad692b-4c3d-42de-9b5e-4968441388b3	182	0	403
10bb1a92-901e-4a14-80f4-5e88f997754b	245	123	373
10cb8ac6-c622-11e3-bf01-24c6515278c0	185	174	373
10d15b7a-16d1-4953-aaef-f193ffa97f42	112	252	382
10db2142-c623-11e3-bf01-24c6515278c0	27	177	418
110b5f05-ded7-45ec-b0f6-a941c92d77dd	1421	2997	0
