MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J
CN[>8]	1.2675400832051764e-07	7.983038847748898e-08	2.2120091476445225e-05	5.5069162376639726e-05	1.196970522698848e-10	9.34076983283294e-08	2.4348643312439536e-09	0.14470746085047723	1.7085293532032946e-05	0.00035728575302309553
CNCP[0]	0.04328623212873936	0.0	9.889992709233297e-09	1.401298464324817e-47	0.0	0.0	0.000428804074477398	0.0	5.948238914655235e-05	2.9989347360981354e-09
CNCP[1]	0.0	0.04284324997104704	0.174668983258307	0.0011878625713912785	0.24207209318876266	0.27422052577137945	0.0008158913914702248	7.006492321624086e-47	0.05714957112510561	0.11274508311413228
CNCP[2]	7.439963953803641e-09	0.0012471355061531395	0.00040012476849925183	0.142846576012671	0.004805921835185245	0.0026472712340755377	0.12905819453299044	0.012120050941593945	0.021817043816240583	0.04289056191093436
CNCP[3]	8.180579409468313e-09	0.0	0.0033433298894834707	0.02981649000197649	2.3858509905494428e-08	2.802596928649634e-47	0.019892484851480957	0.030249793194234372	0.041604991839640205	0.003884908967889018
CNCP[4]	8.466380697846887e-08	5.970560144806119e-09	0.0003089680597986444	0.010576733211055398	0.0	0.0	0.008326251331789934	0.03248077314347029	0.019426017130743958	0.0018006348735203064
CNCP[>4 & <=8]	8.066775810000592e-08	2.6647540174451477e-09	0.0003213102644052271	9.513229808415069e-05	0.0	0.0	0.008089812934912172	0.07953499119728803	0.02019740540855004	0.0015737794872701728
CNCP[>8]	3.287347735181356e-07	1.1363503905847949e-07	0.0	0.0	1.2820239878585937e-07	7.524104397305109e-09	4.890476208330163e-08	0.06503659579902887	4.354819559753006e-06	3.462703134005096e-08
OsCN[0]	0.045715909590944646	0.0003327025379987175	0.04434553306084126	0.08280615374445915	0.009873164891032502	0.004327803126734062	0.005455406382679939	0.16633352592587472	0.009915376087010373	0.06286502883478534
OsCN[1]	0.0005482832010238781	0.01920963468262926	0.02997214094735682	0.028477044496685266	0.0024038584033714582	0.01862783099990338	0.06921786209568381	0.02630889253690839	0.06259718807414175	0.020788027907256038
OsCN[2]	1.4412752169512544e-09	0.003100373165216297	0.009399757354985923	0.00797872652998194	0.004116852764273062	0.005919041740708053	0.0003207323946017482	0.004603152165655047	0.002055172994732857	0.0065743141968957275
OsCN[3]	1.3223973027720605e-10	0.0007871973889996297	0.0036523884258349427	0.003348954530956689	0.00619027136825025	0.00906594640109688	0.010410771360150405	3.082850373175461e-05	0.005215214774277008	0.0038245316516261974
OsCN[4]	2.7821672521355367e-08	0.0001396478517426658	0.0022952242649625985	0.0011040704402694246	0.002641972447745502	0.0034286723530385643	4.258219501934946e-05	1.401298464324817e-47	0.0004036772825929802	0.0015422574918343911
OsCN[>4 & <=10]	1.69427791218979e-08	6.81732740858095e-21	0.0016545822362968466	0.00026982269703551597	0.008367419908754527	0.010772509989328683	0.0013570227700765258	0.0	0.0010221027236548253	0.0021417689032032163
OsCN[>10]	5.087189320462926e-08	4.654115326463426e-10	7.3307528014598946e-09	1.6837021332705148e-09	0.0021611879556439817	0.0020238819316000444	1.2973658565884616e-06	2.8134144114400074e-09	4.714161366371254e-05	0.00020825157855268727
SS[<=2]	7.916927234674631e-08	1.7411466448891132e-05	0.0	0.0007168337746406905	1.3308039971100526e-05	0.001313367048787768	0.0005152226259111359	0.0016678834473714233	0.002275983789359089	0.0006067790639212945
SS[>2 & <=3]	8.35435240986726e-08	0.0	2.1074856631457807e-05	6.056680407205306e-05	2.8592526462034583e-08	0.0047636743076478185	0.007784665736688226	0.00520885780279059	0.01990149436245616	0.0009238005082434775
SS[>3 & <=4]	4.0328225448804653e-08	0.0	9.976572377809134e-05	0.0	0.0005700751293203155	0.029213770583462518	0.03296309222905002	0.00920350224163897	0.08226272200888615	0.004122925018810317
SS[>4 & <=5]	0.0	0.00022489825774130168	0.0	0.0008503847451356705	0.02286408727059509	0.11497582690790295	0.03197333854623139	0.05615718631073832	0.042515765409607414	0.025909445604199846
SS[>5 & <=6]	9.757124219689217e-11	6.39328824404837e-23	0.0007384859787998721	0.08118433080613613	0.08672482326626778	0.10791950286948122	0.0032415650214534255	0.07998973716050387	0.007848818404600024	0.08910659443587064
SS[>6 & <=7]	0.0	0.0001382725965231657	0.16981044605374337	0.06795561205595732	0.06968580938875675	0.011807173448178299	0.03106494844891131	0.02829808996990323	0.01893063673271268	0.03386759041419282
SS[>7 & <=8]	0.016638900972902774	0.11525990910828114	0.06340142637491226	0.005616985065165487	0.016568090459331872	0.00624602890150669	0.0760497020278126	0.0015295592358779686	0.05020944712218078	0.02132983256490661
SS[>8]	0.03541410636156797	0.00485638004587031	0.0	5.60387110049021e-10	0.0	2.26399090808016e-09	0.0	1.1602336069671536e-09	0.00011614868423886815	0.00011434161202576342
NC50[<=2]	0.0012169159075710923	1.535552643372462e-11	0.0	0.0	4.39766602911007e-09	1.4454139568709224e-06	0.0	6.001489325029752e-05	9.152008802360001e-07	7.225097490098919e-07
NC50[3]	0.0005901251512113959	0.00011476124134890853	0.0	1.1788196124484784e-06	2.9429719506871565e-05	3.655467677496915e-06	0.0	9.070880898207179e-05	3.553202418515866e-08	2.325818263922752e-05
