MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J
NC50[5]	1.54E-06	8.80E-06	0.00E+00	1.47E-06	5.17E-07	1.73E-06	8.88E-06	2.64E-07	2.44E-05	1.73E-05
NC50[6]	6.32E-07	1.24E-05	9.32E-06	2.31E-06	2.18E-11	1.61E-06	1.76E-05	0.00E+00	2.59E-05	2.00E-05
NC50[7]	8.96E-07	6.93E-06	9.94E-06	1.95E-06	0.00E+00	1.60E-06	1.22E-05	0.00E+00	1.52E-05	5.60E-06
NC50[>7]	1.14E-06	2.02E-06	2.62E-06	8.12E-08	2.39E-07	2.86E-07	4.80E-06	0.00E+00	4.89E-06	7.22E-06
BoChr[1]	1.61E-06	4.83E-04	9.11E-04	1.10E-03	5.30E-04	1.77E-03	4.65E-04	7.71E-04	4.86E-03	4.72E-03
BoChr[2]	8.75E-06	1.75E-04	4.93E-04	6.96E-04	3.62E-04	5.70E-04	3.60E-04	0.00E+00	9.61E-04	6.18E-04
BoChr[3]	7.19E-06	1.70E-04	3.82E-04	7.89E-04	3.50E-04	5.04E-04	4.60E-04	1.50E-05	8.80E-04	6.74E-04
BoChr[4]	1.33E-09	2.37E-04	6.39E-04	6.93E-04	4.69E-04	1.15E-03	3.96E-04	2.89E-04	1.71E-03	1.95E-03
BoChr[5]	8.30E-07	2.90E-04	4.59E-04	2.73E-04	2.72E-04	1.84E-03	4.67E-04	5.64E-04	2.15E-03	1.92E-03
BoChr[6]	4.27E-06	2.30E-04	6.99E-04	9.59E-04	5.96E-04	7.31E-04	5.65E-04	2.99E-04	1.04E-03	2.58E-03
BoChr[7]	9.59E-06	3.20E-04	5.17E-04	7.80E-04	2.42E-04	1.60E-03	4.17E-04	2.21E-04	2.22E-03	1.46E-03
BoChr[8]	1.99E-06	3.27E-04	1.77E-03	1.55E-03	7.98E-04	1.10E-03	2.42E-04	1.20E-03	6.55E-03	9.61E-03
BoChr[9]	3.12E-06	3.26E-04	1.81E-04	5.16E-04	3.75E-04	3.87E-04	3.87E-04	7.50E-05	6.74E-04	1.06E-03
BoChr[10]	3.30E-06	1.00E-04	3.16E-04	2.88E-04	1.88E-04	1.26E-04	1.90E-04	1.40E-47	7.39E-04	5.91E-04
BoChr[11]	1.12E-06	2.25E-04	5.50E-04	6.67E-04	3.38E-04	1.01E-03	8.53E-04	1.45E-03	2.82E-03	5.74E-03
BoChr[12]	2.73E-08	2.16E-04	3.55E-04	1.43E-04	1.78E-04	1.26E-03	4.63E-04	9.49E-04	1.93E-03	2.24E-03
BoChr[13]	4.40E-06	1.68E-04	2.23E-04	2.30E-04	1.83E-04	1.94E-04	1.67E-04	1.00E-05	4.38E-04	2.40E-04
BoChr[14]	5.98E-06	9.37E-05	1.77E-04	2.26E-04	1.40E-04	2.10E-04	1.16E-04	6.70E-05	2.65E-04	3.49E-04
BoChr[15]	7.35E-09	9.00E-05	1.44E-04	1.68E-04	1.34E-04	1.64E-04	2.22E-04	8.98E-05	4.73E-04	4.48E-04
BoChr[16]	1.98E-07	1.28E-04	1.41E-04	1.25E-04	7.92E-05	2.36E-04	1.93E-04	9.97E-05	3.90E-04	6.33E-04
BoChr[17]	9.38E-06	3.94E-04	2.01E-04	4.36E-04	3.52E-04	5.38E-04	3.10E-04	1.30E-03	6.68E-04	7.11E-03
BoChr[18]	1.22E-06	2.35E-04	2.09E-04	4.29E-04	2.36E-04	1.83E-04	3.02E-04	9.07E-05	5.76E-04	5.95E-04
BoChr[19]	2.74E-09	2.52E-04	1.10E-04	4.85E-04	3.08E-05	4.75E-04	6.66E-05	1.75E-04	1.45E-03	2.83E-03
BoChr[20]	7.04E-09	1.70E-04	2.00E-04	2.92E-04	6.67E-05	3.36E-04	7.50E-05	3.43E-04	9.04E-04	1.98E-03
BoChr[21]	5.93E-06	1.32E-04	1.61E-04	2.16E-04	1.97E-04	2.83E-04	7.92E-05	8.18E-05	3.30E-04	2.71E-04
BoChr[22]	4.93E-06	1.04E-04	6.46E-05	2.60E-04	1.64E-04	1.09E-04	7.34E-05	3.89E-05	2.60E-04	1.02E-03
BoChr[23]	1.08E-05	2.49E-05	3.33E-04	2.43E-04	2.46E-04	6.50E-04	4.83E-04	2.21E-04	1.13E-03	4.54E-04
