Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T
0624eb1d-3aff-4037-a3c5-fc363a9edd02	378	11	0	0	41	0	5	4	0	0	1	0	24	0	0	0	2	0	6	0
062e96d4-c623-11e3-bf01-24c6515278c0	251	65	52	30	102	13	66	21	17	26	20	9	26	0	1	17	0	11	8	3
063cfacf-9933-4a2d-8921-0aeb76e12779	407	14	15	6	2	0	12	0	0	0	0	0	26	7	0	0	0	0	0	0
0664753b-7566-41e0-8006-7009c6735406	0	343	160	461	42	0	34	0	0	9	92	0	128	37	6	26	14	11	10	0
068f4f69-d2fe-4f25-912e-ca7d4623efb6	352	28	5	24	55	0	23	1	1	9	0	3	27	0	0	7	3	1	4	1
06dad93a-4b67-49b3-8fa5-f2546e22bae7	169	101	97	67	118	75	57	36	29	26	21	30	45	0	1	5	42	6	12	30
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	276	65	57	29	80	20	50	0	2	36	16	7	23	0	0	14	0	4	6	0
072f4146-c623-11e3-bf01-24c6515278c0	394	3	0	0	38	5	7	2	5	3	0	0	28	0	0	0	1	0	3	0
074fd614-5d9c-4bcc-96ad-351aa14387e3	321	16	19	13	85	1	27	0	4	5	0	2	31	0	1	0	2	4	0	0
07531318-87e8-4db8-aa61-9b93597d063b	314	53	0	16	77	2	35	5	0	22	0	5	30	0	0	0	12	0	0	3
075fc96d-6742-4ef3-9369-482592ad3a2f	199	0	0	154	0	326	324	1299	0	141	84	502	45	202	190	28	149	48	46	21
07835447-5d7e-4828-80fd-89b063989c9a	293	67	18	34	51	28	56	15	7	22	0	7	19	0	50	2	0	1	1	0
079bcb09-a075-4313-9a3e-dd67734a8c5d	167	89	43	94	148	87	17	22	31	0	21	12	13	54	43	4	0	3	0	0
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	398	17	0	31	9	0	42	2	0	0	0	25	32	0	0	0	0	0	0	1
07b5141f-ac79-439b-883b-b0183bbe7ff5	0	176	124	38	242	0	120	0	0	8	32	69	30	5	12	14	2	14	23	2
07d20658-3db4-47e7-877b-66536266edfc	188	124	43	48	123	0	99	0	9	29	1	9	10	0	0	3	12	5	0	23
07e0e938-f61f-477a-92a2-5b7e74b78943	143	202	4	72	116	0	32	0	0	33	53	43	29	0	0	14	30	8	3	0
07f16397-71bb-4594-ad4d-caa7d2baeabd	258	96	67	41	53	0	116	0	0	0	0	60	42	3	0	0	15	1	0	0
080ecc31-756a-4a1b-a51e-d632ac8219f7	179	135	118	123	59	403	31	40	86	0	0	70	0	0	0	34	195	9	0	2
08227616-02a5-46e8-9db1-f2d1d691ab23	0	102	134	5	264	191	6	99	52	38	86	61	24	103	0	8	5	9	9	21
0831e45e-c623-11e3-bf01-24c6515278c0	142	137	31	73	158	0	38	0	7	25	32	0	30	16	1	2	14	17	7	0
089be98d-c3c9-4fb4-aef2-7a8578a91d51	195	86	100	34	131	8	100	0	0	0	0	18	43	20	0	0	3	0	3	0
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	208	118	81	118	103	0	123	4	0	9	0	0	31	37	2	0	1	0	0	1
08b5d0e4-4661-460e-a9f7-f2e687414711	309	24	0	0	71	56	0	0	0	130	69	1	28	0	0	1	0	12	0	0
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	435	0	0	0	0	3	5	4	0	4	0	0	25	0	0	0	0	0	1	0
08e1d976-6c39-428e-a4c2-f655b675683e	388	39	0	0	12	0	7	1	6	17	0	1	30	0	0	0	5	0	0	2
08f7812b-0d74-42ba-985b-d0a027e8a80c	418	14	0	0	9	0	8	3	0	0	0	1	26	0	0	0	0	0	1	0
09497b9b-6fca-48cb-af97-161a3e434a51	28	5	121	464	0	1570	0	1118	230	404	0	248	0	352	121	166	54	58	110	74
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	0	557	489	0	2679	0	353	0	1262	32	0	0	211	0	165	258	71	20	108
09537dce-c797-4b60-962a-d4c3cd6ab00a	416	0	0	0	9	0	21	3	1	4	0	0	9	5	2	2	0	0	3	0
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	162	66	92	217	131	217	37	87	0	59	38	24	19	46	0	2	169	14	9	32
097a7d36-905b-72be-e050-11ac0d482c9a	264	4	63	12	141	3	71	0	0	0	0	3	27	0	6	1	0	0	0	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	333	41	0	5	67	0	17	1	0	0	6	15	25	5	3	2	0	2	1	0
09bc8542-4ea1-4599-91b3-d606425b37e2	109	44	221	261	113	272	85	100	107	87	102	46	43	58	69	1	0	74	14	34
09cb8bc5-13ac-44ac-9b7d-6de143373570	178	115	0	41	128	128	10	38	33	26	56	53	17	5	65	7	0	21	10	2
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	108	287	52	172	44	0	204	0	0	0	0	0	37	17	0	0	0	0	0	12
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	252	51	21	14	123	0	43	0	0	37	0	0	33	0	0	0	0	4	0	5
0a9c9db0-c623-11e3-bf01-24c6515278c0	167	49	7	8	227	67	7	1	11	11	43	4	11	0	3	2	10	6	2	6
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	274	91	31	33	81	4	52	0	0	4	5	0	22	0	0	0	16	5	1	0
0ae2193f-0d68-485a-b8c2-7568cbcce33e	356	16	19	15	42	0	15	0	0	16	9	5	28	0	0	5	0	0	5	15
0b19bee7-5281-4915-9d98-c20eb3e84ecf	39	79	198	55	272	21	150	0	0	12	5	50	56	0	6	4	12	0	28	0
0b29c893-03bf-4131-b192-c14a2788d411	306	69	0	4	76	41	0	0	0	0	58	16	0	3	0	1	3	1	0	1
0b6cd7df-6970-4d60-b7b5-85002a7d8781	416	14	0	0	7	0	8	5	0	5	2	0	20	0	8	0	0	0	1	0
0b811c6a-8f05-44bd-ac33-fb720d189e71	436	0	2	0	0	0	0	5	0	0	2	0	22	0	5	0	0	0	1	0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	394	1	13	0	27	0	10	0	4	0	0	0	25	0	0	0	0	1	0	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	368	49	18	39	20	0	35	0	0	0	0	6	33	0	0	8	0	0	0	0
0bbc7ede-5022-4084-925c-d65baaf7abc2	36	61	61	82	276	173	41	168	36	85	17	21	37	90	0	0	16	32	0	51
0bd3a230-531e-44aa-9999-b8ed8da0176b	257	118	31	33	62	0	71	0	0	0	0	18	34	0	0	0	0	0	0	0
0be08326-c623-11e3-bf01-24c6515278c0	151	103	4	12	201	9	51	6	2	9	17	18	22	8	4	7	10	4	3	0
0bfd1043-5142-3662-e050-11ac0c486501	103	46	157	186	198	67	40	15	78	43	109	28	56	14	7	26	0	38	19	16
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	143	40	167	128	164	44	54	0	33	70	102	41	52	21	9	26	0	5	19	6
0bfd1043-7343-fdd0-e050-11ac0c484cab	0	176	307	18	113	568	9	321	85	53	0	59	8	91	0	0	61	72	0	99
0bfd1043-7344-fdd0-e050-11ac0c484cab	0	0	906	1643	0	289	137	0	20	49	377	0	257	126	2	36	70	61	47	32
0bfd1043-7346-fdd0-e050-11ac0c484cab	161	66	58	17	185	65	16	3	0	130	126	18	24	18	0	3	0	8	10	0
0bfd1043-7ebf-aaec-e050-11ac0c482f39	91	89	207	411	101	33	358	100	85	91	118	148	30	39	0	27	11	126	26	3
0bfd1043-7ec1-aaec-e050-11ac0c482f39	18	223	195	430	94	65	246	0	75	82	30	0	53	174	0	5	0	26	1	10
0bfd1043-7ed6-9ccc-e050-11ac0c481957	199	45	41	26	156	37	12	1	0	157	133	20	31	16	0	3	0	1	9	0
0bfd1043-816e-e3e4-e050-11ac0c4860c5	9	0	895	1395	0	204	106	0	6	61	375	0	260	113	0	28	60	56	27	29
0bfd1043-8170-e3e4-e050-11ac0c4860c5	0	235	232	205	115	157	37	0	50	37	183	54	21	35	24	31	58	11	30	15
0bfd1043-8172-e3e4-e050-11ac0c4860c5	0	167	192	78	205	196	30	18	35	48	146	55	25	35	30	27	8	21	6	17
0bfd1043-8173-e3e4-e050-11ac0c4860c5	0	226	230	25	147	254	28	24	14	55	152	77	20	23	27	26	6	16	14	25
0bfd1043-8175-e3e4-e050-11ac0c4860c5	0	228	230	48	144	242	20	7	13	81	148	43	16	17	32	29	12	15	7	8
0bfd1043-8177-e3e4-e050-11ac0c4860c5	226	57	50	52	115	0	66	0	5	36	11	0	23	38	0	0	16	6	1	2
0bfd1043-817c-e3e4-e050-11ac0c4860c5	19	197	172	359	138	17	230	7	14	95	27	0	58	120	0	10	3	26	3	8
0bfd1043-817e-e3e4-e050-11ac0c4860c5	0	259	240	189	101	9	309	12	0	27	37	223	86	27	0	7	6	76	12	8
0bfd1043-8180-e3e4-e050-11ac0c4860c5	24	10	826	884	0	0	224	0	76	17	389	459	249	14	22	85	53	48	2	49
0bfd1043-8181-e3e4-e050-11ac0c4860c5	5	119	667	764	0	0	156	0	26	50	335	295	190	0	16	96	53	53	0	50
0bfd1043-8183-e3e4-e050-11ac0c4860c5	0	203	261	197	153	5	256	0	0	26	42	166	81	7	0	23	7	73	4	11
0bfd1043-8187-e3e4-e050-11ac0c4860c5	55	0	667	1373	0	0	73	0	88	24	306	0	274	40	3	42	65	55	0	26
0bfd1043-8189-e3e4-e050-11ac0c4860c5	146	75	167	159	147	75	42	0	13	51	120	20	34	14	6	25	0	31	15	14
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	0	178	284	49	176	215	31	15	0	42	183	82	22	13	15	20	24	11	16	6
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	49	111	112	62	255	1	194	0	16	62	9	84	46	32	1	14	0	7	7	0
0bfd1068-3fca-a95b-e050-11ac0c4860c3	231	74	34	25	109	0	67	0	7	41	6	0	18	46	0	0	0	7	1	3
