MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E
CNCP[4]	1.210424203923477e-09	0.0032713027624413373	0.003553297119215131	0.0	0.0321720178052783
CNCP[>4 & <=8]	4.1070792937691894e-08	7.138186042254802e-10	0.00041690667326406585	0.0	0.06036769650876522
CNCP[>8]	2.307932788880862e-07	0.0	1.424006339092633e-08	5.596116229966697e-08	0.036620093397796157
OsCN[0]	0.040709843784570696	0.04588492881506681	0.0	0.015112850293517112	0.12522559449076653
OsCN[1]	0.001174426138168201	0.029842590615153312	0.05365338545292616	0.008988244088832288	0.03558865964412689
OsCN[2]	3.4410475802104656e-08	0.007841252065263688	0.0015684580360539257	0.007083826013840735	0.004334616579581052
OsCN[3]	2.116784502348423e-08	0.00438212990295142	0.007047347002662718	0.006308130035176873	0.0017407189676305278
OsCN[4]	3.7636148544351045e-08	0.001787637179950252	0.00015633982132364998	0.003307557562366128	0.00010246942489648025
OsCN[>4 & <=10]	2.6077262162971237e-08	0.002088081131223589	0.0008691063272873034	0.009058864451944829	0.00010886240153955115
OsCN[>10]	5.27712098019606e-08	6.7552117258316e-05	6.264316378937207e-07	0.0021949956147000196	1.7985852212820674e-06
SS[<=2]	2.593984149257267e-08	0.000554752990428824	0.00029297899483935906	0.0001890728119906271	0.0021882916754111647
SS[>2 & <=3]	4.37767491118235e-09	0.0006738586706342176	0.004947882816195488	0.00024335214277016349	0.010563601544126867
SS[>3 & <=4]	0.0	0.0037851018738001584	0.021391061674803494	0.00638265086337924	0.03159294694662094
SS[>4 & <=5]	0.0	0.014489303212612867	0.010266109253279865	0.04811062529683113	0.06281985130161047
SS[>5 & <=6]	4.8988197990451734e-08	0.051431107819080356	0.0	0.09398144714534283	0.07289782389998437
SS[>6 & <=7]	0.0	0.07821649946272373	0.04417960673570633	0.06386942047625781	0.025923199839890002
SS[>7 & <=8]	0.026348775513470174	0.03973395619541407	0.10444783106446266	0.0186715815711068	3.675433581520338e-05
SS[>8]	0.029359348677098752	8.957090676942059e-09	9.032425125621302e-09	5.9752846796800315e-09	1.4808684967171358e-09
NC50[<=2]	0.0009464792680228129	3.4780349267293785e-10	0.0	8.152977748754343e-09	9.262055327141638e-07
NC50[3]	0.0005238296111929231	0.0	0.0	5.093626404240048e-07	2.735576657936001e-05
NC50[4]	0.00040812193677993493	2.469215049814011e-06	2.841683400902184e-05	0.00013527410959795816	7.25226568420112e-05
NC50[5]	0.00016729754854168276	8.736216931538365e-05	0.00036422707882593385	1.2238032172717794e-06	1.0772470886877273e-07
NC50[6]	3.830963973570078e-05	0.00015546530924439138	0.0004814532387536019	2.5269974685215857e-07	0.0
NC50[7]	1.0809159434614912e-05	0.0001250872949458426	0.0002452288033964578	1.1875986046447907e-05	0.0
NC50[>7]	2.4738593283473164e-05	1.5815465988222588e-05	6.061632695491426e-05	9.087418956177373e-07	9.684304131951649e-08
BoChr[1]	0.0001589937479911896	0.017324700616300107	0.007900973726063966	0.011242971634492277	0.01707525414414704
BoChr[2]	6.435762561906699e-05	0.017072887886315585	0.00672869585454464	0.0077961055189371105	0.0009596770092684892
BoChr[3]	0.00023819276393624022	0.015111108990386129	0.005763465440832078	0.008538483907468617	0.004516498874290846
BoChr[4]	4.7430319849439686e-08	0.008556890753097832	0.005578590868972242	0.006048602904193103	0.0068224941426888105
BoChr[5]	0.00015892978466581554	0.008167530349455774	0.0026406659570056947	0.010116442600265145	0.01203329942189157
BoChr[6]	0.0001683917734771967	0.015138200102373957	0.005498632919043302	0.007927445103414357	0.00633678613230586
BoChr[7]	0.0004304649005644023	0.011687657767906786	0.0038841287535615267	0.007665574173443019	0.008828029804863035
BoChr[8]	0.00017578438521013596	0.013308782139793038	0.004816728262230754	0.010602186676114797	0.01844806073233485
BoChr[9]	0.0003114550790633075	0.007687211255542934	0.00553118625190109	0.005181441958993674	0.003896321910433471
BoChr[10]	8.63513651137282e-05	0.009571051904931665	0.006590611170977354	0.004602313381619752	0.00090071735132085
BoChr[11]	5.550027200662555e-05	0.007126874765381217	0.004642532174475491	0.00771463901270181	0.02230038704350591
BoChr[12]	8.220129408236686e-05	0.005458657294511795	0.0013699407494277692	0.00863852039910853	0.02941771788522601
BoChr[13]	0.000267800813599024	0.0059471342992037535	0.004109502157662064	0.0034450965700671076	0.00014869403519385927
BoChr[14]	0.00048795927345054226	0.0067379583697766065	0.0032638947758823634	0.002958488261792809	0.002405118944589049
BoChr[15]	1.2473921008648859e-05	0.005230701700784266	0.0033131430903449656	0.001971361127216369	0.002614799125585705
BoChr[16]	0.00022438156433054245	0.006524340510368347	0.00529207868501544	0.0028662252030335366	0.00183246421511285
BoChr[17]	0.0007169367605820298	0.0048647774360142644	0.002493980545550585	0.006006017723120749	0.021329646408557893
BoChr[18]	0.00025738431184436195	0.007081516664475203	0.0017862358712591232	0.003750004356261343	0.002567783324047923
BoChr[19]	9.45137867995527e-05	0.00991375113837421	0.0003688905001399689	0.004079057932831347	0.004789180585648864
BoChr[20]	1.955841992241858e-05	0.007966153495945037	0.0015523256734013557	0.0033170288917608558	0.004922074126079678
BoChr[21]	0.0003651984842144884	0.0034194741980172693	0.0011708760994952171	0.0024755191593430937	0.002237390357768163
BoChr[22]	0.0005068199342349544	0.0040060742548666895	0.0010589296167017891	0.0022648938733618707	0.001399164552858565
BoChr[23]	0.000912351370207034	0.0038895084313116967	0.004797523831948638	0.005105255898088217	0.006613198812119663
