MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S
CN[0]	2.4668192641819074e-06	0.00023726226802999405	1.4163058947112006e-05	4.215558342846037e-08	0.0	0.0	0.003467668563215218	2.0486782803530447e-08	0.010191211060743938	0.08739647980251647	2.086795575451106e-08	6.953064541903586e-09	0.0061978406858395375	0.0033559768036576544	0.0028024327754974363	2.0947539525195678e-09	7.632968959114805e-09	4.6365446877416616e-08	0.0020182177424430845
CN[1]	0.0012588577809398548	1.6251052531998917e-05	0.0010319359856489996	0.00011928643055374158	0.00027068851164252386	0.0	0.33321600884199143	0.0	0.02581594557093922	0.02539437473356159	7.890381821198388e-05	0.0017438868136883912	0.006560203999388285	0.0009053668481179281	0.0022838987572926773	0.0017698842194658936	0.0014124016174530852	0.0003900987005107481	0.0004331214292486075
CN[2]	0.02220212299359422	0.05527161822062401	0.011197243851580939	0.00017861336120404304	0.0690927219891455	0.0003132198374709416	0.2145596394687891	0.0016830609702536226	0.011402891599573589	0.08678387799054069	0.0020743518136441706	0.01719196645935243	0.4294263686053455	0.003697385952096506	0.0012752058140495508	2.5801045979142847e-16	0.0009544408829924726	0.0012137673635699378	0.008029031331100493
CN[3]	5.330270032577466e-08	0.0006687144190073013	0.04092962586786598	0.01736856075941205	0.11430981321580475	0.0001340625248849392	0.0	0.0018763226555893197	0.033517764685017035	0.0005419797822833061	0.17047579167296845	0.012041288626233788	0.014207468614488192	0.06968133499382312	0.06442964355810546	0.07253295569849762	0.043490092497535784	0.048782112966291605	0.07926822717445248
CN[4]	6.108512631830543e-10	0.0003576740995049477	0.0033452619274021347	0.00108933538749028	0.005015995066387404	0.11147558752229997	0.0	0.002097460571967531	0.009351341339107293	0.01871085982965774	0.23599526525475084	0.005165621875078657	0.009358588670707135	0.018081479431136974	0.014085897556002319	0.03251295197333604	0.02561769307931172	0.05002852226501887	0.0301061288975954
CN[>4 & <=8]	2.5090034523334025e-08	3.4166096156695855e-08	0.0022439079869312904	4.012270835573873e-09	4.307535732550605e-09	0.22868184961378574	0.0	0.057397984339635284	0.06005848195429493	0.0009769032991226822	0.024825499586395915	0.0008769560483671057	3.564664986299704e-07	0.0027015827888440037	0.0032266816082102425	6.209840149864476e-06	0.003621596034009125	0.001814826180775988	0.002627206448326647
CN[>8]	1.3869926015708245e-07	2.3845979413295026e-08	4.1841590479041455e-08	3.6781585910361514e-09	2.986265030813229e-09	0.003097029971239209	1.9279182694731388e-10	0.18545203506946564	2.5592194096979436e-07	2.67222576511017e-09	1.9671526160891517e-07	2.7590436970115207e-06	2.099833800173201e-08	6.266605745430809e-07	4.116430986332349e-08	5.062145377543459e-08	1.3574764540891237e-07	6.725817968344927e-08	5.9453372913660375e-05
CNCP[0]	0.047314275912940504	1.3905511760947675e-08	1.3602672765955504e-09	0.0002645194697704767	0.0	0.0	3.4280171234968294e-09	0.0	0.00039081471985213056	0.0003917725860927135	0.0	0.0	7.269055788448497e-05	3.516105469316244e-05	2.8939819894731045e-05	0.0	1.4553693006291723e-09	1.2954758155103717e-10	1.8401495181024076e-05
CNCP[1]	0.0	0.0710968280909583	0.19500973450019957	0.03000398279633373	0.3295526273548603	0.005955157894718293	0.21653878587298095	2.802596928649634e-47	0.00417020186316222	1.401298464324817e-47	0.01414033467638916	0.30034543611109255	0.025519433536094992	0.06816306604195113	0.020630852453543867	0.00939556167105975	0.014399102138217757	0.010985003436895235	0.03066191085625433
CNCP[2]	1.3501797802018e-08	0.0006893811374902725	0.0019281020589411925	7.998423976474101e-09	4.367959490934936e-05	0.14529785595873393	0.0	0.0028513702453346924	0.019665030445430602	0.3309736236929893	0.05614640369717904	0.009790818443226055	0.009713296724137645	0.0036850920961257927	0.0058716491152245	0.0060918998142447285	0.0064476138307116805	0.02984428207168275	0.014099150878582805
CNCP[3]	1.434504115160884e-08	2.1554932565948093e-07	0.005390808739330737	0.0	6.428501819755319e-10	0.03929636018991005	8.751233828263593e-08	0.027551888702437282	0.09533697037026286	0.001985331078349475	0.0010413931429431322	0.0004816181898945615	0.0010438023118370231	0.0016812647097697564	0.001019064180110263	0.0008749192251075816	0.002658615783495861	0.0010672351791683355	0.0014828411474047697
