MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K
CN[>8]	1.2866762537200315e-07	2.237143243988271e-09	4.0646874861494095e-08	0.00012659444678938313	6.54901602203939e-08	5.348958444114398e-10	1.2887978755962363e-07	0.15030142709612845	1.3438611501737085e-05	3.986067243499036e-05	0.00026859834068373447
CNCP[0]	0.04358001943677664	6.317334566574573e-09	0.0	5.0516235639008754e-11	9.825144714355361e-05	0.0	0.0	0.0	0.0003590673186722526	9.43678697501582e-05	0.0
CNCP[1]	0.0	0.1725297922641039	0.04329009271226823	0.005359081821881091	0.03674526476175654	0.24747742369771003	0.27092587798833845	8.504835423082113e-06	0.019614255665801467	0.06917154517029578	0.11630842512706295
CNCP[2]	1.7349195247096105e-09	0.0013870028995188477	0.0014929824936394099	0.13031073173508048	0.04871134712441687	0.00282364047010368	0.0036975741623351656	0.009471651437343099	0.05165817114748705	0.12983190438575604	0.03877345813588917
CNCP[3]	8.646152265257e-09	0.00358409885913602	7.288957135642704e-09	0.03041188315022737	0.003046264850652278	1.0633984821595277e-08	1.1320846388116479e-05	0.030746416626498102	0.0594057173631154	0.0041804930817924205	0.003971004993969025
CNCP[4]	9.091254233817292e-08	5.482500704545146e-05	6.665766324687184e-08	0.011293840983707924	0.001346326565611946	0.0	0.0	0.03281720094382763	0.027669306764146313	0.0007885087905248156	0.0018116189821978297
CNCP[>4 & <=8]	9.0105198984336e-08	1.3815282932760907e-07	3.207711261055124e-09	0.00024793358263844214	0.0013667777198422377	0.0	0.0	0.0814188138395548	0.029265131063777972	0.00022601189996411807	0.0014519648589867984
CNCP[>8]	1.8654022824193816e-07	0.0	7.360389587930675e-08	0.0	2.242291016507636e-07	1.1645515703762043e-07	4.261239627822988e-09	0.06756664283573627	1.9538667919150044e-07	1.9362551091361978e-08	4.742572173199733e-08
OsCN[0]	0.046113572143949566	0.048768110815435646	0.001969033624313155	0.0791783830150962	4.738562565762549e-06	0.008299425473087468	0.002762104163909641	0.1692544449865818	0.0026296608610353977	0.04069034908199683	0.06629960509948432
OsCN[1]	0.0004562528675887734	0.029693302349187434	0.012452208539616549	0.030306175425648688	0.052626272635534405	0.0011159455177377354	0.0179649021406658	0.026601225975900887	0.0830038586538285	0.029167920793406667	0.016530848976690323
OsCN[2]	8.998826483974654e-10	0.010061467690393329	0.0041624730895273385	0.007240860258170869	7.419583824230358e-05	0.003753318207819234	0.006557079621125013	0.0043672936991788446	0.00040174437599489466	0.0053106392631345044	0.007699509479571134
OsCN[3]	0.0	0.00380132738071552	0.0003797974702320062	0.0030181528098182754	0.008433921002876942	0.0053809948801063	0.009168162266723812	4.911899392027408e-05	0.006274574789858889	0.006770720584754599	0.0029971168857082374
OsCN[4]	2.6054033330780157e-08	0.0023082048835931348	0.00028252459343548254	0.0010324421270456697	1.4992003663962805e-05	0.002689402848482132	0.0032066889182897286	0.0	9.971044722988154e-05	0.0014153892623153296	0.0016617668655817396
OsCN[>4 & <=10]	1.4709136220147911e-08	0.0015767579746898263	0.0	0.0003064865097237934	0.0007826866506388023	0.008559055291116238	0.010097910119220614	0.0	0.0005318248520927682	0.0038103404980194	0.0020719945539531184
OsCN[>10]	5.074809878991005e-08	3.238923558195772e-05	6.272874197854606e-10	1.4296186190421167e-09	2.16402935571125e-10	0.0022529151453636585	0.0018891107274248498	1.0418175477866498e-09	4.231129890897023e-09	0.0003407655790580799	0.00022798235043650195
SS[<=2]	8.128074876267987e-08	0.0	3.177080558835366e-05	0.0007943148801859934	6.936535164452806e-05	4.266765600924316e-06	0.0019892495837484604	0.0016674295294797049	0.0022394500947848428	0.00015468253296841382	0.0006061052135191857
