MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W
OsCN[0]	0.035066297150216946	6.51658233255148e-05	0.0008463759067084151	0.04016258928157922	0.017675049251937035	0.10903563756961375	0.17533957343548537	0.0015446031478187601	0.007956463115115185	0.01855925426566846	0.01611551099049393	0.011390018766240293	0.03159655830822885	0.00903654420548016	0.006644790736027063	0.08184635305829494	0.004295417449130475	0.025148417175140648	0.16539819938810432	0.02212146893040623	0.054989115067676016	0.015968422206318663	0.014716919001472229
OsCN[1]	3.3142168073814945e-05	0.054041834976524115	0.009404657770066127	0.026138102007098495	0.012082434104839238	0.03404931388795376	0.020177997229620815	1.6531302826479077e-05	0.0478425981849432	0.024807464524637907	0.107939662784338	0.03850225223693997	0.012560195754657213	0.02182438367162831	0.026418624108040748	0.00939158497325477	0.01726009325357154	0.001910562439162155	0.011002399267745204	0.019108777638402616	0.033699886644110534	0.014619424723042364	0.008292363769150095
OsCN[2]	3.7610505554397375e-09	0.00014149010414266335	0.0014996473973906176	0.01159916769272968	0.007595208113780245	0.009261294468014967	0.004373585839493899	0.0010198365881799987	0.0027032715372161363	0.00965364412016501	0.00018025182988919364	0.007902362170862034	0.0003967554125268258	0.003432511558639826	0.0017475665405063978	0.002534389746963939	0.0026562011345050663	0.0035555880523503447	0.0049309621549703305	0.0014252567453198139	0.004567271229471998	0.0024073042030784476	0.0069239745496001625
OsCN[3]	1.979811559138511e-09	0.010369455476757139	0.0	0.006551379847805947	0.008289141841232776	0.0018368437072789556	2.2557005577255042e-05	0.0011814564284386147	0.01334652261226438	0.0017204437319023923	0.0018554954516002908	0.01459090826101601	0.001686078363355774	0.0032903583366297087	0.0020348267262920673	0.0006063578613694277	0.0010798322866412532	7.003057195106521e-05	0.000294153786944662	0.0023160124257685768	0.0023594995870037747	0.000609680624313275	0.0010215296475053037
OsCN[4]	2.480407313987243e-08	1.2490714398154524e-05	0.00012166736894869245	0.003393262089812197	0.004546268671983853	0.000937280713369546	1.6158805738086812e-06	0.0016356220296040646	0.0003283781894424465	0.001808125252867967	0.0	0.002501124808768509	0.00015575123713134075	0.0008658750920562908	0.0006474415250704624	0.0006050958873811396	0.0001785055581422057	0.0005571027624500857	0.00036843257337750403	0.0003546710803553397	0.0005267375666164753	0.0002862483160083684	0.0008702045679001519
OsCN[>4 & <=10]	9.71746916156313e-09	0.0008387862247925767	0.0	0.004061058648512699	0.013310920190997421	0.00011275954893419038	0.0	0.0062643555627548385	0.004443915663287044	0.0016678329891758636	1.401298464324817e-47	0.007259241909783545	0.0005110511175351188	0.0008725902395416035	0.0002502071684580187	4.5634564012289045e-05	0.00016141269263243884	1.401298464324817e-47	3.008982806932181e-05	0.0009874949814138744	0.0012543170219851162	0.00018953066221968128	7.800301067284465e-06
OsCN[>10]	4.044955939530581e-08	0.0	0.0	0.00011664691650572934	0.003072592816897668	2.2474996796972847e-09	2.920040087783793e-09	0.002284573647556698	1.35141404417638e-05	0.00010584437935904134	0.0	0.0008765667674015276	7.490587446971862e-05	5.519402857721012e-06	3.6268082434798285e-05	0.0	2.1660460624843836e-05	2.8612263527350024e-08	0.0	0.0003090478436635635	0.0002422811258966462	4.782170207512593e-05	3.0178978340700267e-06
SS[<=2]	7.740991961213695e-08	1.401298464324817e-47	3.354056521480686e-06	0.0	0.0001000620303878108	0.0016456263867507914	0.0013875841384287924	3.3611714908943213e-06	3.6358554352773355e-05	5.1988687079074226e-06	0.0012445425789337605	0.005741070463293454	0.00045914200177094244	0.00016878308907706697	0.00010953241154396665	8.0140920326815e-05	6.89195931863651e-05	2.583977925041836e-05	0.0005585320534169113	0.0003998650931004027	0.0004220729380620014	0.0001897802339021837	0.00019172870608599624
SS[>2 & <=3]	1.6446580329620987e-07	1.0731013411202639e-10	6.898533836396936e-09	0.0	8.079304472008886e-05	0.00017104407696475477	0.0018063374940811628	4.359139893495012e-10	1.9683641552248333e-08	5.605193857299268e-47	0.017770075404074853	0.040190124844666573	0.004007479772239387	1.5714509624360568e-09	9.666111285184798e-06	0.0007410587354024756	1.3478912848086111e-08	1.401298464324817e-47	0.0002638948543573605	1.1846759662148542e-08	0.0030064202970385167	4.203895392974451e-47	6.873421555269487e-05
SS[>3 & <=4]	1.1682675384649954e-07	6.956262588175833e-10	0.0	7.186916928558773e-06	0.00043009795357882295	2.9365799855440854e-06	0.0001589012753906125	2.8934658175581163e-05	6.146586788226313e-05	9.147012171695223e-08	0.06456542100175533	0.1875056233637406	0.016945692945434417	1.3735151497940022e-07	2.2101767768846499e-07	0.003211976961570765	1.032218486663794e-05	1.2046414699114786e-05	2.1567917656284408e-08	3.745328552042793e-05	0.012951674251043812	5.4866964376287795e-08	1.2001329423583229e-08
