MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H
BPArm[>10 & <=20]	3.4645089931617522e-09	0.0	0.001969165115369833	0.010022804722338553	0.002164597789524123	0.001976754136267118	0.003567143307709557	0.00026336038501540316
BPArm[>20 & <=30]	2.645741884244046e-08	0.0	0.0013312246155692264	0.0014076188462786377	0.00026763400733443633	0.0019930763059528545	8.402666301551509e-05	0.0005091168021863268
BPArm[>30]	7.940861287636381e-08	0.0	0.00013332857294457768	1.8241852347982146e-05	3.450851521960674e-05	0.003336311394814402	0.0	0.002246408718638122
CN[0]	2.1663709937058684e-06	9.766651092242285e-06	9.087978396564722e-06	0.0014900856913293125	0.007009917661780492	0.0	0.03736775677651167	1.3571597676786951e-08
CN[1]	0.004151452158112079	0.00036497370358935853	0.0	0.0028818013321142643	0.1451627044379711	0.0006244080077158288	0.027754460778087377	0.0001870802304620187
CN[2]	0.04390253286808729	0.01148118576966226	0.00020742177963256836	0.02868618463166058	0.17113104477524757	0.060367323057726026	0.08358146704733371	0.0002610097194701666
CN[3]	2.5395955060996122e-05	0.034019140619784595	0.0058536432642821	0.10541638433933258	0.0001349170645698905	0.1066938803344965	0.0029338848593522472	0.00239709762158557
CN[4]	0.0	0.006640291181392968	0.11652803134173155	0.017309752102009954	0.0	0.024439590368419885	0.008677183253093973	0.008541428092867136
CN[>4 & <=8]	1.448329900455292e-10	0.0	0.13979325091466308	0.004716105466925456	0.0	0.002186015770074228	0.011172165854998185	0.06774896442890167
CN[>8]	1.1730380833796516e-07	1.5689639927707334e-07	1.010073284817281e-06	3.49816718880902e-08	9.727447489618992e-10	1.1654257099958362e-07	1.623485923474277e-09	0.12312823362648487
CNCP[0]	0.04251943424344063	0.0	0.0	3.072436817546986e-05	3.960829442206659e-11	9.189782823604276e-12	0.0003684551210675835	0.0
CNCP[1]	0.0	0.05063172611407936	0.009815962146974617	0.16778531357645987	0.21507453367114068	0.2750161371380091	0.006012719635891699	0.0007685491594020277
CNCP[2]	0.0	0.0017004824664636061	0.13133429184556009	0.0036833463439779734	0.01325911469219136	0.0029526513327800784	0.10195539973676204	0.016489307219162582
CNCP[3]	8.691411111927394e-09	0.0	0.02777784569072537	0.007101480743133379	2.8668766276496173e-08	4.2555653490126136e-05	0.02964773873896377	0.03214532840996981
CNCP[4]	6.578149507774356e-08	0.0	0.00931447713455924	0.002546438520261063	0.0	8.425315172644333e-08	0.01261838933411127	0.03220626203343272
CNCP[>4 & <=8]	3.738856743318309e-08	0.0	3.143496984336026e-05	0.0027737549770527137	0.0	0.0	0.011847534263506532	0.07375636294484139
CNCP[>8]	1.7510420306621198e-07	1.5135986981107407e-07	0.0	6.653177621274153e-08	1.3628299100787444e-07	0.0	1.798238876622027e-08	0.05512574303895235
OsCN[0]	0.046136361360549924	0.0	0.08337686784565448	0.03917166904429905	0.014433451078366489	0.002875847436245289	2.3828352277632803e-06	0.15283216670155525
OsCN[1]	0.0006522197255981154	0.023047982696443797	0.02698366219177842	0.03464309687260538	0.007966533150465693	0.02167850368656218	0.074818370975554	0.028114748056977987
OsCN[2]	7.54272553137584e-09	0.0027055924921296536	0.008445348963141442	0.00807353907446668	0.004461235378403217	0.005602610697969794	1.3340013847482623e-05	0.004585126356687397
OsCN[3]	1.6331608510000706e-10	0.0013413209712598473	0.003446827554726042	0.003585324861924164	0.007038703444413841	0.009206297735217958	0.009630630686879159	6.86507306090789e-05
OsCN[4]	3.3769707581399186e-08	7.092912108844417e-05	0.0012500653543975205	0.00208776839543134	0.0024864550039637836	0.0033924336160998793	1.338735766687194e-09	8.482645580443204e-07
